CaseID,Profile,UEID,ServingCellID,CCID,BWPId,AbsoluteSlot,ConfigurationEpoch,AssignmentSource,DecodedDCIId,DCIFormat,DCICRCPass,DCIRNTIMatch,RNTIType,ConfiguredGrantID,CGType,CGInstalled,CGActivated,CGReleased,CGOccasionMatch,RARGrantID,K2,ULSymbolAvailable,ResourceAllocationType,FrequencyHopping,SecondHopStartPRB,PRBSet,SymbolAllocation,MappingType,MCSTable,MCSIndex,Modulation,TargetCodeRate,TransformPrecoding,NumLayers,NumCodewords,TransmissionScheme,SRI,TPMI,NDI,RV,HARQProcessID,SRSDecisionID,PowerControlStateID,AssignmentCreated,WaveformAllowed,ErrorIdentifier,Status
ASSIGN-DYN-NEG-07,connected_dynamic_strict,UE1,0,0,1,40,3,decoded_dci_plus_rrc,DCI-X,0_1,1,1,C-RNTI,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,31,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:ReservedMCS,PASS
ASSIGN-DYN-NEG-08,connected_dynamic_strict,UE1,0,0,1,40,3,decoded_dci_plus_rrc,DCI-X,0_1,1,1,C-RNTI,,,,,,,,2,1,2,intra_slot,20,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:FrequencyHoppingResourceTypeConflict,PASS
ASSIGN-CG1-01,configured_grant_type1_strict,UE1,0,0,1,40,3,rrc_configured_grant_type1,,,,,configured-grant,CG1,1,1,1,0,1,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,16QAM,0.642578125,0,1,1,codebook,0,0,1,0,2,SRS-DEC-ASSIGN-CG1-01,PWR-ASSIGN-CG1-01,1,1,,PASS
ASSIGN-CG1-NEG-01,configured_grant_type1_strict,UE1,0,0,1,40,3,rrc_configured_grant_type1,,,,,,CG1,1,0,0,0,1,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:ConfiguredGrantNotInstalled,PASS
ASSIGN-CG1-NEG-02,configured_grant_type1_strict,UE1,0,0,1,40,3,rrc_configured_grant_type1,,,,,,CG1,1,1,1,0,0,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:ConfiguredGrantWrongOccasion,PASS
ASSIGN-CG1-NEG-03,configured_grant_type1_strict,UE1,0,0,1,40,3,rrc_configured_grant_type1,,,,,,CG1,1,1,1,1,1,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:ConfiguredGrantReleased,PASS
ASSIGN-CG2-01,configured_grant_type2_strict,UE1,0,0,1,40,3,rrc_plus_cs_rnti_activation,CG-ACT-1,0_1,1,1,CS-RNTI,CG2,2,1,1,0,1,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,16QAM,0.642578125,0,1,1,codebook,0,0,1,0,2,SRS-DEC-ASSIGN-CG2-01,PWR-ASSIGN-CG2-01,1,1,,PASS
ASSIGN-CG2-NEG-01,configured_grant_type2_strict,UE1,0,0,1,40,3,rrc_plus_cs_rnti_activation,,,,,CS-RNTI,CG2,2,1,0,0,1,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:ConfiguredGrantNotActivated,PASS
ASSIGN-CG2-NEG-02,configured_grant_type2_strict,UE1,0,0,1,40,3,rrc_plus_cs_rnti_activation,CG-ACT-X,0_1,0,1,CS-RNTI,CG2,2,1,0,0,1,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:ConfiguredGrantActivationCRCFailed,PASS
ASSIGN-CG2-NEG-03,configured_grant_type2_strict,UE1,0,0,1,40,3,rrc_plus_cs_rnti_activation,CG-ACT-X,0_1,1,0,CS-RNTI,CG2,2,1,0,0,1,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:ConfiguredGrantActivationRNTIMismatch,PASS
ASSIGN-CG2-NEG-04,configured_grant_type2_strict,UE1,0,0,1,40,3,rrc_plus_cs_rnti_activation,CG-ACT-1,0_1,1,1,CS-RNTI,CG2,2,1,1,1,1,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:ConfiguredGrantReleased,PASS
ASSIGN-MSG3-01,random_access_ul_strict,UE1,0,0,1,40,3,decoded_rar_ul_grant,,RAR-UL-GRANT,1,1,TC-RNTI,,,,,,,RAR-1,2,1,1,intra_slot,24,4|5|6|7,2|10,A,qam256,10,16QAM,0.642578125,0,1,1,codebook,0,0,1,0,2,SRS-DEC-ASSIGN-MSG3-01,PWR-ASSIGN-MSG3-01,1,1,,PASS
ASSIGN-MSG3-NEG-01,random_access_ul_strict,UE1,0,0,1,40,3,decoded_rar_ul_grant,,RAR-UL-GRANT,1,0,TC-RNTI,,,,,,,RAR-X,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:RARGrantIdentityMismatch,PASS
ASSIGN-MSGA-01,random_access_ul_strict,UE1,0,0,1,40,3,msga_pusch_configuration_and_rapid,,MSGA,1,1,MsgA-RNTI,,,,,,,MSGA-1,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,16QAM,0.642578125,0,1,1,codebook,0,0,1,0,2,SRS-DEC-ASSIGN-MSGA-01,PWR-ASSIGN-MSGA-01,1,1,,PASS
ASSIGN-MSGA-NEG-01,random_access_ul_strict,UE1,0,0,1,40,3,msga_pusch_configuration_and_rapid,,MSGA,1,0,MsgA-RNTI,,,,,,,MSGA-X,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:MsgARAPIDMismatch,PASS
ASSIGN-CAL-01,phy_calibration,UE1,0,0,1,40,3,explicit_calibration_request,,,,,calibration,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,16QAM,0.642578125,0,1,1,codebook,0,0,1,0,2,SRS-DEC-ASSIGN-CAL-01,PWR-ASSIGN-CAL-01,1,1,,PASS
