MetricKey,Entity,Statistic,Availability,Value,Unit,Mode,Notes
"rtt_distribution","UL@canonical_slot_runtime","p95_ms","available",2,"ms","canonical_slot_runtime_truth","Observed feedback timing percentile."
"retransmission_count_distribution","UL@canonical_slot_runtime","mean_retx","available",0,"count","canonical_slot_runtime_truth","Observed retransmission count per runtime HARQ packet identity."
"retransmission_count_distribution","UL@canonical_slot_runtime","retx_packet_rate","available",0,"fraction","canonical_slot_runtime_truth","Observed packets with at least one retransmission."
"retransmission_count_distribution","UL@canonical_slot_runtime","retx_packets_observed","available",0,"count","canonical_slot_runtime_truth","Observed retransmitted packet identities."
"combining_gain","UL@canonical_slot_runtime","mean_llr_gain_dB","not_available",NaN,"dB","canonical_slot_runtime_truth","Receiver-reported position-aware LLR combining gain."
"ack_nack_dtx_distribution","UL@canonical_slot_runtime","first_attempt_ack_rate","available",0,"fraction","canonical_slot_runtime_truth","Observed first-attempt combined decode result."
"ack_nack_dtx_distribution","UL@canonical_slot_runtime","first_attempt_nack_rate","available",1,"fraction","canonical_slot_runtime_truth","Observed first-attempt NACK rate."
"ack_nack_dtx_distribution","UL@canonical_slot_runtime","final_ack_rate","available",0,"fraction","canonical_slot_runtime_truth","Last observed decode result for each runtime packet identity."
"ack_nack_dtx_distribution","UL@canonical_slot_runtime","final_nack_rate","available",1,"fraction","canonical_slot_runtime_truth","Last observed NACK at run completion; not relabeled as a terminal drop."
"ack_nack_dtx_distribution","UL@canonical_slot_runtime","dtx_rate","not_available",NaN,"fraction","canonical_slot_runtime_truth","Runtime timeline does not expose a DTX observation."
"feedback_overhead","UL@canonical_slot_runtime","total_bits","available",2,"bits","canonical_slot_runtime_truth","One observed ACK/NACK feedback bit per runtime attempt."
"stop_condition_distribution","UL@canonical_slot_runtime","ack_rate","available",0,"fraction","canonical_slot_runtime_truth","Observed packet identities ending with CRC pass."
"stop_condition_distribution","UL@canonical_slot_runtime","drop_rate","not_available",NaN,"fraction","canonical_slot_runtime_truth","Run-end NACK is not sufficient evidence of max-retransmission drop."
"latency_percentile","UL@canonical_slot_runtime","p95_ms","available",2,"ms","canonical_slot_runtime_truth","Observed HARQ feedback timing percentile."
"reliability_percentile","UL@canonical_slot_runtime","success_rate","available",0,"fraction","canonical_slot_runtime_truth","Observed final decode success rate."
"control_miss_induced_harq_penalties","UL@canonical_slot_runtime","penalty_rate","not_available",NaN,"fraction","canonical_slot_runtime_truth","No control-miss attribution is present in the runtime HARQ timeline."
"parity_cb_packet_level_coding_benefits","UL@canonical_slot_runtime","gain_fraction","not_available",NaN,"fraction","canonical_slot_runtime_truth","No independent parity-CB benefit attribution is present."
"harq_gain_per_retransmission","UL@canonical_slot_runtime","recovered_after_retx_rate","not_available",NaN,"fraction","canonical_slot_runtime_truth","Observed packets recovered only after one or more retransmissions."
