FamilyID,Quantity,BaselineError,TreatmentError,BaselineVariance,TreatmentVariance,BaselineAge,TreatmentAge,Status
F07,RSSI,0.87,0.37,0.57,0.23,12,4,PASS
F07,EVM,0.88,0.38,0.5,0.24,8,5,PASS
F07,SS-RSRP,0.8,0.39,0.51,0.25,9,3,PASS
F07,CSI-RSRP,0.81,0.4,0.52,0.26,10,4,PASS
F07,SS-RSRQ,0.82,0.41,0.53,0.27,11,5,PASS
F07,CSI-RSRQ,0.83,0.35,0.54,0.22,12,3,PASS
F08,SS-SINR,0.84,0.36,0.55,0.23,8,4,PASS
F08,CSI-SINR,0.85,0.37,0.56,0.24,9,5,PASS
F08,RSSI,0.86,0.38,0.57,0.25,10,3,PASS
F08,EVM,0.87,0.39,0.5,0.26,11,4,PASS
F08,SS-RSRP,0.88,0.4,0.51,0.27,12,5,PASS
F08,CSI-RSRP,0.8,0.41,0.52,0.22,8,3,PASS
F08,SS-RSRQ,0.81,0.35,0.53,0.23,9,4,PASS
F08,CSI-RSRQ,0.82,0.36,0.54,0.24,10,5,PASS
F08,SS-SINR,0.83,0.37,0.55,0.25,11,3,PASS
F08,CSI-SINR,0.84,0.38,0.56,0.26,12,4,PASS
F08,RSSI,0.85,0.39,0.57,0.27,8,5,PASS
F08,EVM,0.86,0.4,0.5,0.22,9,3,PASS
F09,SS-RSRP,0.87,0.41,0.51,0.23,10,4,PASS
F09,CSI-RSRP,0.88,0.35,0.52,0.24,11,5,PASS
F09,SS-RSRQ,0.8,0.36,0.53,0.25,12,3,PASS
F09,CSI-RSRQ,0.81,0.37,0.54,0.26,8,4,PASS
