CaseID,ProfileID,FrequencyOffset_Hz,RBW_Hz,MeasuredPower_dBm,Limit_dBm,Margin_dB,SourceWaveformSHA256,MeasurementMethod,Status
SEM-0016,rf_conformance_emulation_bs_fr1,16000000,100000,-50.6952226669286,-38.2,12.4952226669286,730bcb366c41bcbab4f6e8568ddc0a05a6c11905fb72ba4958f139c67b029126,sample_domain_explicit_rbw_integration,PASS
SEM-0017,rf_conformance_emulation_bs_fr1,17000000,100000,-51.0452226669287,-38.4,12.6452226669287,0bbda39582702c9a2d499d61955b1e8150ceada1a21925918f2813d7cf648b28,sample_domain_explicit_rbw_integration,PASS
SEM-0018,rf_conformance_emulation_bs_fr1,18000000,100000,-51.3,-38.6,12.7,9fd160c436ec838f8257e17525a979f2f44cf5358aac93304c479be1532c1c86,sample_domain_explicit_rbw_integration,PASS
SEM-0019,rf_conformance_emulation_bs_fr1,19000000,100000,-51.7452226669286,-38.8,12.9452226669286,3c02d91c3f3c50d841cad47254cbec11c8ab3b4c0d0bb9c4ec05cb745997d30e,sample_domain_explicit_rbw_integration,PASS
SEM-0020,rf_conformance_emulation_bs_fr1,20000000,100000,-52.0952226669286,-39,13.0952226669286,d785305209d51c934eb2d3e96f4acafdd18993bd539385f70a5dd6dc4af08b5a,sample_domain_explicit_rbw_integration,PASS
SEM-0021,rf_conformance_emulation_bs_fr1,21000000,100000,-52.35,-39.2,13.15,c3c858fdd0e189fb6e3ed85325dffb9481dbb38e60fb631033e2a0a47e38d75d,sample_domain_explicit_rbw_integration,PASS
SEM-0022,rf_conformance_emulation_bs_fr1,22000000,100000,-52.7952226669287,-39.4,13.3952226669287,614443f6d4aa6d9f234de292c8742313c9cfcb7cfba41d2450aa03736cc8bd93,sample_domain_explicit_rbw_integration,PASS
SEM-0023,rf_conformance_emulation_bs_fr1,23000000,100000,-53.1452226669288,-39.6,13.5452226669288,eed704f9c055a3521aec0a0b45dc2fb80c1107ed518da5909eaac5ce01919089,sample_domain_explicit_rbw_integration,PASS
SEM-0024,rf_conformance_emulation_bs_fr1,24000000,100000,-53.4,-39.8,13.6,55724e584a3de0e19f791a8c4d6e9de5830c92aeb8f722be3d29cd6665b29003,sample_domain_explicit_rbw_integration,PASS
SEM-0025,rf_conformance_emulation_bs_fr1,25000000,100000,-53.8452226669285,-40,13.8452226669285,c8592c0f0ebd429a81af6437ead087df1b90c5d7331363c24f968dc3d921bd11,sample_domain_explicit_rbw_integration,PASS
SEM-0026,rf_conformance_emulation_bs_fr1,26000000,100000,-54.1952226669287,-40.2,13.9952226669287,163944452a8e27747df873561d03fc1bc4095ffbfa144401923725974f2aadb8,sample_domain_explicit_rbw_integration,PASS
SEM-0027,rf_conformance_emulation_bs_fr1,27000000,100000,-54.45,-40.4,14.05,3baab333aa7f6b0f69d012cea2e47eb58a29f7778f74e9827c8e7fef9594a292,sample_domain_explicit_rbw_integration,PASS
SEM-0028,rf_conformance_emulation_bs_fr1,28000000,100000,-54.8952226669286,-40.6,14.2952226669286,6e87c5bb82fbfb4aa1b248f3460a1f3a8da3574a1d1e2decb5e151595485f03c,sample_domain_explicit_rbw_integration,PASS
SEM-0029,rf_conformance_emulation_bs_fr1,29000000,100000,-55.2452226669286,-40.8,14.4452226669286,612e1960f7ec7591d6d9ed63738aa3fe2810cc71e704929cddafa5bb76263632,sample_domain_explicit_rbw_integration,PASS
SEM-0030,rf_conformance_emulation_bs_fr1,30000000,100000,-55.5,-41,14.5,63e946fac37e81d5677da38e78b35fa556c9598e73d910f5ed4c017a9dd99afc,sample_domain_explicit_rbw_integration,PASS
SEM-0031,rf_conformance_emulation_bs_fr1,31000000,100000,-55.9452226669287,-41.2,14.7452226669287,38fae56af6c783294149413c2fb2e6f1de8ad36cf531cb48b7fc79eec0d0845b,sample_domain_explicit_rbw_integration,PASS
SEM-0032,rf_conformance_emulation_bs_fr1,32000000,100000,-56.2952226669288,-41.4,14.8952226669288,6954a21f80f47d75e3233c568c1b779f2f69f9c7185457748a803ab97869a337,sample_domain_explicit_rbw_integration,PASS
SEM-0033,rf_conformance_emulation_bs_fr1,33000000,100000,-56.55,-41.6,14.95,4a01c84a0c88ef2e36465e7b63ad5dec7fb9cb954727f6ce231b52c8c6240a95,sample_domain_explicit_rbw_integration,PASS
SEM-0034,rf_conformance_emulation_bs_fr1,34000000,100000,-56.9952226669285,-41.8,15.1952226669285,db4a5714a47f4aab4d451faff1d87ee1b38cc7312b1012ed2e932ad06c4f1792,sample_domain_explicit_rbw_integration,PASS
SEM-0035,rf_conformance_emulation_bs_fr1,35000000,100000,-57.3452226669287,-42,15.3452226669287,484469ce2f1705001fd4071d2b7aec519c5a8a43e7c5c16a83dfd62d44945078,sample_domain_explicit_rbw_integration,PASS
SEM-0036,rf_conformance_emulation_bs_fr1,36000000,100000,-57.6,-42.2,15.4,b0832df2259a023677078059c31345c6226f3ca0f6d32de7a12a0f4a284cbea9,sample_domain_explicit_rbw_integration,PASS
SEM-0037,rf_conformance_emulation_bs_fr1,37000000,100000,-58.0452226669286,-42.4,15.6452226669286,02d6487fa09d04b18bb96428bf05aa52aaa19d2d9f7e1c023c82ff72dacf0079,sample_domain_explicit_rbw_integration,PASS
SEM-0038,rf_conformance_emulation_bs_fr1,38000000,100000,-58.3952226669288,-42.6,15.7952226669288,fa5bbddeb6d822b9a949a24b072d2af4f739b2c2dcbd67fc3fd2ecb521f20a93,sample_domain_explicit_rbw_integration,PASS
SEM-0039,rf_conformance_emulation_bs_fr1,39000000,100000,-58.65,-42.8,15.85,ee4e8f3b954fb7b9825edb8151b976192fee80094e130497e11aff10fd5df5d7,sample_domain_explicit_rbw_integration,PASS
SEM-0040,rf_conformance_emulation_bs_fr1,40000000,100000,-59.0952226669287,-43,16.0952226669287,c9f02360a0b62b3d6b40af46638ed620bf587a6ab26c6d0d6f1390e494fe6427,sample_domain_explicit_rbw_integration,PASS
SEM-0041,rf_conformance_emulation_bs_fr1,41000000,100000,-59.4452226669287,-43.2,16.2452226669287,5ee34a85fca37887c933f55b498190688fa1bb9f251abd5be1568e1a79ae2e39,sample_domain_explicit_rbw_integration,PASS
SEM-0042,rf_conformance_emulation_bs_fr1,42000000,100000,-59.7,-43.4,16.3,a86ccbb8511fae31a620bdb02a821f3761ac7775c512fdd545ac487bc95652ab,sample_domain_explicit_rbw_integration,PASS
SEM-0043,rf_conformance_emulation_bs_fr1,43000000,100000,-60.1452226669288,-43.6,16.5452226669288,540cb6d20714db7346bc39b8e2ae46f055fddc6091a49fd5019799afa3421712,sample_domain_explicit_rbw_integration,PASS
SEM-0044,rf_conformance_emulation_bs_fr1,44000000,100000,-60.4952226669287,-43.8,16.6952226669287,f226ae2f4db220d56f9bb9c2660aea21af2125a814e2021dd3eac8a5b0a841f9,sample_domain_explicit_rbw_integration,PASS
SEM-0045,rf_conformance_emulation_bs_fr1,45000000,100000,-60.75,-44,16.75,12f03c8296e619d0faa4e07f0c12464937b4e92381d85917619ad145fb60a6ed,sample_domain_explicit_rbw_integration,PASS
SEM-0046,rf_conformance_emulation_bs_fr1,46000000,100000,-61.1952226669284,-44.2,16.9952226669284,83812fd2bef3e84b09a981afaae4a73fb3fd43bc390d26d2de6da9b9a1016fd5,sample_domain_explicit_rbw_integration,PASS
SEM-0047,rf_conformance_emulation_bs_fr1,47000000,100000,-61.5452226669286,-44.4,17.1452226669286,46f684de288560f242eedb8afbc0121ae579e3fae8bb93fca088fe64605d8e5c,sample_domain_explicit_rbw_integration,PASS
SEM-0048,rf_conformance_emulation_bs_fr1,48000000,100000,-61.8,-44.6,17.2,63d44026f5792837a2c93422ec1e327300474e07772b2e704110da9db23b7004,sample_domain_explicit_rbw_integration,PASS
SEM-0049,rf_conformance_emulation_bs_fr1,49000000,100000,-62.2452226669285,-44.8,17.4452226669285,191485ceaa80403623874bdd44b23c1354732a7b48104a4c5740143cc7eb7cd4,sample_domain_explicit_rbw_integration,PASS
SEM-0050,rf_conformance_emulation_bs_fr1,50000000,100000,-62.5952226669289,-45,17.5952226669289,8195bbe72599671c1d76a76f0d2a0132a2fa97199005167e1582382ad3573791,sample_domain_explicit_rbw_integration,PASS
SEM-0051,rf_conformance_emulation_bs_fr1,51000000,100000,-62.85,-45.2,17.65,ed332c7e3d29da9af0c7bf9b097c54af72261d4ec28e387e06747a4f4badfcf9,sample_domain_explicit_rbw_integration,PASS
SEM-0052,rf_conformance_emulation_bs_fr1,52000000,100000,-63.2952226669286,-45.4,17.8952226669286,042e2d47853dd599c143055c84e031f592a0d3096a97dd097a04e2be95d90d53,sample_domain_explicit_rbw_integration,PASS
SEM-0053,rf_conformance_emulation_bs_fr1,53000000,100000,-63.6452226669289,-45.6,18.0452226669289,6082f7f945c1c8b55ee8839018b4115e05341464b23a6e4a6203f5eba0bad851,sample_domain_explicit_rbw_integration,PASS
SEM-0054,rf_conformance_emulation_bs_fr1,54000000,100000,-63.9,-45.8,18.1,20a79a7a2cc4ad63a9f9c1574a1513d8aeef51828fe1457ecd141c8dec85ba2e,sample_domain_explicit_rbw_integration,PASS
SEM-0055,rf_conformance_emulation_bs_fr1,55000000,100000,-64.3452226669286,-46,18.3452226669286,2cbf4801f6d56acf2ea50b9ce89f8b036ffee94169c20a61b84984d00b7f0505,sample_domain_explicit_rbw_integration,PASS
SEM-0056,rf_conformance_emulation_bs_fr1,56000000,100000,-64.6952226669288,-46.2,18.4952226669288,3f87bbd04ac39a9994c7de2b3e7b938da1b774d36c21d81afb4652c6b45d9776,sample_domain_explicit_rbw_integration,PASS
SEM-0057,rf_conformance_emulation_bs_fr1,57000000,100000,-64.95,-46.4,18.55,35a7b68d4e1df426c9accfeb4cc2d8e91bfb9520e30197ca2be99e9222ae0119,sample_domain_explicit_rbw_integration,PASS
SEM-0058,rf_conformance_emulation_bs_fr1,58000000,100000,-65.3952226669287,-46.6,18.7952226669287,fa5d6508c358986f1e9ab03f59ca914dc18401f84b0c11f801c842166a670610,sample_domain_explicit_rbw_integration,PASS
SEM-0059,rf_conformance_emulation_bs_fr1,59000000,100000,-65.7452226669287,-46.8,18.9452226669287,b8d1a22d1d865e6f11d4d31e00e0a70a6727867d27f156e5145db043b461a774,sample_domain_explicit_rbw_integration,PASS
SEM-0060,rf_conformance_emulation_bs_fr1,60000000,100000,-66,-47,19,d998cc3f3fa33e61a1b19187f8cfb1cc8a746016cf7fdba0ed7dbc4f40c7b09f,sample_domain_explicit_rbw_integration,PASS
SEM-0061,rf_conformance_emulation_bs_fr1,61000000,100000,-66.4452226669284,-47.2,19.2452226669284,dca731c0d1b49a442cc1d0ce8f348a43aba266d846f369b2de6c6c537a83c43c,sample_domain_explicit_rbw_integration,PASS
SEM-0062,rf_conformance_emulation_bs_fr1,62000000,100000,-66.7952226669286,-47.4,19.3952226669286,f631173ee3aed460d64929aa0a9556ab1ee7d56827f8176150fe5f6d9a1cd34e,sample_domain_explicit_rbw_integration,PASS
SEM-0063,rf_conformance_emulation_bs_fr1,63000000,100000,-67.05,-47.6,19.45,c3f8d7b703233504458d9eaef548dafae99c0f175ea79b25e5408483b20d93e1,sample_domain_explicit_rbw_integration,PASS
SEM-0064,rf_conformance_emulation_bs_fr1,64000000,100000,-67.4952226669284,-47.8,19.6952226669284,883797ddf342b72f7e878a322e04d52d1cca4036200018f274315b2bcabbd429,sample_domain_explicit_rbw_integration,PASS
SEM-0065,rf_conformance_emulation_bs_fr1,65000000,100000,-67.845222666929,-48,19.845222666929,2eade2f83d59bade30a11ed7959a8d778cb429bd69919adac328306bf30d9ad6,sample_domain_explicit_rbw_integration,PASS
SEM-0066,rf_conformance_emulation_bs_fr1,66000000,100000,-68.1,-48.2,19.9,fedf0f0318d16be0b3d35a28497b186954320e5de7fbc470e8dbcc494bf10894,sample_domain_explicit_rbw_integration,PASS
SEM-0067,rf_conformance_emulation_bs_fr1,67000000,100000,-68.5452226669285,-48.4,20.1452226669285,e6d74a794f3869007d79c1c150f02ad3506af9e87340c4f5f706f68a1707830b,sample_domain_explicit_rbw_integration,PASS
SEM-0068,rf_conformance_emulation_bs_fr1,68000000,100000,-68.8952226669289,-48.6,20.2952226669289,7723227631562ad50033ee932102a1fc74e929634905a314dfeae40959f16054,sample_domain_explicit_rbw_integration,PASS
SEM-0069,rf_conformance_emulation_bs_fr1,69000000,100000,-69.15,-48.8,20.35,f223d3d8587bfc9e19b38eff1d5bf72eb8264b0ab22f96013a99b182470c4f1d,sample_domain_explicit_rbw_integration,PASS
SEM-0070,rf_conformance_emulation_bs_fr1,70000000,100000,-69.5952226669286,-49,20.5952226669286,cdbac9cdbce6794cccbdf87541719e2aab389f2ea7930d6561c5e61c768b86f2,sample_domain_explicit_rbw_integration,PASS
SEM-0071,rf_conformance_emulation_bs_fr1,71000000,100000,-69.9452226669288,-49.2,20.7452226669288,f4ce37a5054753fd9e539d00186bcfb92d32f01acd3ff8b83e167f8d03550024,sample_domain_explicit_rbw_integration,PASS
SEM-0072,rf_conformance_emulation_bs_fr1,72000000,100000,-70.2,-49.4,20.8,e9ea5d6a17160fcd864faa37a8a10db0bdbdccf5e9331034c65a4e667423ea9f,sample_domain_explicit_rbw_integration,PASS
SEM-0073,rf_conformance_emulation_bs_fr1,73000000,100000,-70.6452226669287,-49.6,21.0452226669287,c1a0f12403e59dade105b2a28fbef92af179e2b75ec0f3b713c2a89e17450c94,sample_domain_explicit_rbw_integration,PASS
SEM-0074,rf_conformance_emulation_bs_fr1,74000000,100000,-70.9952226669288,-49.8,21.1952226669288,bd646c30cedeb0384435a2807daea2f7de0b3151b40e1dc76ed1dc1b8b620156,sample_domain_explicit_rbw_integration,PASS
SEM-0075,rf_conformance_emulation_bs_fr1,75000000,100000,-71.25,-50,21.25,646f4a782664662ca806e4e0cb1a50bb81117d627a7d9a6db4e64e9b08be5531,sample_domain_explicit_rbw_integration,PASS
SEM-0076,rf_conformance_emulation_bs_fr1,76000000,100000,-71.6952226669283,-50.2,21.4952226669283,daa495d5a1d825b4375d1b4b28317256e94e39477508299c3b623d9ee67e81f3,sample_domain_explicit_rbw_integration,PASS
SEM-0077,rf_conformance_emulation_bs_fr1,77000000,100000,-72.0452226669287,-50.4,21.6452226669287,5a88e1a1270b7b40dd7a3f17943c2afcd2ae3ceb1c3f47528ce92167c8f8cf60,sample_domain_explicit_rbw_integration,PASS
SEM-0078,rf_conformance_emulation_bs_fr1,78000000,100000,-72.3,-50.6,21.7,bc001c7bc20fe9d33c679fc5469f73b51eb218c85ccb315635c86f50e0340ae7,sample_domain_explicit_rbw_integration,PASS
SEM-0079,rf_conformance_emulation_bs_fr1,79000000,100000,-72.7452226669284,-50.8,21.9452226669284,ec5f94483b620dc694ae040ab28ab92409e2b2266533d5f9c03c027f55719228,sample_domain_explicit_rbw_integration,PASS
SEM-0080,rf_conformance_emulation_bs_fr1,80000000,100000,-73.0952226669286,-51,22.0952226669286,1223ccf3a164704553b12b1c8c4eecf3cfe5d0539964a828373b11f7bdffe15a,sample_domain_explicit_rbw_integration,PASS
SEM-0081,rf_conformance_emulation_bs_fr1,81000000,100000,-73.35,-51.2,22.15,1416762415fccb1d4c9dcce183c468799bc09d6fd9c2f81f28b70632e79106bb,sample_domain_explicit_rbw_integration,PASS
SEM-0082,rf_conformance_emulation_bs_fr1,82000000,100000,-73.7952226669285,-51.4,22.3952226669285,72b1a77e7b9bc5777cc157b35a7f3a19ca1ae15490879b0bbf2dcf18a9934aa3,sample_domain_explicit_rbw_integration,PASS
SEM-0083,rf_conformance_emulation_bs_fr1,83000000,100000,-74.1452226669289,-51.6,22.5452226669289,e64249c3745b9ee97c88490d2be57949e540203d934f451db0096b65242eb1d1,sample_domain_explicit_rbw_integration,PASS
SEM-0084,rf_conformance_emulation_bs_fr1,84000000,100000,-74.4,-51.8,22.6,4c61ed3169b427009bd8594447715c428a02abb5c0326e193c5f4d020c928742,sample_domain_explicit_rbw_integration,PASS
SEM-0085,rf_conformance_emulation_bs_fr1,85000000,100000,-74.8452226669285,-52,22.8452226669285,1b59d4fbdd6c22c816d02dfd171ce586e2511842f80d2a8f5aa57645a451b1d7,sample_domain_explicit_rbw_integration,PASS
SEM-0086,rf_conformance_emulation_bs_fr1,86000000,100000,-75.1952226669284,-52.2,22.9952226669284,88e06f0aef215fc5d044ff80d88732eda609318449bc3dfb0b93d1c708795827,sample_domain_explicit_rbw_integration,PASS
SEM-0087,rf_conformance_emulation_bs_fr1,87000000,100000,-75.45,-52.4,23.05,83b825ee5ce12874aa98d92bfe09a6d0a5e292952aa28e4452c5513e698dcdce,sample_domain_explicit_rbw_integration,PASS
SEM-0088,rf_conformance_emulation_bs_fr1,88000000,100000,-75.8952226669286,-52.6,23.2952226669286,80630fc54ddabef8db88146f3f4f666a2514e37b2003bb0b43088d5eca8ecbf9,sample_domain_explicit_rbw_integration,PASS
SEM-0089,rf_conformance_emulation_bs_fr1,89000000,100000,-76.2452226669288,-52.8,23.4452226669288,28c777726d5f33397d1b54e8c8f2040eed24622606913a43d574322eb2297fcc,sample_domain_explicit_rbw_integration,PASS
SEM-0090,rf_conformance_emulation_bs_fr1,90000000,100000,-76.5,-53,23.5,82ca41d2301b976872d1cb8f86576f8e1f24ca63a1424abe82f6d1030ecdf86b,sample_domain_explicit_rbw_integration,PASS
SEM-0091,rf_conformance_emulation_bs_fr1,91000000,100000,-76.9452226669283,-53.2,23.7452226669283,601956e4ab54ba27fd9b230b4129b56742279a5a843306d6462f184316c140ed,sample_domain_explicit_rbw_integration,PASS
SEM-0092,rf_conformance_emulation_bs_fr1,92000000,100000,-77.2952226669291,-53.4,23.8952226669291,d900806e02299a60ecc457cb02f9280afd3562d75a6828db82f67964662418c0,sample_domain_explicit_rbw_integration,PASS
SEM-0093,rf_conformance_emulation_bs_fr1,93000000,100000,-77.55,-53.6,23.95,900f919630b4defe2d497a05b481c740e848df7b90c773585d6d76cae7421198,sample_domain_explicit_rbw_integration,PASS
SEM-0094,rf_conformance_emulation_bs_fr1,94000000,100000,-77.9952226669288,-53.8,24.1952226669288,6852c6d1cc3dd7294ac793f45bd6829389b37fa32247c67d8585b5e9d8849027,sample_domain_explicit_rbw_integration,PASS
SEM-0095,rf_conformance_emulation_bs_fr1,95000000,100000,-78.3452226669286,-54,24.3452226669286,cb648ff1bc09a5a4766c7be613249de40ead159b51d227168da73fde702f56b2,sample_domain_explicit_rbw_integration,PASS
SEM-0096,rf_conformance_emulation_bs_fr1,96000000,100000,-78.6,-54.2,24.4,073d385f04e4672d877494e0ae4f1e3450624df7706c999cb20afd17d2ae57fd,sample_domain_explicit_rbw_integration,PASS
SEM-0097,rf_conformance_emulation_bs_fr1,97000000,100000,-79.0452226669284,-54.4,24.6452226669284,58f32e30bace1564528daec56879b334d16565325f3870924530eef2ab799982,sample_domain_explicit_rbw_integration,PASS
SEM-0098,rf_conformance_emulation_bs_fr1,98000000,100000,-79.395222666929,-54.6,24.795222666929,885694e903d5947af82e7abb62436700c1e7bf46b25d83c0660b231a32c0b81a,sample_domain_explicit_rbw_integration,PASS
SEM-0099,rf_conformance_emulation_bs_fr1,99000000,100000,-79.65,-54.8,24.85,f61a3799ce5793c5ad67cf5f046eaf1b669a46259b1a375f28aaa8d041bf0ebc,sample_domain_explicit_rbw_integration,PASS
SEM-0100,rf_conformance_emulation_bs_fr1,100000000,100000,-80.0952226669281,-55,25.0952226669281,d53b02b42594c99a75477520c43d47a85db3f7f3f24a159df23006650090227a,sample_domain_explicit_rbw_integration,PASS
