CaseID,ProfileID,Feature,ExpectedOutcome,ActualOutcome,ClaimClass,Status
CAP-0035,ideal_phy_strict,rf_device_certification,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0036,rf_impaired_research,identity_chain,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0037,rf_impaired_research,absolute_power,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0038,rf_impaired_research,thermal_noise,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0039,rf_impaired_research,static_cfo,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0040,rf_impaired_research,cfo_drift,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0041,rf_impaired_research,timing_offset,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0042,rf_impaired_research,sample_clock_offset,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0043,rf_impaired_research,phase_noise,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0044,rf_impaired_research,common_lo_phase_noise,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0045,rf_impaired_research,frequency_flat_iq,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0046,rf_impaired_research,frequency_selective_iq,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0047,rf_impaired_research,dc_lo_leakage,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0048,rf_impaired_research,memoryless_pa,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0049,rf_impaired_research,memory_pa,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0050,rf_impaired_research,cfr,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0051,rf_impaired_research,dpd,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0052,rf_impaired_research,dac,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0053,rf_impaired_research,lna_filter,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0054,rf_impaired_research,agc,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0055,rf_impaired_research,adc,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0056,rf_impaired_research,blocker,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0057,rf_impaired_research,receiver_intermod,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0058,rf_impaired_research,reciprocal_mixing,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0059,rf_impaired_research,evm,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0060,rf_impaired_research,frequency_error,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0061,rf_impaired_research,aclr,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0062,rf_impaired_research,sem_obue,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0063,rf_impaired_research,carrier_leakage,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0064,rf_impaired_research,pusch_power_control,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0065,rf_impaired_research,pucch_power_control,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0066,rf_impaired_research,srs_power_control,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0067,rf_impaired_research,prach_power_control,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0068,rf_impaired_research,multi_chain_covariance,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0069,rf_impaired_research,impairment_interactions,EXECUTE,EXECUTE,RESEARCH,PASS
CAP-0070,rf_impaired_research,rf_device_certification,REJECT,REJECT,RESEARCH,PASS
CAP-0071,rf_conformance_emulation_bs_fr1,identity_chain,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0072,rf_conformance_emulation_bs_fr1,absolute_power,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0073,rf_conformance_emulation_bs_fr1,thermal_noise,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0074,rf_conformance_emulation_bs_fr1,static_cfo,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0075,rf_conformance_emulation_bs_fr1,cfo_drift,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0076,rf_conformance_emulation_bs_fr1,timing_offset,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0077,rf_conformance_emulation_bs_fr1,sample_clock_offset,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0078,rf_conformance_emulation_bs_fr1,phase_noise,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0079,rf_conformance_emulation_bs_fr1,common_lo_phase_noise,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0080,rf_conformance_emulation_bs_fr1,frequency_flat_iq,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0081,rf_conformance_emulation_bs_fr1,frequency_selective_iq,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0082,rf_conformance_emulation_bs_fr1,dc_lo_leakage,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0083,rf_conformance_emulation_bs_fr1,memoryless_pa,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0084,rf_conformance_emulation_bs_fr1,memory_pa,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0085,rf_conformance_emulation_bs_fr1,cfr,REJECT,REJECT,EMULATION_ONLY,PASS
CAP-0086,rf_conformance_emulation_bs_fr1,dpd,REJECT,REJECT,EMULATION_ONLY,PASS
CAP-0087,rf_conformance_emulation_bs_fr1,dac,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0088,rf_conformance_emulation_bs_fr1,lna_filter,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0089,rf_conformance_emulation_bs_fr1,agc,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0090,rf_conformance_emulation_bs_fr1,adc,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0091,rf_conformance_emulation_bs_fr1,blocker,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0092,rf_conformance_emulation_bs_fr1,receiver_intermod,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0093,rf_conformance_emulation_bs_fr1,reciprocal_mixing,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0094,rf_conformance_emulation_bs_fr1,evm,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0095,rf_conformance_emulation_bs_fr1,frequency_error,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0096,rf_conformance_emulation_bs_fr1,aclr,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0097,rf_conformance_emulation_bs_fr1,sem_obue,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0098,rf_conformance_emulation_bs_fr1,carrier_leakage,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0099,rf_conformance_emulation_bs_fr1,pusch_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0100,rf_conformance_emulation_bs_fr1,pucch_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0101,rf_conformance_emulation_bs_fr1,srs_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0102,rf_conformance_emulation_bs_fr1,prach_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0103,rf_conformance_emulation_bs_fr1,multi_chain_covariance,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0104,rf_conformance_emulation_bs_fr1,impairment_interactions,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0105,rf_conformance_emulation_bs_fr1,rf_device_certification,REJECT,REJECT,EMULATION_ONLY,PASS
CAP-0106,rf_conformance_emulation_ue_fr1,identity_chain,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0107,rf_conformance_emulation_ue_fr1,absolute_power,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0108,rf_conformance_emulation_ue_fr1,thermal_noise,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0109,rf_conformance_emulation_ue_fr1,static_cfo,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0110,rf_conformance_emulation_ue_fr1,cfo_drift,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0111,rf_conformance_emulation_ue_fr1,timing_offset,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0112,rf_conformance_emulation_ue_fr1,sample_clock_offset,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0113,rf_conformance_emulation_ue_fr1,phase_noise,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0114,rf_conformance_emulation_ue_fr1,common_lo_phase_noise,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0115,rf_conformance_emulation_ue_fr1,frequency_flat_iq,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0116,rf_conformance_emulation_ue_fr1,frequency_selective_iq,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0117,rf_conformance_emulation_ue_fr1,dc_lo_leakage,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0118,rf_conformance_emulation_ue_fr1,memoryless_pa,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0119,rf_conformance_emulation_ue_fr1,memory_pa,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0120,rf_conformance_emulation_ue_fr1,cfr,REJECT,REJECT,EMULATION_ONLY,PASS
CAP-0121,rf_conformance_emulation_ue_fr1,dpd,REJECT,REJECT,EMULATION_ONLY,PASS
CAP-0122,rf_conformance_emulation_ue_fr1,dac,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0123,rf_conformance_emulation_ue_fr1,lna_filter,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0124,rf_conformance_emulation_ue_fr1,agc,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0125,rf_conformance_emulation_ue_fr1,adc,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0126,rf_conformance_emulation_ue_fr1,blocker,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0127,rf_conformance_emulation_ue_fr1,receiver_intermod,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0128,rf_conformance_emulation_ue_fr1,reciprocal_mixing,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0129,rf_conformance_emulation_ue_fr1,evm,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0130,rf_conformance_emulation_ue_fr1,frequency_error,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0131,rf_conformance_emulation_ue_fr1,aclr,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0132,rf_conformance_emulation_ue_fr1,sem_obue,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0133,rf_conformance_emulation_ue_fr1,carrier_leakage,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0134,rf_conformance_emulation_ue_fr1,pusch_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0135,rf_conformance_emulation_ue_fr1,pucch_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0136,rf_conformance_emulation_ue_fr1,srs_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0137,rf_conformance_emulation_ue_fr1,prach_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0138,rf_conformance_emulation_ue_fr1,multi_chain_covariance,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0139,rf_conformance_emulation_ue_fr1,impairment_interactions,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0140,rf_conformance_emulation_ue_fr1,rf_device_certification,REJECT,REJECT,EMULATION_ONLY,PASS
CAP-0141,rf_conformance_emulation_fr2,identity_chain,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0142,rf_conformance_emulation_fr2,absolute_power,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0143,rf_conformance_emulation_fr2,thermal_noise,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0144,rf_conformance_emulation_fr2,static_cfo,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0145,rf_conformance_emulation_fr2,cfo_drift,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0146,rf_conformance_emulation_fr2,timing_offset,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0147,rf_conformance_emulation_fr2,sample_clock_offset,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0148,rf_conformance_emulation_fr2,phase_noise,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0149,rf_conformance_emulation_fr2,common_lo_phase_noise,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0150,rf_conformance_emulation_fr2,frequency_flat_iq,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0151,rf_conformance_emulation_fr2,frequency_selective_iq,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0152,rf_conformance_emulation_fr2,dc_lo_leakage,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0153,rf_conformance_emulation_fr2,memoryless_pa,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0154,rf_conformance_emulation_fr2,memory_pa,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0155,rf_conformance_emulation_fr2,cfr,REJECT,REJECT,EMULATION_ONLY,PASS
CAP-0156,rf_conformance_emulation_fr2,dpd,REJECT,REJECT,EMULATION_ONLY,PASS
CAP-0157,rf_conformance_emulation_fr2,dac,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0158,rf_conformance_emulation_fr2,lna_filter,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0159,rf_conformance_emulation_fr2,agc,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0160,rf_conformance_emulation_fr2,adc,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0161,rf_conformance_emulation_fr2,blocker,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0162,rf_conformance_emulation_fr2,receiver_intermod,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0163,rf_conformance_emulation_fr2,reciprocal_mixing,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0164,rf_conformance_emulation_fr2,evm,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0165,rf_conformance_emulation_fr2,frequency_error,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0166,rf_conformance_emulation_fr2,aclr,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0167,rf_conformance_emulation_fr2,sem_obue,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0168,rf_conformance_emulation_fr2,carrier_leakage,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0169,rf_conformance_emulation_fr2,pusch_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0170,rf_conformance_emulation_fr2,pucch_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0171,rf_conformance_emulation_fr2,srs_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0172,rf_conformance_emulation_fr2,prach_power_control,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0173,rf_conformance_emulation_fr2,multi_chain_covariance,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0174,rf_conformance_emulation_fr2,impairment_interactions,EXECUTE,EXECUTE,EMULATION_ONLY,PASS
CAP-0175,rf_conformance_emulation_fr2,rf_device_certification,REJECT,REJECT,EMULATION_ONLY,PASS
CAP-0176,unsupported_rf_device_conformance,identity_chain,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0177,unsupported_rf_device_conformance,absolute_power,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0178,unsupported_rf_device_conformance,thermal_noise,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0179,unsupported_rf_device_conformance,static_cfo,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0180,unsupported_rf_device_conformance,cfo_drift,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0181,unsupported_rf_device_conformance,timing_offset,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0182,unsupported_rf_device_conformance,sample_clock_offset,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0183,unsupported_rf_device_conformance,phase_noise,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0184,unsupported_rf_device_conformance,common_lo_phase_noise,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0185,unsupported_rf_device_conformance,frequency_flat_iq,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0186,unsupported_rf_device_conformance,frequency_selective_iq,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0187,unsupported_rf_device_conformance,dc_lo_leakage,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0188,unsupported_rf_device_conformance,memoryless_pa,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0189,unsupported_rf_device_conformance,memory_pa,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0190,unsupported_rf_device_conformance,cfr,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0191,unsupported_rf_device_conformance,dpd,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0192,unsupported_rf_device_conformance,dac,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0193,unsupported_rf_device_conformance,lna_filter,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0194,unsupported_rf_device_conformance,agc,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0195,unsupported_rf_device_conformance,adc,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0196,unsupported_rf_device_conformance,blocker,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0197,unsupported_rf_device_conformance,receiver_intermod,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0198,unsupported_rf_device_conformance,reciprocal_mixing,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0199,unsupported_rf_device_conformance,evm,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0200,unsupported_rf_device_conformance,frequency_error,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0201,unsupported_rf_device_conformance,aclr,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0202,unsupported_rf_device_conformance,sem_obue,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0203,unsupported_rf_device_conformance,carrier_leakage,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0204,unsupported_rf_device_conformance,pusch_power_control,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0205,unsupported_rf_device_conformance,pucch_power_control,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0206,unsupported_rf_device_conformance,srs_power_control,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0207,unsupported_rf_device_conformance,prach_power_control,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0208,unsupported_rf_device_conformance,multi_chain_covariance,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0209,unsupported_rf_device_conformance,impairment_interactions,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
CAP-0210,unsupported_rf_device_conformance,rf_device_certification,REJECT,REJECT,RF_DEVICE_CONFORMANCE,PASS
