CaseID,ResourceA,ResourceB,OverlapCount,OrthogonalityProven,ExpectedDisposition,ActualDisposition,Status
COL-064,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-065,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-066,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-067,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-068,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-069,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-070,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-071,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-072,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-073,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-074,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-075,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-076,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-077,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-078,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-079,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-080,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-081,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-082,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-083,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-084,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-085,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-086,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-087,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-088,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-089,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-090,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-091,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-092,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-093,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-094,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-095,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-096,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-097,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-098,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-099,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-100,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-101,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-102,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-103,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-104,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-105,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-106,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-107,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-108,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-109,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-110,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-111,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-112,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-113,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-114,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-115,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-116,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-117,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-118,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-119,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-120,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
