DatasetID,ProfileKey,Method,MCSIndex,Rank,Channel,ParameterValue,TrainingRMSE,HoldoutRMSE,DatasetSHA256,Status
RSLA-EFF-18,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,MIESM,2,4,CDL-C,0.96,0.1,0.15,64e7b72ded1c408e3fefcd1bd44bca044f612a98e6b469507902426b5dd70bd8,PASS
RSLA-EFF-19,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,EESM,4,1,AWGN,0.98,0.1,0.15,3c9a963397991a224adb10aef0e1ad9100d6cfdca13c289b5088a70c2e469283,PASS
RSLA-EFF-20,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,MIESM,4,1,TDL-C,1,0.1,0.15,ef0d3b8212259400a333b26ebbf1839a7e7e9477072023b320afb4031a55a3b7,PASS
RSLA-EFF-21,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,EESM,4,1,CDL-C,1.02,0.1,0.15,1135b646f74a6f166b4e71603d163c7fadb67e504fbc460c5e6a1971ac55cb20,PASS
RSLA-EFF-22,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,MIESM,4,2,AWGN,1.04,0.1,0.15,e90e368c9cfdc2678926422b2498135381cf1a2e31ee16ec8b2a28316c6e1a77,PASS
RSLA-EFF-23,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,EESM,4,2,TDL-C,1.06,0.1,0.15,f14635a825a872653f2599f86b42328f5d7676e618e7c1b5b320f59113c8c70e,PASS
RSLA-EFF-24,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,MIESM,4,2,CDL-C,1.08,0.1,0.15,effa0872e0a0a39fe397dff1f0bb9dc636a76dbf5fe675053195eea6656ea3ed,PASS
RSLA-EFF-25,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,EESM,4,4,AWGN,1.1,0.1,0.15,dd08f59ba38688791783f0f13a79b5b006f55491752c0b64bac1dea0c11d3aee,PASS
RSLA-EFF-26,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,MIESM,4,4,TDL-C,1.12,0.1,0.15,696b09d315d8df888501cf436707b9d229c34e1ea2d9619901b3b43ba96f6821,PASS
RSLA-EFF-27,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,EESM,4,4,CDL-C,1.14,0.1,0.15,c79d597d6e63de63c629d291fbf896f92f63abc9b19b66c3da90be4f7eb65b77,PASS
RSLA-EFF-28,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,MIESM,6,1,AWGN,1.16,0.1,0.15,50b04c5b45438d5e3c2246ec09bd24b3b5e0f4ad5b81f0052b393b7c9718486f,PASS
RSLA-EFF-29,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,EESM,6,1,TDL-C,1.18,0.1,0.15,6d56d864facc99205c50bca90351018069ae6dd556f26617ad636fd72d2e6432,PASS
RSLA-EFF-30,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,MIESM,6,1,CDL-C,1.2,0.1,0.15,2c1f44d75ab2de0a09c36efd2aff58315db9dfcf23e1067462ba2fb2154cef8a,PASS
RSLA-EFF-31,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,EESM,6,2,AWGN,1.22,0.1,0.15,877e5844e8b6fa25e8b69a64c6ffdae5b545da38aa75c41e928514a4d28c71bd,PASS
RSLA-EFF-32,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,MIESM,6,2,TDL-C,1.24,0.1,0.15,989811563ef02f98bc73ee5256ba1c408c78379b71171e939e54ae100a6e3a89,PASS
RSLA-EFF-33,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,EESM,6,2,CDL-C,1.26,0.1,0.15,2f4fae98156996956d134ee8941e132166601e2ff6e8e2384aa289cf861f3c52,PASS
RSLA-EFF-34,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,MIESM,6,4,AWGN,1.28,0.1,0.15,10b3cf185ae33bca255b0ada555b6d00e510f346e76c3cce692a45d6a23f8591,PASS
RSLA-EFF-35,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,EESM,6,4,TDL-C,1.3,0.1,0.15,0244a587b35c00d5242a3aadf497c38a1a2706bc37bf0a07695865bde42e1e80,PASS
RSLA-EFF-36,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,MIESM,6,4,CDL-C,1.32,0.1,0.15,df8693678b7800654f826677501f17b3ca8ec6afa42136f3cbbcaed14134922c,PASS
RSLA-EFF-37,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,EESM,8,1,AWGN,1.34,0.1,0.15,7c2be202b90707a910d562d443eecb329add4543ad2b956328e72e1dc122cca9,PASS
RSLA-EFF-38,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,MIESM,8,1,TDL-C,1.36,0.1,0.15,f294e313a43e69d85c30c8500ee1abee716098888edd6b804c3e192090eca708,PASS
RSLA-EFF-39,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,EESM,8,1,CDL-C,1.38,0.1,0.15,0a41d0074000a914768e2b1209d96e3e5ce74890d6b9bb7769571832d1254f8c,PASS
RSLA-EFF-40,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,MIESM,8,2,AWGN,1.4,0.1,0.15,4eb68a8f92c36182e929cfc7cd497e73dd1780f738f1de4df9f0415f0d87d520,PASS
RSLA-EFF-41,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,EESM,8,2,TDL-C,1.42,0.1,0.15,a0ccf5f0bf9017bdcd084ffebf9f74d19832cd5ad4624f9e2d35654f52379bc6,PASS
RSLA-EFF-42,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,MIESM,8,2,CDL-C,1.44,0.1,0.15,0c9f5e2b2b953ecd40f508073022627bed59f6b13f8ed8e583b30ce0300710ba,PASS
RSLA-EFF-43,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,EESM,8,4,AWGN,1.46,0.1,0.15,b57e0b57b3c743f3d366aa622437415a98b40a12a4d84fc367126d9678758e68,PASS
RSLA-EFF-44,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,MIESM,8,4,TDL-C,1.48,0.1,0.15,b919a151de0ce147886ff47e78156a2d22e99993df978648733d8c7a05fa11cb,PASS
RSLA-EFF-45,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,EESM,8,4,CDL-C,1.5,0.1,0.15,28cda7791231de91edb72c4e8a6a0e9c3f9b331fe99682165a6af2d67c7779bb,PASS
RSLA-EFF-46,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,MIESM,10,1,AWGN,1.52,0.1,0.15,833c2627a344df24c55692e8b23181e8dd2b109c36aa24fa9dd1d4f8867a196c,PASS
RSLA-EFF-47,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,EESM,10,1,TDL-C,1.54,0.1,0.15,90df90d1a73ec0205eee252a833b5a76ab0ea5e9a9a95549847cd39c4456f224,PASS
RSLA-EFF-48,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,MIESM,10,1,CDL-C,1.56,0.1,0.15,ea618a2cefe6d92337c76a5ab4ca1b3bc1055135f2933e42fbb07201078d1dac,PASS
RSLA-EFF-49,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,EESM,10,2,AWGN,1.58,0.1,0.15,e2499faf4de0afdb4a8b8b6a94e8e326d27d676af3641cf7061486cfbe8c28a1,PASS
RSLA-EFF-50,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,MIESM,10,2,TDL-C,1.6,0.1,0.15,27edcbed4861b5ca8bab149fe90d1035c4093969dd5b99189c3247138203aff2,PASS
