CapabilityID,ProfileID,Family,ExpectedSupported,ActualSupported,PlanningDisposition,Status
RSCAP-071,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-072,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-073,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-074,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-075,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-076,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-077,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-078,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-079,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-080,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-081,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-082,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-083,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-084,nr_rel18_rsla_strict,CSI-RS,true,true,EXECUTE,PASS
RSCAP-085,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-086,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-087,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-088,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-089,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-090,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-091,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-092,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-093,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-094,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-095,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-096,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-097,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-098,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-099,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-100,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-101,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-102,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-103,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-104,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-105,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-106,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-107,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-108,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-109,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-110,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-111,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-112,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-113,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-114,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-115,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-116,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-117,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-118,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-119,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-120,nr_rel18_rsla_strict,SRS,true,true,EXECUTE,PASS
RSCAP-121,nr_rel18_rsla_strict,TRS,true,true,EXECUTE,PASS
RSCAP-122,nr_rel18_rsla_strict,TRS,true,true,EXECUTE,PASS
RSCAP-123,nr_rel18_rsla_strict,TRS,true,true,EXECUTE,PASS
RSCAP-124,nr_rel18_rsla_strict,TRS,true,true,EXECUTE,PASS
RSCAP-125,nr_rel18_rsla_strict,TRS,true,true,EXECUTE,PASS
RSCAP-126,nr_rel18_rsla_strict,TRS,true,true,EXECUTE,PASS
RSCAP-127,nr_rel18_rsla_strict,TRS,true,true,EXECUTE,PASS
RSCAP-128,nr_rel18_rsla_strict,TRS,true,true,EXECUTE,PASS
RSCAP-129,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-130,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-131,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-132,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-133,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-134,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-135,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-136,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-137,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-138,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-139,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-140,nr_rel18_rsla_strict,PTRS,true,true,EXECUTE,PASS
RSCAP-141,nr_rel18_measurement_strict,MEASUREMENT,true,true,EXECUTE,PASS
RSCAP-142,nr_rel18_measurement_strict,MEASUREMENT,true,true,EXECUTE,PASS
RSCAP-143,nr_rel18_measurement_strict,MEASUREMENT,true,true,EXECUTE,PASS
RSCAP-144,nr_rel18_measurement_strict,MEASUREMENT,true,true,EXECUTE,PASS
RSCAP-145,nr_rel18_measurement_strict,MEASUREMENT,true,true,EXECUTE,PASS
RSCAP-146,nr_rel18_measurement_strict,MEASUREMENT,true,true,EXECUTE,PASS
RSCAP-147,nr_rel18_measurement_strict,MEASUREMENT,true,true,EXECUTE,PASS
RSCAP-148,nr_rel18_measurement_strict,MEASUREMENT,true,true,EXECUTE,PASS
RSCAP-149,nr_rel18_csi_report_strict,CSI_REPORT,true,true,EXECUTE,PASS
RSCAP-150,nr_rel18_csi_report_strict,CSI_REPORT,true,true,EXECUTE,PASS
RSCAP-151,nr_rel18_csi_report_strict,CSI_REPORT,true,true,EXECUTE,PASS
RSCAP-152,nr_rel18_csi_report_strict,CSI_REPORT,true,true,EXECUTE,PASS
RSCAP-153,nr_rel18_csi_report_strict,CSI_REPORT,true,true,EXECUTE,PASS
RSCAP-154,nr_rel18_csi_report_strict,CSI_REPORT,true,true,EXECUTE,PASS
RSCAP-155,nr_rel18_csi_report_strict,CSI_REPORT,true,true,EXECUTE,PASS
RSCAP-156,nr_rel18_csi_report_strict,CSI_REPORT,true,true,EXECUTE,PASS
RSCAP-157,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-158,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-159,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-160,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-161,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-162,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-163,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-164,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-165,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-166,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-167,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-168,calibrated_link_adaptation_strict,EFFECTIVE_SINR,true,true,EXECUTE,PASS
RSCAP-169,calibrated_link_adaptation_strict,OLLA,true,true,EXECUTE,PASS
RSCAP-170,calibrated_link_adaptation_strict,OLLA,true,true,EXECUTE,PASS
RSCAP-171,calibrated_link_adaptation_strict,OLLA,true,true,EXECUTE,PASS
RSCAP-172,calibrated_link_adaptation_strict,OLLA,true,true,EXECUTE,PASS
RSCAP-173,calibrated_link_adaptation_strict,OLLA,true,true,EXECUTE,PASS
RSCAP-174,calibrated_link_adaptation_strict,OLLA,true,true,EXECUTE,PASS
RSCAP-175,unsupported_extension,CSI-RS,false,false,REJECT,PASS
RSCAP-176,unsupported_extension,SRS,false,false,REJECT,PASS
RSCAP-177,unsupported_extension,TRS,false,false,REJECT,PASS
RSCAP-178,unsupported_extension,MEASUREMENT,false,false,REJECT,PASS
RSCAP-179,unsupported_extension,CSI_REPORT,false,false,REJECT,PASS
RSCAP-180,unsupported_extension,EFFECTIVE_SINR,false,false,REJECT,PASS
