CaseID,MeasurementID,UEID,CellID,BWPID,ResourceID,AgeSlots,MaxAgeSlots,IdentityValid,ExpectedValid,ActualValid,Status
MSTATE-129,M-0129,2,1,1,2,1,4,true,true,true,PASS
MSTATE-130,M-0130,3,2,0,3,2,8,false,false,false,PASS
MSTATE-131,M-0131,4,3,1,4,4,16,true,true,true,PASS
MSTATE-132,M-0132,5,1,0,5,8,2,true,false,false,PASS
MSTATE-133,M-0133,6,2,1,6,16,4,true,false,false,PASS
MSTATE-134,M-0134,7,3,0,7,32,8,true,false,false,PASS
MSTATE-135,M-0135,8,1,1,8,64,16,true,false,false,PASS
MSTATE-136,,1,2,0,9,0,2,true,false,false,PASS
MSTATE-137,M-0137,2,3,1,10,1,4,true,true,true,PASS
MSTATE-138,M-0138,3,1,0,11,2,8,true,true,true,PASS
MSTATE-139,M-0139,4,2,1,12,4,16,true,true,true,PASS
MSTATE-140,M-0140,5,3,0,13,8,2,true,false,false,PASS
MSTATE-141,M-0141,6,1,1,14,16,4,true,false,false,PASS
MSTATE-142,M-0142,7,2,0,15,32,8,true,false,false,PASS
MSTATE-143,M-0143,8,3,1,16,64,16,false,false,false,PASS
MSTATE-144,M-0144,1,1,0,1,0,2,true,true,true,PASS
MSTATE-145,M-0145,2,2,1,2,1,4,true,true,true,PASS
MSTATE-146,M-0146,3,3,0,3,2,8,true,true,true,PASS
MSTATE-147,M-0147,4,1,1,4,4,16,true,true,true,PASS
MSTATE-148,M-0148,5,2,0,5,8,2,true,false,false,PASS
MSTATE-149,M-0149,6,3,1,6,16,4,true,false,false,PASS
MSTATE-150,M-0150,7,1,0,7,32,8,true,false,false,PASS
MSTATE-151,M-0151,8,2,1,8,64,16,true,false,false,PASS
MSTATE-152,M-0152,1,3,0,9,0,2,true,true,true,PASS
MSTATE-153,,2,1,1,10,1,4,true,false,false,PASS
MSTATE-154,M-0154,3,2,0,11,2,8,true,true,true,PASS
MSTATE-155,M-0155,4,3,1,12,4,16,true,true,true,PASS
MSTATE-156,M-0156,5,1,0,13,8,2,false,false,false,PASS
MSTATE-157,M-0157,6,2,1,14,16,4,true,false,false,PASS
MSTATE-158,M-0158,7,3,0,15,32,8,true,false,false,PASS
MSTATE-159,M-0159,8,1,1,16,64,16,true,false,false,PASS
MSTATE-160,M-0160,1,2,0,1,0,2,true,true,true,PASS
