RunID,FamilyID,PairID,Metric,BaselineValue,TreatmentValue,AbsoluteEffect,RelativeEffect,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,Conclusion,Status
PUCCH_IMPACT_R18,F03,F03-P05,HARQBitErrors,20,20,0,0,-20,20,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F03,F03-P06,HARQBitErrors,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F04,F04-P01,HARQBitErrors,11,13,2,0.181818181818182,-11,15,1,1,0.153846153846154,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F04,F04-P02,HARQBitErrors,12,14,2,0.166666666666667,-12,16,1,1,0.142857142857143,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F04,F04-P03,HARQBitErrors,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F04,F04-P04,HARQBitErrors,0,16,16,7.20575940379279e+16,0,32,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F04,F04-P05,HARQBitErrors,16,18,2,0.125,-16,20,1,1,0.111111111111111,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F04,F04-P06,HARQBitErrors,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F05,F05-P01,SRLatencySlots,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F05,F05-P02,SRLatencySlots,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F05,F05-P03,SRLatencySlots,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F05,F05-P04,SRLatencySlots,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F05,F05-P05,SRLatencySlots,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F05,F05-P06,SRLatencySlots,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F06,F06-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F06,F06-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F06,F06-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F06,F06-P04,BLER,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F06,F06-P05,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F06,F06-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F07,F07-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F07,F07-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F07,F07-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F07,F07-P04,BLER,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F07,F07-P05,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F07,F07-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F08,F08-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F08,F08-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F08,F08-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F08,F08-P04,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F08,F08-P05,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F08,F08-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F09,F09-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F09,F09-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F09,F09-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F09,F09-P04,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F09,F09-P05,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F09,F09-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F10,F10-P01,BitMismatchCount,11,13,2,0.181818181818182,-11,15,1,1,0.153846153846154,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F10,F10-P02,BitMismatchCount,12,14,2,0.166666666666667,-12,16,1,1,0.142857142857143,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F10,F10-P03,BitMismatchCount,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F10,F10-P04,BitMismatchCount,0,16,16,7.20575940379279e+16,0,32,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F10,F10-P05,BitMismatchCount,16,18,2,0.125,-16,20,1,1,0.111111111111111,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F10,F10-P06,BitMismatchCount,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F11,F11-P01,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F11,F11-P02,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F11,F11-P03,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F11,F11-P04,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F11,F11-P05,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F11,F11-P06,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F12,F12-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F12,F12-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F12,F12-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F12,F12-P04,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F12,F12-P05,BLER,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F12,F12-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F13,F13-P01,CrossCorrelation,1,1,2.22044604925031e-16,2.22044604925031e-16,-1,1,1,1,2.22044604925031e-16,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F13,F13-P02,CrossCorrelation,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-1,1,1,1,-2.22044604925031e-16,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F13,F13-P03,CrossCorrelation,1,1,2.22044604925031e-16,2.22044604925031e-16,-1,1,1,1,2.22044604925031e-16,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F13,F13-P04,CrossCorrelation,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-1,1,1,1,-2.22044604925031e-16,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F13,F13-P05,CrossCorrelation,1,1,2.22044604925031e-16,2.22044604925031e-16,-1,1,1,1,2.22044604925031e-16,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F13,F13-P06,CrossCorrelation,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-1,1,1,1,-2.22044604925031e-16,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F14,F14-P01,CrossCorrelation,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F14,F14-P02,CrossCorrelation,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F14,F14-P03,CrossCorrelation,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F14,F14-P04,CrossCorrelation,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F14,F14-P05,CrossCorrelation,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F14,F14-P06,CrossCorrelation,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F15,F15-P01,SpectralEfficiency,0.833333333333333,0.104166666666667,-0.729166666666667,-0.875,-1.72916666666667,0.270833333333333,1,1,-0.729166666666667,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F15,F15-P02,SpectralEfficiency,0.833333333333333,0.104166666666667,-0.729166666666667,-0.875,-1.72916666666667,0.270833333333333,1,1,-0.729166666666667,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F15,F15-P03,SpectralEfficiency,0.833333333333333,0.104166666666667,-0.729166666666667,-0.875,-1.72916666666667,0.270833333333333,1,1,-0.729166666666667,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F15,F15-P04,SpectralEfficiency,0.833333333333333,0.104166666666667,-0.729166666666667,-0.875,-1.72916666666667,0.270833333333333,1,1,-0.729166666666667,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F15,F15-P05,SpectralEfficiency,0.833333333333333,0.104166666666667,-0.729166666666667,-0.875,-1.72916666666667,0.270833333333333,1,1,-0.729166666666667,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F15,F15-P06,SpectralEfficiency,0.833333333333333,0.104166666666667,-0.729166666666667,-0.875,-1.72916666666667,0.270833333333333,1,1,-0.729166666666667,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F16,F16-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F16,F16-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F16,F16-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F16,F16-P04,BLER,1,0,-1,-1,-2,0,1,1,-1,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F16,F16-P05,BLER,1,0,-1,-1,-2,0,1,1,-1,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F16,F16-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F17,F17-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F17,F17-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F17,F17-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F17,F17-P04,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F17,F17-P05,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F17,F17-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F18,F18-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F18,F18-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F18,F18-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F18,F18-P04,BLER,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F18,F18-P05,BLER,1,0,-1,-1,-2,0,1,1,-1,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F18,F18-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F19,F19-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F19,F19-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F19,F19-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F19,F19-P04,BLER,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F19,F19-P05,BLER,1,0,-1,-1,-2,0,1,1,-1,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F19,F19-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F20,F20-P01,CrossCorrelation,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F20,F20-P02,CrossCorrelation,1,1,4.44089209850063e-16,4.44089209850063e-16,-1,1,1,1,4.44089209850063e-16,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F20,F20-P03,CrossCorrelation,1,1,-3.33066907387547e-16,-3.33066907387547e-16,-1,1,1,1,-3.33066907387547e-16,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F20,F20-P04,CrossCorrelation,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F20,F20-P05,CrossCorrelation,1,1,-4.44089209850063e-16,-4.44089209850063e-16,-1,1,1,1,-4.44089209850063e-16,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F20,F20-P06,CrossCorrelation,1,1,3.33066907387547e-16,3.33066907387547e-16,-1,1,1,1,3.33066907387547e-16,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F21,F21-P01,Occupancy,8,6,-2,-0.25,-10,6,1,1,-0.25,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F21,F21-P02,Occupancy,6,5,-1,-0.166666666666667,-7,5,1,1,-0.166666666666667,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F21,F21-P03,Occupancy,5,4,-1,-0.2,-6,4,1,1,-0.2,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F21,F21-P04,Occupancy,4,4,0,0,-4,4,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F21,F21-P05,Occupancy,4,3,-1,-0.25,-5,3,1,1,-0.25,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F21,F21-P06,Occupancy,3,3,0,0,-3,3,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F22,F22-P01,LatencySlots,1,2,1,1,-1,3,1,1,0.5,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F22,F22-P02,LatencySlots,2,3,1,0.5,-2,4,1,1,0.333333333333333,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F22,F22-P03,LatencySlots,3,4,1,0.333333333333333,-3,5,1,1,0.25,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F22,F22-P04,LatencySlots,4,5,1,0.25,-4,6,1,1,0.2,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F22,F22-P05,LatencySlots,5,6,1,0.2,-5,7,1,1,0.166666666666667,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F22,F22-P06,LatencySlots,6,7,1,0.166666666666667,-6,8,1,1,0.142857142857143,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F23,F23-P01,AvailabilityProbability,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F23,F23-P02,AvailabilityProbability,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F23,F23-P03,AvailabilityProbability,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F23,F23-P04,AvailabilityProbability,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F23,F23-P05,AvailabilityProbability,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F23,F23-P06,AvailabilityProbability,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F24,F24-P01,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F24,F24-P02,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F24,F24-P03,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F24,F24-P04,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F24,F24-P05,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F24,F24-P06,ResourceSelectionError,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F25,F25-P01,ResourceSelectionError,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F25,F25-P02,ResourceSelectionError,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F25,F25-P03,ResourceSelectionError,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F25,F25-P04,ResourceSelectionError,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F25,F25-P05,ResourceSelectionError,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F25,F25-P06,ResourceSelectionError,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F26,F26-P01,GrantSuccess,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F26,F26-P02,GrantSuccess,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F26,F26-P03,GrantSuccess,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F26,F26-P04,GrantSuccess,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F26,F26-P05,GrantSuccess,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F26,F26-P06,GrantSuccess,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F27,F27-P01,GrantSuccess,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F27,F27-P02,GrantSuccess,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F27,F27-P03,GrantSuccess,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F27,F27-P04,GrantSuccess,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F27,F27-P05,GrantSuccess,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F27,F27-P06,GrantSuccess,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F28,F28-P01,UCIRecoveryRate,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F28,F28-P02,UCIRecoveryRate,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F28,F28-P03,UCIRecoveryRate,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F28,F28-P04,UCIRecoveryRate,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F28,F28-P05,UCIRecoveryRate,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F28,F28-P06,UCIRecoveryRate,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F29,F29-P01,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F29,F29-P02,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F29,F29-P03,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F29,F29-P04,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F29,F29-P05,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F29,F29-P06,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F30,F30-P01,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F30,F30-P02,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F30,F30-P03,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F30,F30-P04,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F30,F30-P05,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F30,F30-P06,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F31,F31-P01,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F31,F31-P02,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F31,F31-P03,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F31,F31-P04,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F31,F31-P05,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F31,F31-P06,CollisionRate,0,1,1,4.5035996273705e+15,0,2,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F32,F32-P01,PowerError_dB,1.77635683940025e-15,2.46330733588707e-16,-1.53002610581154e-15,-0.861328125,-1,0.999999999999998,1,1,-1.53002610581154e-15,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F32,F32-P02,PowerError_dB,8.88178419700125e-16,4.88498130835069e-15,3.99680288865056e-15,4.5,-0.999999999999996,1,1,1,3.99680288865056e-15,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F32,F32-P03,PowerError_dB,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F32,F32-P04,PowerError_dB,2.46330733588707e-16,1.77635683940025e-15,1.53002610581154e-15,6.2112676056338,-0.999999999999998,1,1,1,1.53002610581154e-15,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F32,F32-P05,PowerError_dB,4.88498130835069e-15,0,-4.88498130835069e-15,-1,-1,0.999999999999995,1,1,-4.88498130835069e-15,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F32,F32-P06,PowerError_dB,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F33,F33-P01,PowerError_dB,2.88657986402541e-15,6.66133814775094e-16,-2.22044604925031e-15,-0.769230769230769,-1,0.999999999999998,1,1,-2.22044604925031e-15,treatment_decreased_metric,PASS
PUCCH_IMPACT_R18,F33,F33-P02,PowerError_dB,8.88178419700125e-16,6.66133814775094e-16,-2.22044604925031e-16,-0.25,-1,1,1,1,-2.22044604925031e-16,treatment_decreased_metric,PASS
