relative_path,extension,bytes,sha256,width_px,height_px,format
analytics/image/contract__channel-estimation-propagation-analytics__estimator-bias-variance-summaries.png,.png,30679,b293ea59ba4f621cbcaf346517bebd5ef3b195510d6b6ba7d71bf1f3ff05fb82,1100,620,PNG
analytics/image/contract__channel-estimation-propagation-analytics__nmse-vs-snr-sinr.png,.png,30365,3858bac5be5a61deac3fc4e2898cab9f00a210c8b88858cb17d8483f3ef9da73,1100,620,PNG
analytics/image/contract__channel-estimation-propagation-analytics__noise-variance-trend.png,.png,32101,8d1d81336687631e5271ae51908d866fec8df6fd6c331da7dff72887eec20048,1100,620,PNG
analytics/image/contract__channel-estimation-propagation-analytics__serving-vs-interferer-decomposition.png,.png,39793,42f433bb67648312d17ae65f1b3274a4d28b969075b862cfe4bd2c3a616d6da6,1100,620,PNG
analytics/image/contract__constellation-evm-analytics__constellation-per-codeword.png,.png,73939,4643269c19d1b8751588db601fa2112acc35d0f4a8a9921c4540272d57d5895d,1180,760,PNG
analytics/image/contract__constellation-evm-analytics__constellation-per-layer.png,.png,72536,680d945511f7ab3b53015af4c86cdc740d4928a1b4a0fd7e609785e58ee4fa9a,1180,760,PNG
analytics/image/contract__constellation-evm-analytics__constellation-per-modulation-order.png,.png,59696,2e1861ac84ab0f0e69b4101c94aba4dcca9d46d39084939c327fe445456c3dc5,1180,760,PNG
analytics/image/contract__constellation-evm-analytics__evm-per-layer.png,.png,30829,f96c2ca68ac2acb1eadf18c6f72cd7cf6bc0bf4c30b8e95bdb471c9ff76537ed,1100,620,PNG
analytics/image/contract__constellation-evm-analytics__evm-per-subcarrier.png,.png,56782,16494ca07a231eea1466f9a0616d1321a1d4ad42683ec4ffed87c47a4ce7a4cb,1180,700,PNG
analytics/image/contract__constellation-evm-analytics__evm-per-symbol.png,.png,32971,57664d16a2e0f668f4ca5cbef59fc8c58c0b8c57b52aac68420020ec5227343a,1100,620,PNG
analytics/image/contract__constellation-evm-analytics__evm-rms.png,.png,22886,b2518cf90fbd9bd94b9aa5211f13f6d1bbf91b8752f84c4afd84db1cd51518a8,1100,620,PNG
analytics/image/contract__constellation-evm-analytics__post-equalization-constellation.png,.png,75628,dfebe984b9edf8e0434111781c9e0fd5448d975d1330afa688b99474f9ff5a88,1180,760,PNG
analytics/image/contract__constellation-evm-analytics__symbol-decision-error-histogram.png,.png,31465,2270e15228d90940d5626eb43ef7679458467c464073e03f32302a32aaa74183,1100,620,PNG
analytics/image/contract__detection-control-analytics__control-decode-success-failure-tables.png,.png,29691,3f65e9383dbb5abe99f9421c44d6c95f747b25a643db6ed61281dac4ae671b5f,1100,620,PNG
analytics/image/contract__detection-control-analytics__far.png,.png,34973,1027a6a6bddad620fd40fe290186518bd49d4c776000896dc45d9baf845436f3,1100,620,PNG
analytics/image/contract__detection-control-analytics__p-d.png,.png,35660,99aacc613bb970a02dec28c8378f6748a0060aff96d7c20696a86e8204bb0f0d,1100,620,PNG
analytics/image/contract__detection-control-analytics__p-fa.png,.png,35660,e47531c88268d251d7702edce1e68f480dd8b2b35f48fd2dab8b9e79ed736e7b,1100,620,PNG
analytics/image/contract__detection-control-analytics__p-md.png,.png,36584,b3708d3b0666bb395ee9933a73ea8a85958b8a0ee4d3fe8f1595b942747e42fd,1100,620,PNG
analytics/image/contract__detection-control-analytics__pbch-pdcch-pucch-detection-and-decode-timelines.png,.png,32056,69cbb32227bc759dc11e7bdaad51b56a87efa9e8cbb3ac9adf969bbdcdbe6f20,1100,620,PNG
analytics/image/contract__detection-control-analytics__prach-correlation-peak-distributions.png,.png,33480,5a31a2cc9dec914d4c08502cd9ea62cdabc7149f2002aa1d93bfaca996e90a8e,1100,620,PNG
analytics/image/contract__detection-control-analytics__prach-noise-floor-distributions.png,.png,31804,f083662d09b43746f93623359f814e09756e6da0fa5f10e2d151f14d1160c0ca,1100,620,PNG
analytics/image/contract__detection-control-analytics__prach-peak-search-results.png,.png,32182,7784012ee21cb1c9be7a0ec779f754f1332ebb8e50cc320f4eeac1d8855870a4,1100,620,PNG
analytics/image/contract__detection-control-analytics__ssb-detection-statistics.png,.png,29086,c1a6ab992a9d7d1fb3cede280afb2f5dc2ef420007f11dfd56bdd3122f7f8830,1100,620,PNG
analytics/image/contract__error-reliability-analytics__ber-vs-snr.png,.png,26542,707598adec710077e30b2b83c3b508008b78cbdcb2e84c7eb23a529c58766c0d,1100,620,PNG
analytics/image/contract__error-reliability-analytics__ber.png,.png,39806,9e9ac63f99102fccb1c4c4e5eaffa79a98c401de9d1c6ea12dac9515bff08b35,1100,620,PNG
analytics/image/contract__error-reliability-analytics__bler-vs-mcs.png,.png,21265,55458201479d3a1ac20ba9c4eb2186a8aa47017fe9ccf8f0ff2ccfd16870e6ea,1100,620,PNG
analytics/image/contract__error-reliability-analytics__bler-vs-sinr.png,.png,26172,601190a60b73c7863d255aa58a7d92d301fb93e7ea7ec29e82171579adb783c7,1100,620,PNG
analytics/image/contract__error-reliability-analytics__bler-vs-snr.png,.png,26435,acabb5be87602110eda86379b35bf6b5f91383b59111d37c4eb17b8fe7bf012a,1100,620,PNG
analytics/image/contract__error-reliability-analytics__bler.png,.png,38645,20b6f52cd706129277456b073647085015454154e04dc572b27f2aaf5ef3b03e,1100,620,PNG
analytics/image/contract__error-reliability-analytics__cbg-error-rates.png,.png,25064,d099206f1250d80bf299fd263ab703eb8a2ba4503fb31ddcfb97c56006d6c573,1100,620,PNG
analytics/image/contract__error-reliability-analytics__code-block-error-rates.png,.png,26897,e5d8d25abab56299e73139b255c48207756c26061db587ec9727f30ebb9a0ce1,1100,620,PNG
analytics/image/contract__error-reliability-analytics__crc-pass-fail-rates.png,.png,37129,5c422423bffeb7b01f3598677ee2a5eea24dd64af752c7726563e9addd5e4cf3,1100,620,PNG
analytics/image/contract__error-reliability-analytics__decoder-iteration-distributions.png,.png,25185,49860fecacb2228f2e55f62d3db924b5378768297e96405a44f7f246d3285487,1100,620,PNG
analytics/image/contract__error-reliability-analytics__fer-vs-snr.png,.png,26004,41a3cf2c09b5a247c81bed5559c3eda706feedf73ef38fde4930183d769b533e,1100,620,PNG
analytics/image/contract__error-reliability-analytics__fer.png,.png,44008,c0220204bc0df32be11b22dfc186ae82e78635c0ddaffab0e5a033cade8883cd,1100,620,PNG
analytics/image/contract__error-reliability-analytics__per-channel-reliability-breakdown.png,.png,27269,f0943f043f3c1007e690d69517fa707f94e9cba77c097684fd1db1e8628068ec,1100,620,PNG
analytics/image/contract__error-reliability-analytics__per-ue-and-per-cell-reliability.png,.png,24283,907dacec8b352d584b80fd696f4f3f0caac732edfbce8215ea9065965066ca20,1100,620,PNG
analytics/image/contract__error-reliability-analytics__residual-bler-after-harq.png,.png,30221,1aa4af086b9f3b048203be9c9a262d559dca5172ebcdb47b4bac69e15bc0a9e6,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__assumption-usage-summaries.png,.png,31598,5c31ecec696b81f9f5333c9a2948226cb3161626b3e5aa2ac2b09eaa0370e57d,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__config-drift.png,.png,27746,5a172a48594852b2621cd4b6eab117cdf97a5f974ba474e861a58793b1bce4af,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__csv-vs-db-consistency.png,.png,30341,d10e5087a95b9631c0a1e322ed5a0df332ba00785745dd5e0ff6fdd64610993d,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__db-vs-browser-consistency.png,.png,30817,9fc26fa20ed52809cfd6da0844698c14645a4ad82758a645703dd9bfed4cb9a8,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__fallback-event-summaries.png,.png,27004,4cc902be0f84074bd6089b4343b5ae162e0b93eb9d96052803dc7f2e403a524e,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__missing-field-audits.png,.png,29562,336912b52a80d66738b1ba8ec0b34845b2d3ffadad5e89ee16f7738e93703cb6,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__placeholder-exposure-checks.png,.png,29400,8c1741fcbd3042794def643643dca2326a47c88dd0cf0bbdb62fddb55d334f2a,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__run-status-truth-checks.png,.png,25474,99214eb662164e69f0fd1cc6bdcd8d29b842beecf11c9bb101143b2df2cc13de,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__schema-drift.png,.png,26711,2a8d595effe54d4c67a359422550631beaedd665db3bee04a59d2ddd806515cf,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__smoke-exposure-checks.png,.png,28624,5a08e8426eb173b144e044dff0d67afdf9861240f1c1ac953f6d80493bb39b55,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__source-row-count-vs-analytics-row-count.png,.png,37293,a3899bfb31907092e4ee5ae0008b6ac76b81123b100246b1d775bb48658f9446,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__summary-vs-raw-contradiction-checks.png,.png,38147,38a0c1eac5dfbcc2d48f4429d99cb887a8ea98c968649f3dae3f8489c70131a0,1100,620,PNG
analytics/image/contract__export-consistency-truth-analytics__truth-policy-violation-counts.png,.png,27514,8cb567be9278fd82ef5419eb43555fa36a7b1d898e7a669e42b9b6e67ec3f6f5,1100,620,PNG
analytics/image/contract__harq-analytics__harq-combining-gain-distribution.png,.png,31083,456b209cbea03f9a9b1fc2e66c6f19e8c215015991b1745df140a672590f416d,1100,620,PNG
analytics/image/contract__harq-analytics__harq-process-timeline.png,.png,32205,30b6f227e59c32ec2e1fec026b4b1c180bdcc4d269ed52317907bff128366418,1100,620,PNG
analytics/image/contract__harq-analytics__harq-rtt-distribution.png,.png,30090,a5374fe1ddd36a2ba16bd3c441fc0e32c180ceac8411ed74bacf935cd5d8f157,1100,620,PNG
analytics/image/contract__harq-analytics__newtx-vs-retx-comparison.png,.png,29489,9eb25dc8c15c87e694fed699f7e018f2717e7cf285a675efb0ed821e90024057,1100,620,PNG
analytics/image/contract__harq-analytics__residual-failure-patterns.png,.png,27913,c0f86405b1621987cd388cd74941f8d59976a05b6351336b26d16a938305729a,1100,620,PNG
analytics/image/contract__harq-analytics__retransmission-count-histogram.png,.png,30946,7554e8cbb1ee3697656ad95466a53d5657ffd60be31ad4e7a233a17059fa7f8f,1100,620,PNG
analytics/image/contract__harq-analytics__retransmission-rate-trend.png,.png,31920,ace7b5a2d23fca6e97871686d8d05c4f3ead924b8681d7456261458ac00c8238,1100,620,PNG
analytics/image/contract__impairments-tracking-analytics__cfo-true-vs-estimated-vs-residual.png,.png,57576,95b752693410e0bf960b6a698e8582d2b03b66cacdd8ec50abe4a255489ecd7c,1180,700,PNG
analytics/image/contract__impairments-tracking-analytics__iq-imbalance-summary.png,.png,45215,c378af4ad3944466a2be8fdec75da802362d3b2b7def4d240d7b9160b603af72,1100,620,PNG
analytics/image/contract__impairments-tracking-analytics__timing-offset-true-vs-estimated-vs-residual.png,.png,36465,b6b325a4a36c9c952e1fac0ee2b034016307f21009865a4abf4a0344e984fd7e,1100,620,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__applied-awgn-snr-vs-measured-runtime-sinr-comparison.png,.png,49275,9603bd73b511aec3f306364a10d963e5cedc4a2cc4c554ee07455a7b94f0769d,1180,700,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__config-vs-measured-conflict-dashboard.png,.png,35001,be265622fec919e342dc1339e27e44bea0a6d8bfa33df649ae38e5f8dd926336,1100,620,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__cqi-pmi-ri-cri-ssbri-trends.png,.png,46159,89391c30aceadcf26f20f12c88dc0e02b74d10fa73b7bcff5489455913a6dc93,1180,700,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__cqi-to-mcs-mapping-plot.png,.png,33239,7d91d7e97ff7ce6f0b3e1651ff65aeef407fa923de2cf4f229e6b27577390cf0,1100,620,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__per-beam-quality-plot.png,.png,28120,c2225c6b66ca1240f216261995040152ab25685c4380690fd63f1574f5b7f49d,1100,620,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__per-layer-quality-plot.png,.png,29178,6cc74a64420d3f994211ee7191ccebd5693b39bde67a95be0f9fa419fe31a0f1,1100,620,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__quality-vs-selected-mcs-mismatch-plot.png,.png,32938,ead035442e463ebf6acd869048862a8373cea1a546dbee4ac4f447c3125ce570,1100,620,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__selected-mcs-distribution.png,.png,22473,08cdde4063269a80c013b6783c0c9cc37ee279f8f8e6058b5a8de0023a800789,1100,620,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__selected-vs-derived-mcs-confusion-matrix.png,.png,28142,840e6369b6b55c58bde42bc7b32f38cfd66bcda689937284e7e0bb0394b79b38,1180,760,PNG
analytics/image/contract__measurement-csi-link-adaptation-analytics__servingrsrp-rsrp-csi-rsrp-trends.png,.png,36361,5c59c698b2fee7169748c346ea2933a691986670e4de620b796635714305d408,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__active-bandwidth-vs-power.png,.png,29914,4d51f40f736cf234f1a7f38925907ccdb32aa394f25f6741f110ec99d31fd5a9,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__active-rank-vs-power.png,.png,25057,e19702c48f670ac9c9115945f3f4e94ee3e6d2e8f0e8fe820091385c957bf475,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__baseband-power.png,.png,33755,04ff258ca3ede6c3d233165f7a5da498f0737c0f5843c79d070d9cda9b882912,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__dl-tx-power-per-cell-beam-ue.png,.png,42934,1bf70b796a5c9004737dcb87babe4b46b235b5574d9b50e00d94cb1e856001df,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__energy-bit.png,.png,28572,cb0d86161ef2ee33ba838f3426639b1d0924354188e75b73ff06215a06489abb,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__energy-efficiency-by-cell.png,.png,30024,497303b07c3d82c686607031d8a32b238fee37c04bb6f4944f5cebc29dce1299,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__energy-efficiency-by-ue.png,.png,32707,adbd53a7a912a9b59645cf8d47e6f2db149c8b7d2da6ae10de335a6fdfdbfa03,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__energy-per-bit-histogram.png,.png,27439,74d01112c97094349a5f2adb78c139379be6efab1257d9dfca2b2d867d545207,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__joules-gb.png,.png,27794,ffe3dcf839574a1320209ade20637b4b292c94af79e4c2b8ff6422c439d94ae5,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__papr-vs-power.png,.png,32751,abb5cb98153d5d7754a5f12755c2c4e05480ad361207b8b29b75a1c5bf92776a,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__power-vs-bler.png,.png,29881,64ca84d5d29277ea94b4d353a389cd763bc4671c03a26b915f9d3ff71b175a4e,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__power-vs-throughput.png,.png,33870,b7ec8cdda1a107d61faf70df3f5dc0abb5312aad32528dc0eb4b906617f10327,1100,620,PNG
analytics/image/contract__power-energy-efficiency-analytics__sleep-idle-active-state-occupancy.png,.png,30224,d59abfd56975a5a6d1a011f001d1ee69698ccd591a1df2a6f73066554dfa6e27,1100,620,PNG
analytics/image/contract__random-access-prach-analytics__access-latency.png,.png,29999,89f946b24001ed7234f3a01a7f89fb659c33666283b7c6aa551f1f93f9ff8fa3,1100,620,PNG
analytics/image/contract__random-access-prach-analytics__detection-rate.png,.png,36713,46af2dc7c873aa7cf1668b7302420f66ba427d85d39193705ea26a629fe89a76,1100,620,PNG
analytics/image/contract__random-access-prach-analytics__false-alarm-rate.png,.png,36615,fd722b0da77ff51769952e63c90ad30f8d7b2744adb1f84071b45ff4d68e5e00,1100,620,PNG
analytics/image/contract__random-access-prach-analytics__missed-detection-rate.png,.png,38705,db31aa002ba6b0e660f2fc08e4fd504196b27ea20517e7427853e8cd0ffdd313,1100,620,PNG
analytics/image/contract__random-access-prach-analytics__preamble-root-cyclic-shift-usage-summary.png,.png,43250,8268ae1dcf58eaa62bcb600661494cc83ec2134bea419084d74972f85a7f779d,1100,620,PNG
analytics/image/contract__random-access-prach-analytics__retry-count-distribution.png,.png,27611,dab2235dbea0434b267e6078b094ca6a149e6d77f0eae1654e8b5cefbaf41f32,1100,620,PNG
analytics/image/contract__random-access-prach-analytics__timing-advance-distribution.png,.png,30471,7f54df551c1d34821e7d29c534ae9a2c6358fd11285774b4d2043cc9639e9732,1100,620,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__csi-rs-map.png,.png,43755,00a87b89ad83a936e758b0b8fc5814c0c02059cdcbe8b4ee694d0c7ca6cf7d4b,1180,760,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__dmrs-ptrs-occupancy-map.png,.png,35470,8eaa57c11add9430cf497345f77ea30ad5f65ebbd4b56ed0de8a4aaf22a34700,1100,620,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__pbch-ssb-map.png,.png,36583,9846f89f271a2d9e31a0366fd6c2da7628fe274cc8ef22b36830da18827e9eae,1100,620,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__pdcch-map.png,.png,36467,3f0624ffd5ae6bad88ed0a1e246b46bd7bdc123b9991cca6c51de4cb539b31a0,1100,620,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__pdsch-map.png,.png,35412,53565b4769d224e96448561f4ff1c0753db1b88cbe95a22bd16cd4c72d324aaf,1180,760,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__prach-opportunity-map.png,.png,31355,503f097f97e057c2e59eef2c6705533c4c3a82830039b1574c582e7d2d40a987,1100,620,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__prb-heatmap.png,.png,35889,97e69c01b24657733c5f23372bd4e13b1219f20138d41b893b820a7d991d6dec,1180,760,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__pucch-map.png,.png,37634,fef6bfeb173051b35b82dff2d69fcd8e45c26d784a1b4acdd392be51d94fd8ea,1100,620,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__pusch-map.png,.png,35356,5c15659504e56f54df47c1357930908147d6a717fb362094edd7aee5541fe6ec,1180,760,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__re-occupancy-heatmap.png,.png,41878,16db094b463df94c46444a69a8a8c0a3e41f592038ba5ec0e479bcd07001d178,1180,760,PNG
analytics/image/contract__resource-grid-re-occupancy-analytics__srs-map.png,.png,39629,fb4a983907489be7096883432054351102a2c871ebf0943d9ab71800dc0a9e6e,1100,620,PNG
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__decoder-complexity-units.png,.png,30039,c5da2c24b102ffe374045e55ab0d69fb664f88c34ede467c4986fe6750f61ab4,1100,620,PNG
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__dropped-row-duplicate-write-analytics.png,.png,34174,e3c800d8fe5dcb8bbedc689633aa13a5de328f7d53faf26688ed1f5ffe79d109,1100,620,PNG
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__latency-cdf.png,.png,31229,87ce103b44a382318bf3636f240a40bdedb2cc96a2efdc8875d08ca63d4f4e7a,1100,620,PNG
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__normalized-decoder-complexity.png,.png,30993,577566a2f08900707c4ce0aaf528b0bea332a07802e6bc6d98f1e45b4ffc9f36,1100,620,PNG
analytics/image/contract__spectrum-psd-papr-analytics__clipping-event-histogram.png,.png,27161,8d178832fa22070b9601b1533c0dedcf7671517a4db8e1cf9da5ca9fda841138,1100,620,PNG
analytics/image/contract__spectrum-psd-papr-analytics__occupied-bandwidth.png,.png,31403,c202176db0f1d86e9e56f225c709a0a02edeea3a4afa080b93a474d9d270f43f,1100,620,PNG
analytics/image/contract__spectrum-psd-papr-analytics__out-of-band-spectral-summaries-if-measurable.png,.png,34194,54bdad49463645d0b5a520b2ed5e105639bebf399b5b8afddb89cc95c8b32089,1100,620,PNG
analytics/image/contract__spectrum-psd-papr-analytics__papr-histogram-cdf.png,.png,31240,17510e5090f7c37befcfaca7b0580dd51c8bfd5d64f3800c0530b16454654501,1100,620,PNG
analytics/image/contract__spectrum-psd-papr-analytics__power-spectral-comparison-before-after-impairment.png,.png,83801,7c87f633969cdd012cba4640fd3cd97cb277753ba9280187926b68573c953c8d,1180,700,PNG
analytics/image/contract__spectrum-psd-papr-analytics__psd.png,.png,77451,8885e3296d174ede2b58a51e298c517809172668c5687037c70b1e45db4833dc,1180,700,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__fairness-index-trend.png,.png,34769,521961399709f617bf15cd8dbbd55237180d7df600048b72a8fb773e8295f856,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__goodput-over-time.png,.png,40051,212f52979d8703315051c936878df430ecf1644197f6bf0548e0c6ac678c6e2b,1180,700,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__goodput-vs-retransmissions.png,.png,32701,3709ed451a3d2ca45a0f34d53e2310551a45e15fbf9290ff5e21203caaa023da,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__goodput.png,.png,25661,f44b0b5e780125b9b9e0957628a1abba30d10568ea7a2be6627f7835ea4cb04a,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__offered-throughput.png,.png,28028,0ba86ace8020199f99392fbd732465e425ca57e28285773a4d231739fc43facd,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__per-cell-throughput.png,.png,23260,f3acd04e3a429dab5f7052d9c51080d0a97a4376e8ff7014bd50945a79b5cc21,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__per-ue-throughput.png,.png,23986,e0dc3ab2ab5be6577a55d5bc8c1198f0d91a4e36df6f679f81c499341d501e9d,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__spectral-efficiency.png,.png,28998,f79e3d8abe5c30cc5e95ad66de2a753c363d648033fd6505701d861c88e88782,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-cdf.png,.png,28028,f65618686902cee035187dee223836fe99270de892200c3d35b93a739aad1952,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-over-time.png,.png,40154,9028aca8afb2a9e30f554a421c695a1a825b12127804cc60eff55e97ac23bfab,1180,700,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-percentile-plots.png,.png,26662,e13ff1a77562deaabd78ef6a886bc1e103c01146e057a068de527c32bb97a070,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-load.png,.png,27418,164a1a66e60b8eba2f17d0af4700d718fc8d9ccc4946291a845ade163cb24eef,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-sinr.png,.png,28989,4456e9381a5b320d8b8e8a5456b46a9ac95c65dd5df41252b273a2d11bdea5e9,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-snr.png,.png,30343,3ab55c884824b5670f821d3e96036e693e06871d65194c73f8cbcc1d4618324e,1100,620,PNG
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput.png,.png,25834,97482cc73c3fbbf4e9ed5c1909f1de963622a5ea177461e30ee9b2c3f8b585ed,1100,620,PNG
analytics/image/contract__waveform-time-domain-analytics__magnitude-vs-sample.png,.png,80218,ce62afee7adfebbabf26dc6e8f4666b1dab60b7736f76bb75516cd73fe28fa4d,1180,700,PNG
analytics/image/contract__waveform-time-domain-analytics__phase-vs-sample.png,.png,120487,c6e4c4254e76d57a47c8cb6b7465bfce91125e3a5f0a45c9bcdfbebdd17bc346,1180,700,PNG
analytics/image/contract__waveform-time-domain-analytics__power-vs-sample.png,.png,67943,a03ea02e9fb94e04931d1057ce9e18958cce5f692ecf7f157dbdfa313fed79ec,1180,700,PNG
analytics/image/contract__waveform-time-domain-analytics__rx-waveform.png,.png,109120,120bb42ad223f16f8038ef0c53007c2857c4f0678d25f0012e6af72b9e21b0ae,1180,700,PNG
analytics/image/contract__waveform-time-domain-analytics__tx-waveform.png,.png,106636,4cf9aece4ac4a60fdca2f4a777714b1296c55bfe74d1841dec72fab675ec0023,1180,700,PNG
channel/image/contract__channel-estimation-propagation-analytics__estimator-bias-variance-summaries.png,.png,30679,b293ea59ba4f621cbcaf346517bebd5ef3b195510d6b6ba7d71bf1f3ff05fb82,1100,620,PNG
