ProfileID,Feature,ExpectedOutcome,ActualOutcome,Status
nr_rel19_ul_dfts_ofdm_strict,multi_numerology_async,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,two_component_carrier,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,four_component_carrier,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,otfs,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,afdm,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,ufmc,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,fbmc,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,pruned_dft,REJECT,REJECT,PASS
nr_rel19_ul_dfts_ofdm_strict,enhanced_dmrs_data_mux,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,dl_cp_ofdm,EXECUTE,EXECUTE,PASS
nr_rel19_multinumerology_strict,ul_cp_ofdm,EXECUTE,EXECUTE,PASS
nr_rel19_multinumerology_strict,normal_cp,EXECUTE,EXECUTE,PASS
nr_rel19_multinumerology_strict,extended_cp_60khz,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,windowing_zero,EXECUTE,EXECUTE,PASS
nr_rel19_multinumerology_strict,explicit_wola,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,single_layer_ul_dfts_ofdm,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,pi2_bpsk,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,qpsk_dfts,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,16qam_dfts,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,64qam_dfts,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,256qam_dfts,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,rank2_dfts_ofdm,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,dl_dfts_ofdm,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,noncontiguous_dft_mapping,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,flexible_dft_size,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,tone_reservation,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,frequency_domain_truncation,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,fdss,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,filtered_ofdm,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,multi_numerology_sync,EXECUTE,EXECUTE,PASS
nr_rel19_multinumerology_strict,multi_numerology_async,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,two_component_carrier,EXECUTE,EXECUTE,PASS
nr_rel19_multinumerology_strict,four_component_carrier,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,otfs,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,afdm,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,ufmc,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,fbmc,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,pruned_dft,REJECT,REJECT,PASS
nr_rel19_multinumerology_strict,enhanced_dmrs_data_mux,REJECT,REJECT,PASS
rel20_6g_waveform_study,dl_cp_ofdm,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,ul_cp_ofdm,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,normal_cp,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,extended_cp_60khz,REJECT,REJECT,PASS
rel20_6g_waveform_study,windowing_zero,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,explicit_wola,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,single_layer_ul_dfts_ofdm,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,pi2_bpsk,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,qpsk_dfts,REJECT,REJECT,PASS
rel20_6g_waveform_study,16qam_dfts,REJECT,REJECT,PASS
rel20_6g_waveform_study,64qam_dfts,REJECT,REJECT,PASS
rel20_6g_waveform_study,256qam_dfts,REJECT,REJECT,PASS
rel20_6g_waveform_study,rank2_dfts_ofdm,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,dl_dfts_ofdm,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,noncontiguous_dft_mapping,REJECT,REJECT,PASS
rel20_6g_waveform_study,flexible_dft_size,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,tone_reservation,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,frequency_domain_truncation,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,fdss,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,filtered_ofdm,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,multi_numerology_sync,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,multi_numerology_async,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,two_component_carrier,EXECUTE,EXECUTE,PASS
rel20_6g_waveform_study,four_component_carrier,REJECT,REJECT,PASS
rel20_6g_waveform_study,otfs,REJECT,REJECT,PASS
rel20_6g_waveform_study,afdm,REJECT,REJECT,PASS
rel20_6g_waveform_study,ufmc,REJECT,REJECT,PASS
rel20_6g_waveform_study,fbmc,REJECT,REJECT,PASS
rel20_6g_waveform_study,pruned_dft,REJECT,REJECT,PASS
rel20_6g_waveform_study,enhanced_dmrs_data_mux,EXECUTE,EXECUTE,PASS
waveform_research_candidate,dl_cp_ofdm,EXECUTE,EXECUTE,PASS
waveform_research_candidate,ul_cp_ofdm,EXECUTE,EXECUTE,PASS
waveform_research_candidate,normal_cp,EXECUTE,EXECUTE,PASS
waveform_research_candidate,extended_cp_60khz,REJECT,REJECT,PASS
waveform_research_candidate,windowing_zero,EXECUTE,EXECUTE,PASS
waveform_research_candidate,explicit_wola,EXECUTE,EXECUTE,PASS
waveform_research_candidate,single_layer_ul_dfts_ofdm,EXECUTE,EXECUTE,PASS
waveform_research_candidate,pi2_bpsk,EXECUTE,EXECUTE,PASS
waveform_research_candidate,qpsk_dfts,REJECT,REJECT,PASS
waveform_research_candidate,16qam_dfts,REJECT,REJECT,PASS
waveform_research_candidate,64qam_dfts,REJECT,REJECT,PASS
waveform_research_candidate,256qam_dfts,REJECT,REJECT,PASS
waveform_research_candidate,rank2_dfts_ofdm,EXECUTE,EXECUTE,PASS
waveform_research_candidate,dl_dfts_ofdm,EXECUTE,EXECUTE,PASS
waveform_research_candidate,noncontiguous_dft_mapping,EXECUTE,EXECUTE,PASS
waveform_research_candidate,flexible_dft_size,EXECUTE,EXECUTE,PASS
waveform_research_candidate,tone_reservation,EXECUTE,EXECUTE,PASS
waveform_research_candidate,frequency_domain_truncation,EXECUTE,EXECUTE,PASS
waveform_research_candidate,fdss,EXECUTE,EXECUTE,PASS
waveform_research_candidate,filtered_ofdm,EXECUTE,EXECUTE,PASS
waveform_research_candidate,multi_numerology_sync,EXECUTE,EXECUTE,PASS
waveform_research_candidate,multi_numerology_async,EXECUTE,EXECUTE,PASS
waveform_research_candidate,two_component_carrier,EXECUTE,EXECUTE,PASS
waveform_research_candidate,four_component_carrier,EXECUTE,EXECUTE,PASS
waveform_research_candidate,otfs,REJECT,REJECT,PASS
waveform_research_candidate,afdm,REJECT,REJECT,PASS
waveform_research_candidate,ufmc,REJECT,REJECT,PASS
waveform_research_candidate,fbmc,REJECT,REJECT,PASS
waveform_research_candidate,pruned_dft,EXECUTE,EXECUTE,PASS
waveform_research_candidate,enhanced_dmrs_data_mux,EXECUTE,EXECUTE,PASS
unsupported_extension,dl_cp_ofdm,REJECT,REJECT,PASS
unsupported_extension,ul_cp_ofdm,REJECT,REJECT,PASS
unsupported_extension,normal_cp,REJECT,REJECT,PASS
unsupported_extension,extended_cp_60khz,REJECT,REJECT,PASS
unsupported_extension,windowing_zero,REJECT,REJECT,PASS
unsupported_extension,explicit_wola,REJECT,REJECT,PASS
unsupported_extension,single_layer_ul_dfts_ofdm,REJECT,REJECT,PASS
unsupported_extension,pi2_bpsk,REJECT,REJECT,PASS
unsupported_extension,qpsk_dfts,REJECT,REJECT,PASS
unsupported_extension,16qam_dfts,REJECT,REJECT,PASS
unsupported_extension,64qam_dfts,REJECT,REJECT,PASS
unsupported_extension,256qam_dfts,REJECT,REJECT,PASS
unsupported_extension,rank2_dfts_ofdm,REJECT,REJECT,PASS
unsupported_extension,dl_dfts_ofdm,REJECT,REJECT,PASS
unsupported_extension,noncontiguous_dft_mapping,REJECT,REJECT,PASS
unsupported_extension,flexible_dft_size,REJECT,REJECT,PASS
unsupported_extension,tone_reservation,REJECT,REJECT,PASS
unsupported_extension,frequency_domain_truncation,REJECT,REJECT,PASS
unsupported_extension,fdss,REJECT,REJECT,PASS
unsupported_extension,filtered_ofdm,REJECT,REJECT,PASS
unsupported_extension,multi_numerology_sync,REJECT,REJECT,PASS
unsupported_extension,multi_numerology_async,REJECT,REJECT,PASS
unsupported_extension,two_component_carrier,REJECT,REJECT,PASS
unsupported_extension,four_component_carrier,REJECT,REJECT,PASS
unsupported_extension,otfs,REJECT,REJECT,PASS
unsupported_extension,afdm,REJECT,REJECT,PASS
unsupported_extension,ufmc,REJECT,REJECT,PASS
unsupported_extension,fbmc,REJECT,REJECT,PASS
unsupported_extension,pruned_dft,REJECT,REJECT,PASS
unsupported_extension,enhanced_dmrs_data_mux,REJECT,REJECT,PASS
