comparison_id,domain,subdomain,threegpp_anchor,threegpp_url,vendor_reference,vendor_reference_path,vendor_topic,repo_status,repo_alignment,repo_evidence,implemented_behavior,gap_or_limitation,recommended_action,priority,validation_or_existing_tests
PHY-011,Coding and decoding,LDPC / Polar / CRC,"TS 38.212","https://www.3gpp.org/DynaReport/38.212.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","LDPC, polar, rate match, CRC-backed decode",implemented,strongly_aligned,"+sixgr/+phy/+phycode/ldpcEncode.m; +sixgr/+phy/+phycode/ldpcDecode.m; +sixgr/+phy/+phycode/polarEncode.m; +sixgr/+phy/+phycode/polarDecode.m; +sixgr/+link/deriveCodingTrialMetrics.m","Coding path uses toolbox-backed LDPC and polar flows and exports BER, BLER, code-block BLER, and CBG BLER from actual outcomes.","No major structural gap identified in the base coding chain.","Retain as truth source and use it as the calibration reference for any future BLER LUT work.",high,"tests/testLLS_DL.m; tests/testLLS_UL.m; tests/testLLSHARQGrantReplayTBConsistency.m"
PHY-012,Metrics and error accounting,BER / BLER truth,"TS 38.212 / TS 38.214","https://www.3gpp.org/DynaReport/38.212.htm | https://www.3gpp.org/DynaReport/38.214.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","BER, BLER, code-block BLER, CBG BLER",implemented,strongly_aligned,"+sixgr/+link/deriveCodingTrialMetrics.m; +sixgr/+link/runDLPDSCHThroughput.m; +sixgr/+link/runULPUSCHThroughput.m; +sixgr/+truth/runWaveformLinkBundle.m","BER and BLER come from decoded-bit and CRC outcomes in waveform execution, not from synthetic predictors.","No major gap in truth accounting; the main future work is better linkage to calibrated adaptation logic.","Preserve current truth accounting and feed it into calibrated adaptation and reporting plots.",high,"tests/testNoSyntheticBLERFallbacks.m; tests/testLLSBundleRuntimeEvidenceExports.m"
PHY-013,Link adaptation,CQI table semantics,"TS 38.214","https://www.3gpp.org/DynaReport/38.214.htm","Link Adaptation_v2.pptx","C:/Anup/documents/Intel phy layer/Link Adaptation_v2.ppt","CQI tables and CQI-to-MCS semantics",implemented,aligned_in_structure,"+sixgr/+link/resolveCQIProfile.m; +sixgr/+link/resolveMCSFromCQI.m; +sixgr/+link/amcFromCQI.m","CQI profile resolution and CQI-to-MCS mapping follow NR-style table semantics and choose the highest MCS consistent with CQI capability.","The CQI semantic table path is fine; the gap is upstream in SINR-to-CQI derivation and downstream in stateful adaptation.","Keep the table semantics and rebuild the surrounding adaptation engine around them.",high,"tests/testNRCQITableAndGrantSizing.m; tests/testLLSClosedLoopLinkAdaptation.m"
PHY-014,Link adaptation,SINR to CQI engine,"TS 38.214 / TS 38.215","https://www.3gpp.org/DynaReport/38.214.htm | https://www.3gpp.org/DynaReport/38.215.htm","Link Adaptation_v2.pptx","C:/Anup/documents/Intel phy layer/Link Adaptation_v2.ppt","Per-resource SINR to effective SINR to BLER-targeted CQI",partial,partly_aligned_but_not_calibrated,"+sixgr/+link/resolveWidebandCQI.m; +sixgr/+phy/+dl/CSI_Feedback.m; +sixgr/+phy/+ul/measureULLinkState.m","The code supports threshold-table and effective-SINR modes, including EESM or MIESM tokens and target BLER fields.","The current BLER selector is an analytic operating-point curve, not a calibrated BLER LUT database driven by measured or calibrated operating points.","Replace the analytic BLER predictor with a calibrated LUT-backed selector and keep table-threshold mode explicitly labeled as lab_default.",highest,"tests/testLLSCanonicalCQIModeConfig.m; tests/testCSIRuntimeExecution.m; tests/testLLSSINRFieldTruth.m"
PHY-015,Link adaptation,OLLA / stateful adaptation,"TS 38.214","https://www.3gpp.org/DynaReport/38.214.htm","Link Adaptation_v2.pptx","C:/Anup/documents/Intel phy layer/Link Adaptation_v2.ppt","Stateful CQI smoothing and HARQ-driven deltaMCS",missing,major_vendor_and_ran1_gap,"+sixgr/+link/computeLinkAdaptationDecision.m; +sixgr/+truth/CoupledTruthRuntime.m; +sixgr/+l2/+mac/HARQEntity.m","Current decision logic is mainly CQI to MCS plus an optional fixed deltaMCSOffset.","There is no persistent cqiBasedMCS state, no ACK or NACK-driven OLLA state machine, and no RI-change reset behavior like the vendor flow describes.","Implement stateful inner-loop and outer-loop link adaptation using HARQ feedback, CQI smoothing, target BLER, and reset logic as explicit lab_default vendor policy.",highest,"tests/testLLSClosedLoopLinkAdaptation.m; tests/testLLSCoupledTruthHARQRoundTrip.m; tests/testLLSHARQExercise.m"
PHY-016,CSI feedback,Wideband PMI / RI / CRI selection,"TS 38.214","https://www.3gpp.org/DynaReport/38.214.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","PMI, RI, CRI selection from CSI measurements",partial,simplified_wideband_selection,"+sixgr/+phy/+dl/CSI_Feedback.m","Current CSI feedback selects from wideband channel averages using a capacity metric and effective SINR proxy.","This is weaker than richer subband-aware standardized CSI procedures and weaker than the vendor algorithmic detail.","Upgrade to subband-capable CSI, calibrated CQI reporting, and richer RI/PMI/CRI selection semantics.",high,"tests/test6GCSIReportingCoverage.m; tests/testCSIPayloadPackingRuntime.m"
PHY-017,CSI feedback,Type-2 and enhanced Type-2 codebooks,"TS 38.214","https://www.3gpp.org/DynaReport/38.214.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","Type-1, Type-2, and enhanced Type-2 PMI/codebook handling",partial,structurally_present_but_not_full_semantics,"+sixgr/+phy/+dl/pmiCodebookCandidates.m; +sixgr/+phy/+dl/CSI_Feedback.m; +sixgr/+phy/+dl/resolvePDSCHPrecoding.m","The repo surfaces type1, type2_mu_mimo, and etype2_candidate modes and builds deterministic wideband codebook candidates.","The implementation is a deterministic beam/codebook candidate engine, not a full standardized CSI compression and reporting realization.","Keep current deterministic engine as lab_default runtime support and add proper standards-style compression, reporting, and validation semantics.",high,"tests/test6GCSIReportingCoverage.m; tests/testPMIPrecodingRuntime.m"
PHY-018,Precoding,DL explicit precoding support breadth,"TS 38.211 / TS 38.214","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.214.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","DL precoding, codeword count, bundle granularity, PTRS interactions",partial,known_implementation_limits,"+sixgr/+phy/+dl/resolvePDSCHPrecoding.m","Explicit wideband DL precoding is supported for a useful subset of cases.","Multi-codeword, PRG-bundle, explicit-precoding-plus-PTRS, custom DMRS port sets, and noncodebook scalar PMI usage are blocked.","Expand precoding support across those blocked cases and validate each case with waveform truth and honest unsupported labeling.",highest,"tests/testPDSCHMultiPortPrecoding.m; tests/testPMIPrecodingRuntime.m"
PHY-019,Precoding,UL codebook application,"TS 38.211 / TS 38.214","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.214.htm","TPMI and RI estimation using SRS.pdf","C:/Anup/documents/Intel phy layer/TPMI and RI estimation using SRS.pdf","UL codebook precoding application and metadata exposure",partial,applied_but_estimation_gap_remains,"+sixgr/+phy/+ul/resolvePUSCHPrecoding.m; +sixgr/+phy/+ul/measureULLinkState.m","UL codebook application and runtime TPMI metadata exposure are present.","The gap is not basic application; it is deriving TPMI and RI from SRS or a stronger UL estimator instead of mostly reflecting configured or applied runtime values.","Add SRS-derived TPMI and RI estimation and bind scheduler decisions to that evidence.",high,"tests/testLLSULBeamPrecoderTruth.m"
PHY-020,Sounding and UL CSI,SRS-based RI and TPMI estimation,"TS 38.211 / TS 38.214 / TS 38.215","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.214.htm | https://www.3gpp.org/DynaReport/38.215.htm","TPMI and RI estimation using SRS.pdf","C:/Anup/documents/Intel phy layer/TPMI and RI estimation using SRS.pdf","Havg, condition-number rank estimate, MI-based TPMI selection from SRS",missing,major_vendor_gap,"+sixgr/+link/runSRSChannelEstimation.m; +sixgr/+phy/+ul/measureULLinkState.m","Current SRS runtime path measures channel-estimation quality, NMSE, and Doppler, and UL state reports applied PMI or TPMI metadata.","There is no dedicated SRS-based RI and TPMI estimator matching the vendor algorithmic flow.","Implement a separate UL SRS RI/TPMI estimator and feed its outputs into runtime reporting and scheduling decisions.",highest,"tests/testLLSULBeamPrecoderTruth.m; tests/testTRSReferenceSignalExecution.m"
PHY-021,Scheduling,MU-MIMO user pairing,"TS 38.214","https://www.3gpp.org/DynaReport/38.214.htm","MU-MIMO_UserPairing.pdf","C:/Anup/documents/Intel phy layer/MU-MIMO_UserPairing.pdf","Two-phase MU-MIMO pairing and orthogonal-port candidate selection",missing,major_vendor_gap,"+sixgr/+l2/+mac/SchedulerPF.m; +sixgr/+l2/+mac/SchedulerRR.m; +sixgr/+phy/+dl/pmiCodebookCandidates.m","The repo has PF and RR scheduling plus beam and PMI support.","I did not find a scheduler implementation matching the vendor document's active-user filtering, candidate pairing, orthogonality pruning, and MU-specific CQI offset flow.","Add MU-MIMO pairing as a separate scheduler capability with explicit lab_default heuristics and honest fidelity labeling.",high,"tests/testSchedulerGrantConsistency.m; tests/test6GLLSMultiUserBeamforming.m"
PHY-022,Link adaptation,Rank reduction heuristics,"TS 38.214","https://www.3gpp.org/DynaReport/38.214.htm","MCS_Rank_Reduction.pptx","C:/Anup/documents/Intel phy layer/MCS_Rank_Reduction.ppt","Rank forcing and reduction heuristics under low CQI or repeated DTX",missing,vendor_policy_gap,"+sixgr/+link/computeLinkAdaptationDecision.m; +sixgr/+truth/summarizeEffectiveOperatingPoint.m","Current adaptation logic can apply RI when reported, but does not implement vendor-style heuristic rank reduction rules.","No explicit policy for 5QI-specific rank forcing, low-CQI reduction, or repeated PUCCH-DTX / CQI-miss handling was found.","Implement rank-reduction policies as explicit lab_default vendor heuristics, not as fake 3GPP-mandated behavior.",medium,"tests/testLLSEffectiveOperatingPointSummary.m; tests/testLLSClosedLoopLinkAdaptation.m"
PHY-023,Measurements,NR measurement family breadth,"TS 38.215","https://www.3gpp.org/DynaReport/38.215.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","RSRP, SINR, EVM, CFO, timing, measurement procedure coverage",partial,good_runtime_surfaces_but_incomplete_family,"+sixgr/+phy/+dl/PDSCH_Rx.m; +sixgr/+link/applyWaveformImpairments.m; +sixgr/+truth/runWaveformLinkBundle.m","The repo exports ReceiverHestSINR, ServingRSRP, CSI_RSRP, EVM, CFO, timing, and related truth columns with source and value-role metadata.","I do not yet see a complete standards-traceable measurement family with consistent procedure scope and filtering across all measurement types.","Add a measurement traceability matrix and fill the missing 38.215 procedure scopes with exact source labeling.",high,"tests/testLLSSINRFieldTruth.m; tests/testLLSSINRRuntimeArtifacts.m; tests/testLLSCFOEstimateLineage.m"
PHY-024,Beam management,SSB beam sweeping,"TS 38.211 / TS 38.213","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.213.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","SSB beam count and sweep behavior",partial,metadata_present_but_default_sweep_is_minimal,"+sixgr/+phy/+dl/SSB_Tx.m","SSB metadata exposes Lmax and NumBeams.","By default only one transmitted SSB block is enabled, so beam sweeping is weaker than a fuller beam-management implementation.","Add configurable multi-SSB sweep patterns and per-SSB outcome reporting.",medium,"tests/testMIBSIB1Recovery.m"
PHY-025,Power control,UL transmit power procedures,"TS 38.213","https://www.3gpp.org/DynaReport/38.213.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","PUSCH and PUCCH power control fidelity",missing_or_not_yet_audited,unknown_until_explicit_audit,"+sixgr/+phy/+ul/PUSCH_Tx.m; +sixgr/+phy/+ul/PUCCH_Tx.m; repo-wide audit still needed","I did not identify a clearly complete end-to-end NR-style UL power-control implementation in the active waveform path during this review.","We should not claim full 38.213 fidelity here until the active path is explicitly audited or implemented.","Perform a focused UL power-control audit and either implement or explicitly mark partial coverage.",high,"no_focused_test_found_during_this_review"
PHY-026,Truth integrity,Truth vs proxy separation,"TS 38.201 / TS 38.202","https://www.3gpp.org/DynaReport/38-series.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","Truth labeling and artifact honesty",implemented,repo_strength_exceeds_typical_vendor_demo_honesty,"+sixgr/+truth/runWaveformLinkBundle.m; +sixgr/+truth/evaluateLLSRuntimeTruthContract.m; +sixgr/+truth/exportLLSReportingBundle.m","The repo strongly separates waveform truth, proxy, and unavailable states in runtime artifacts and guards against silent fallback pollution.","This is a strength, not a gap; the main work is preserving it while adding more advanced PHY logic.","Keep all new PHY work under the same truth-or-partial-or-unavailable discipline.",high,"tests/testE2E_FastVsTruth.m; tests/testE2E_TruthPacketSemanticCampaign.m; tests/testStrictProxyGuards.m"
PHY-027,Spec traceability,Clause-to-module coverage matrix,"TS 38.211 / TS 38.212 / TS 38.213 / TS 38.214 / TS 38.215","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.212.htm | https://www.3gpp.org/DynaReport/38.213.htm | https://www.3gpp.org/DynaReport/38.214.htm | https://www.3gpp.org/DynaReport/38.215.htm","All reviewed local vendor references","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf | C:/Anup/documents/Intel phy layer/5G-NR-TBS-calculation.pdf | C:/Anup/documents/Intel phy layer/TPMI and RI estimation using SRS.pdf | C:/Anup/documents/Intel phy layer/MU-MIMO_UserPairing.pdf | C:/Anup/documents/Intel phy layer/Link Adaptation_v2.ppt | C:/Anup/documents/Intel phy layer/MCS_Rank_Reduction.ppt","Formal coverage matrix with implemented, simplified, unsupported, and reasoned gaps",missing,process_gap,"current artifact is this CSV; no prior formal clause-to-module matrix found","The repo has many tests and many implemented modules, but not a formal clause-by-clause traceability table tied to code and tests.","Without that matrix, standards coverage claims are hard to audit and maintain.","Promote this CSV into a maintained spec-gap matrix and extend it to clause-level traceability.",highest,"this_csv_is_the_initial_seed_artifact"
