SubcaseID,Name,Category,Direction,Mandatory,ComprehensiveBudgetMinutes,DeepBudgetMinutes,Description,RequiredCSV,RequiredPNG,WebGUISection
SC-12,LINK_ADAPTATION_CSI_OLLA,Link Adaptation,both,true,5,20,"Decoded CSI Part 1/2, measured-only MCS/rank decisions, calibrated EESM/MIESM lookup and OLLA convergence micro-run.",rsla_csi_uci_roundtrip.csv|rsla_link_adaptation_decisions.csv|rsla_olla_state.csv,rsla_csi_part1_part2_layout.png|rsla_link_adaptation_timeline.png|rsla_olla_convergence.png,Link Adaptation
SC-13,MIMO_ANTENNA_PRECODING,MIMO/Antenna,both,true,6,24,"Canonical arrays/polarization, Type-I codebook probes, rank 1/2/4, selected/applied matrix hashes and per-layer SINR.",mimo_antenna_panel.csv|mimo_codebook_vector_results.csv|mimo_precoder_application.csv|mimo_rank_port_trials.csv,mimo_antenna_panel_geometry.png|mimo_codebook_beam_patterns.png|mimo_per_layer_sinr.png,MIMO/Antenna
SC-14,BEAM_MANAGEMENT_AND_BFR,Beam Management,both,true,5,20,"P1/P2/P3 measurement, report, TCI activation/application, beam blockage, failure detection and bounded recovery.",mimo_measurement_state.csv|mimo_beam_management_events.csv|mimo_beam_management_events.csv,mimo_beam_state_timeline.png,Beam Management
SC-15,CHANNEL_LOS_STATIC,Channel LOS,both,true,4,16,"One-cell static LOS geometry with runtime distance/delay/pathloss/Doppler, TDL/CDL coefficients and absolute power.",channel_geometry_state.csv|channel_pathloss_trials.csv|channel_absolute_power_ledger.csv,channel_pathloss_curves.png|channel_absolute_power_reconciliation.png,Channel LOS
SC-16,CHANNEL_NLOS_O2I_BLOCKAGE,Channel NLOS,both,true,5,20,"NLOS CDL-C/selected profile with O2I, material loss, oxygen where applicable, time-correlated blockage and measured channel state.",channel_los_state.csv|channel_o2i_trials.csv|channel_blockage_material.csv|geometry_channel_state_trace.csv,channel_o2i_material_loss.png|channel_blockage_material_timeline.png|channel_cdl_delay_angle_spectrum.png,Channel NLOS
SC-17,MOBILITY_DOPPLER_CONTINUITY,Mobility,both,true,5,20,"Moving UE with signed range-rate Doppler, channel phase continuity, measurement ageing and trajectory state.",channel_mobility_trace.csv|channel_doppler_phase.csv|geometry_mobility_trace.csv,channel_mobility_doppler_timeline.png|channel_geometry_trajectory_3d.png,Mobility
SC-18,MULTICELL_WAVEFORM_INTERFERENCE,Interference,both,true,6,24,"Two cells/two UEs with sample-domain desired/interfering contributions, power ledger and covariance reconciliation.",channel_interference_contributions.csv|channel_interference_covariance.csv|geometry_interference_contributions.csv,channel_interference_contribution_map.png|channel_interference_covariance.png,Interference
SC-19,RF_CFO_TIMING_SCO_TRACKING,RF Tracking,both,true,5,20,"Blind acquisition and correction of CFO, timing and SCO with persistent oscillator/resampler state.",rf_cfo_tracking.csv|rf_timing_tracking.csv|rf_sco_resampler.csv,rf_cfo_acquisition_tracking.png|rf_timing_tracking.png|rf_sco_drift_resampling.png,RF Tracking
SC-20,RF_PHASE_IQ_PA_ADC_BLOCKER,RF Front End,both,true,6,24,"Phase noise, IQ imbalance, PA memory, DPD/CFR bounded probe, DAC/AGC/ADC and blocker/intermodulation chain.",rf_phase_noise_tracking.csv|rf_iq_compensation.csv|rf_pa_characterization.csv|rf_adc_quantization.csv|rf_blocker_trials.csv,rf_phase_noise_cpe_ici.png|rf_pa_amam_ampm.png|rf_dac_adc_quantization.png|rf_blocker_desensitization.png,RF Front End
SC-21,UL_POWER_CONTROL_ALL_CHANNELS,UL Power Control,UL,true,5,20,"PUSCH, PUCCH, SRS and PRACH measured-pathloss power control, decoded TPC, PCMAX and waveform reconciliation.",rf_ul_power_control.csv|pusch_power_control.csv|pucch_power_control.csv,rf_ul_power_control_convergence.png|pusch_power_control_convergence.png|pucch_power_control_convergence.png,UL Power Control
SC-22,MAC_HARQ_SCHEDULER,MAC/HARQ,both,true,7,28,"Event-sourced MAC, K0/K1/K2, HARQ identities, ACK/NACK/DTX, soft combining, BSR/PHR/SR/TA and RR/PF/QoS-PF probes.",mac_event_log.csv|mac_harq_process_states.csv|mac_scheduler_grants.csv|mac_bsr_state.csv|mac_phr_state.csv,mac_harq_process_timeline.png|mac_scheduler_allocation.png|mac_bsr_buffer_timeline.png,MAC/HARQ
SC-23,RLC_PDCP_SDAP_RRC,L2/L3,both,true,7,28,"RLC UM/AM, PDCP COUNT/security/reordering, SDAP QFI mapping, RRC reconfiguration and bearer commit.",rlc_am_state_events.csv|pdcp_count_state.csv|sdap_qfi_drb_mapping.csv|rrc_state_transitions.csv,rlc_am_window_timeline.png|pdcp_count_hfn_timeline.png|sdap_qfi_drb_map.png|rrc_state_machine.png,L2/L3
SC-24,TRAFFIC_PACKET_LINEAGE,Traffic,both,true,5,20,Deterministic CBR and burst packets through SDAP/PDCP/RLC/MAC/TB/HARQ to first delivery with conservation.,traffic_packet_arrivals.csv|protocol_lineage.csv|mac_packet_lineage_nodes.csv|mac_conservation_ledger.csv,traffic_packet_arrivals.png|protocol_lineage_graph.png|protocol_conservation_balance.png,Traffic
SC-25,HANDOVER_RLF_REESTABLISHMENT,Mobility/L3,both,true,7,28,"Filtered measurement report, A3/TTT, target preparation, target RA, T304, completion; one failure/RLF/re-establishment branch.",handover_events.csv|geometry_handover_rlf_trace.csv|rrc_state_transitions.csv,handover_sequence.png|channel_handover_continuity.png,Mobility/L3
SC-26,NEGATIVE_AND_FAULT_INJECTION,Negative Tests,both,true,6,24,"Execute wrong identity/resource/timing/length, no-signal, stale state, collision, unsupported tuple and provenance faults.",full_stack_failure_registry.csv|validation_negative_tests.csv|integration_negative_tests.csv,full_stack_failure_heatmap.png,Negative Tests
SC-27,VALIDATION_ORACLES_STATISTICS,Validation,both,true,5,20,"Run schema-first gates, independent oracles, point joins, confidence intervals, deterministic merge and provenance checks.",validation_schema_results.csv|validation_oracle_results.csv|validation_point_status.csv|validation_task_merge.csv,validation_oracle_independence.png|validation_parallel_merge_determinism.png|validation_provenance_dag.png,Validation
SC-28,ALL_ARTIFACT_EXPORT_AND_AUDIT,Artifacts,both,true,6,24,"Generate, hash, schema-check and semantically audit every required CSV/PNG in the selected preset.",full_stack_artifact_manifest.csv|all_csv_artifact_audit.csv|all_image_artifact_audit.csv,full_stack_artifact_completeness.png,Artifacts
SC-29,WEBGUI_PUBLISH_AND_E2E,WebGUI,both,true,5,20,"Launch from canonical WebGUI, display source/effective/resolved YAML, live progress, all artifacts, validation and download/preview.",full_stack_webgui_publication.csv,full_stack_webgui_publication_map.png,WebGUI
SC-30,COMPLETE_REPOSITORY_REGRESSION,Regression,both,true,10,40,"Run full MATLAB tests, Python tests, frontend tests and Playwright; no mandatory skip/block/fail.",full_stack_regression_summary.csv,full_stack_acceptance_waterfall.png,Regression
