ComponentID,Domain,Component,SubcaseID,MandatoryInComprehensiveSmoke,MandatoryInDeepAcceptance,RequiredCSV,RequiredPNG,CorrectnessRequirement,WebGUISection,FailureCode
COMP-0070,Reference Signals and Link Adaptation,CSI-RS and CSI-IM,SC-11,true,true,rsla_csirs_matrix.csv|rsla_csirs_matrix.csv,rsla_csirs_resource_map.png,Exact resource and muting behavior.,Reference Signals and Link Adaptation,FULLSTACK:CSIRSandCSIIMFailed
COMP-0071,Reference Signals and Link Adaptation,SRS resource and receiver,SC-11,true,true,rsla_srs_matrix.csv|rsla_srs_scheduler_consumption.csv,rsla_srs_resource_hopping_map.png,Measured channel and age are valid.,Reference Signals and Link Adaptation,FULLSTACK:SRSresourceandreceiverFailed
COMP-0072,Reference Signals and Link Adaptation,TRS tracking,SC-11,true,true,rsla_trs_tracking.csv,rsla_trs_tracking_convergence.png,Timing/CFO estimate is applied downstream.,Reference Signals and Link Adaptation,FULLSTACK:TRStrackingFailed
COMP-0073,Reference Signals and Link Adaptation,PTRS tracking,SC-11,true,true,rsla_ptrs_tracking.csv,rsla_ptrs_cpe_evm.png,CPE/EVM improve under phase noise.,Reference Signals and Link Adaptation,FULLSTACK:PTRStrackingFailed
COMP-0074,Reference Signals and Link Adaptation,TS 38.215 measurements,SC-11,true,true,rsla_measurement_results.csv,rsla_measurement_accuracy.png,RSRP/RSRQ/SINR/RSSI/EVM definitions and units match.,Reference Signals and Link Adaptation,FULLSTACK:TS38215measurementsFailed
COMP-0075,Reference Signals and Link Adaptation,CSI report Part1 Part2,SC-12,true,true,rsla_csi_uci_roundtrip.csv,rsla_csi_part1_part2_layout.png,Field widths/order/decoded bits match.,Reference Signals and Link Adaptation,FULLSTACK:CSIreportPart1Part2Failed
COMP-0076,Reference Signals and Link Adaptation,Measured-only link adaptation,SC-12,true,true,rsla_link_adaptation_decisions.csv,rsla_link_adaptation_timeline.png,"Decision source is decoded measured report, not configured SNR.",Reference Signals and Link Adaptation,FULLSTACK:MeasuredonlylinkadaptationFailed
COMP-0077,Reference Signals and Link Adaptation,EESM MIESM calibration lookup,SC-12,true,true,rsla_effective_sinr_trials.csv,rsla_effective_sinr_prediction.png,Exact profile calibration exists; no fallback beta.,Reference Signals and Link Adaptation,FULLSTACK:EESMMIESMcalibrationlookupFailed
COMP-0078,Reference Signals and Link Adaptation,OLLA state,SC-12,true,true,rsla_olla_state.csv,rsla_olla_convergence.png,Per-UE state converges/stays bounded and isolated.,Reference Signals and Link Adaptation,FULLSTACK:OLLAstateFailed
COMP-0079,MIMO Antenna Beamforming,Antenna geometry and pose,SC-13,true,true,mimo_antenna_panel.csv,mimo_antenna_panel_geometry.png,"Element positions, pose and logical ports are canonical.",MIMO Antenna Beamforming,FULLSTACK:AntennageometryandposeFailed
COMP-0080,MIMO Antenna Beamforming,Polarization and XPR,SC-13,true,true,mimo_independent_vector_results.csv,,Independent array response passes.,MIMO Antenna Beamforming,FULLSTACK:PolarizationandXPRFailed
COMP-0081,MIMO Antenna Beamforming,Type-I codebook,SC-13,true,true,mimo_codebook_vector_results.csv,mimo_codebook_beam_patterns.png,Enabled coefficients match independent vectors.,MIMO Antenna Beamforming,FULLSTACK:TypeIcodebookFailed
COMP-0082,MIMO Antenna Beamforming,RI selection,SC-13,true,true,mimo_ri_pmi_selection.csv,mimo_ri_pmi_objective_map.png,Selected rank maximizes declared measured objective.,MIMO Antenna Beamforming,FULLSTACK:RIselectionFailed
COMP-0083,MIMO Antenna Beamforming,PMI selection,SC-13,true,true,mimo_ri_pmi_selection.csv,mimo_wideband_subband_pmi.png,Candidate evaluation uses post-EQ SINR/covariance.,MIMO Antenna Beamforming,FULLSTACK:PMIselectionFailed
COMP-0084,MIMO Antenna Beamforming,CSI feedback authority,SC-12,true,true,mimo_csi_part1_part2.csv,mimo_csi_part1_part2_layout.png,Decoded report drives scheduler.,MIMO Antenna Beamforming,FULLSTACK:CSIfeedbackauthorityFailed
COMP-0085,MIMO Antenna Beamforming,Precoder application,SC-13,true,true,mimo_precoder_application.csv,mimo_precoder_digest_timeline.png,Selected/applied matrix digests match.,MIMO Antenna Beamforming,FULLSTACK:PrecoderapplicationFailed
COMP-0086,MIMO Antenna Beamforming,High-rank probe,SC-13,true,true,mimo_rank_port_trials.csv,mimo_per_layer_sinr.png,Rank/layer/codeword do not collapse.,MIMO Antenna Beamforming,FULLSTACK:HighrankprobeFailed
COMP-0087,MIMO Antenna Beamforming,Strict IRC covariance,SC-13,true,true,mimo_covariance_estimation.csv,mimo_covariance_eigenvalues.png,Covariance is PSD/current/sufficiently sampled.,MIMO Antenna Beamforming,FULLSTACK:StrictIRCcovarianceFailed
COMP-0088,MIMO Antenna Beamforming,MU-MIMO,SC-18,true,true,mimo_mu_mimo_trials.csv,mimo_mu_mimo_user_sinr.png,Shared-resource per-UE separation and accounting work.,MIMO Antenna Beamforming,FULLSTACK:MUMIMOFailed
COMP-0089,MIMO Antenna Beamforming,Multi-TRP,SC-13,true,true,mimo_multitrp_trials.csv,mimo_multitrp_combining.png,Per-TRP timing/phase/power are applied.,MIMO Antenna Beamforming,FULLSTACK:MultiTRPFailed
COMP-0090,MIMO Antenna Beamforming,Hybrid beamforming,SC-13,true,true,mimo_hybrid_beamforming_trials.csv,mimo_hybrid_beam_squint.png,RF-chain and analog constraints are enforced.,MIMO Antenna Beamforming,FULLSTACK:HybridbeamformingFailed
COMP-0091,MIMO Antenna Beamforming,Beam state machine,SC-14,true,true,mimo_beam_management_events.csv,mimo_beam_state_timeline.png,"Measurements cause TCI, failure and recovery transitions.",MIMO Antenna Beamforming,FULLSTACK:BeamstatemachineFailed
COMP-0092,Channel Geometry Mobility Interference,Immutable geometry state,SC-15,true,true,channel_geometry_state.csv,channel_geometry_trajectory_3d.png,Runtime positions/velocities/poses are observed.,Channel/Geometry,FULLSTACK:ImmutablegeometrystateFailed
COMP-0093,Channel Geometry Mobility Interference,Pathloss and LOS,SC-15,true,true,channel_pathloss_trials.csv|channel_los_state.csv,channel_pathloss_curves.png|channel_los_probability_state.png,Pinned equations and LOS process pass.,Channel/Geometry,FULLSTACK:PathlossandLOSFailed
COMP-0094,Channel Geometry Mobility Interference,NLOS state,SC-16,true,true,channel_los_state.csv|geometry_channel_state_trace.csv,channel_cdl_delay_angle_spectrum.png,NLOS profile is actually applied and observed.,Channel/Geometry,FULLSTACK:NLOSstateFailed
COMP-0095,Channel Geometry Mobility Interference,O2I and materials,SC-16,true,true,channel_o2i_trials.csv,channel_o2i_material_loss.png,Material mixture and indoor distance are measured/derived from runtime.,Channel/Geometry,FULLSTACK:O2IandmaterialsFailed
COMP-0096,Channel Geometry Mobility Interference,Blockage and vehicle/material loss,SC-16,true,true,channel_blockage_material.csv,channel_blockage_material_timeline.png,State is time-correlated and sample-causal.,Channel/Geometry,FULLSTACK:BlockageandvehiclemateriallossFailed
COMP-0097,Channel Geometry Mobility Interference,Oxygen absorption,SC-16,true,true,channel_oxygen_absorption.csv,channel_oxygen_absorption.png,Profile table and cluster delay are applied when applicable.,Channel/Geometry,FULLSTACK:OxygenabsorptionFailed
COMP-0098,Channel Geometry Mobility Interference,TDL correlation,SC-15,true,true,channel_tdl_profile.csv,channel_tdl_spatial_correlation.png,Delay/power/Doppler/correlation statistics pass.,Channel/Geometry,FULLSTACK:TDLcorrelationFailed
COMP-0099,Channel Geometry Mobility Interference,CDL arrays/polarization,SC-16,true,true,channel_cdl_profile.csv,channel_cdl_delay_angle_spectrum.png,"Angles, polarization and arrays pass.",Channel/Geometry,FULLSTACK:CDLarrayspolarizationFailed
COMP-0100,Channel Geometry Mobility Interference,LSP spatial consistency,SC-17,true,true,channel_lsp_statistics.csv,channel_lsp_spatial_correlation.png,Marginals/cross-correlation/continuity pass.,Channel/Geometry,FULLSTACK:LSPspatialconsistencyFailed
COMP-0101,Channel Geometry Mobility Interference,Signed Doppler phase continuity,SC-17,true,true,channel_doppler_phase.csv,channel_mobility_doppler_timeline.png,Doppler sign and integrated phase are continuous.,Channel/Geometry,FULLSTACK:SignedDopplerphasecontinuityFailed
COMP-0102,Channel Geometry Mobility Interference,Absolute power/noise,SC-15,true,true,channel_absolute_power_ledger.csv,channel_absolute_power_reconciliation.png,Analytical and sample powers reconcile.,Channel/Geometry,FULLSTACK:AbsolutepowernoiseFailed
COMP-0103,Channel Geometry Mobility Interference,Sample-domain interference,SC-18,true,true,channel_interference_contributions.csv,channel_interference_contribution_map.png,Composite samples equal contribution sum.,Channel/Geometry,FULLSTACK:SampledomaininterferenceFailed
COMP-0104,Channel Geometry Mobility Interference,Interference covariance,SC-18,true,true,channel_interference_covariance.csv,channel_interference_covariance.png,Measured covariance equals sample covariance.,Channel/Geometry,FULLSTACK:InterferencecovarianceFailed
COMP-0105,Channel Geometry Mobility Interference,Wraparound/topology,SC-18,true,true,channel_topology_sites_sectors.csv,channel_topology_clone_map.png,Explicit cloned sites/sectors are used.,Channel/Geometry,FULLSTACK:WraparoundtopologyFailed
COMP-0106,Channel Geometry Mobility Interference,Handover continuity,SC-25,true,true,channel_handover_continuity.csv,channel_handover_continuity.png,Channel and packet continuity are causal.,Channel/Geometry,FULLSTACK:HandovercontinuityFailed
COMP-0107,RF Front End and Power Control,RF profile separation,SC-20,true,true,rf_profile_resolution.csv,,Ideal/research/emulation claims are separated.,RF/Power,FULLSTACK:RFprofileseparationFailed
COMP-0108,RF Front End and Power Control,RF reference planes,SC-20,true,true,rf_chain_stage_ledger.csv|rf_reference_plane_power.csv,rf_chain_reference_planes.png,Power is tracked through each stage.,RF/Power,FULLSTACK:RFreferenceplanesFailed
COMP-0109,RF Front End and Power Control,CFO acquisition/tracking,SC-19,true,true,rf_cfo_tracking.csv,rf_cfo_acquisition_tracking.png,Estimator does not receive true CFO; residual reduces.,RF/Power,FULLSTACK:CFOacquisitiontrackingFailed
COMP-0110,RF Front End and Power Control,Timing acquisition/tracking,SC-19,true,true,rf_timing_tracking.csv,rf_timing_tracking.png,Residual timing is bounded.,RF/Power,FULLSTACK:TimingacquisitiontrackingFailed
COMP-0111,RF Front End and Power Control,SCO resampling,SC-19,true,true,rf_sco_resampler.csv,rf_sco_drift_resampling.png,Stateful drift and sample count are correct.,RF/Power,FULLSTACK:SCOresamplingFailed
COMP-0112,RF Front End and Power Control,Phase noise,SC-20,true,true,rf_phase_noise_tracking.csv,rf_phase_noise_mask.png|rf_phase_noise_cpe_ici.png,PSD and persistent state pass.,RF/Power,FULLSTACK:PhasenoiseFailed
COMP-0113,RF Front End and Power Control,IQ imbalance,SC-20,true,true,rf_iq_compensation.csv,rf_iq_constellation_image.png|rf_iq_compensation.png,Measured compensation improves image/EVM.,RF/Power,FULLSTACK:IQimbalanceFailed
COMP-0114,RF Front End and Power Control,PA memory and compression,SC-20,true,true,rf_pa_characterization.csv,rf_pa_amam_ampm.png|rf_pa_memory_spectrum.png,Compression/regrowth remain visible; no power restoration.,RF/Power,FULLSTACK:PAmemoryandcompressionFailed
COMP-0115,RF Front End and Power Control,CFR and DPD,SC-20,true,true,rf_dpd_validation.csv,rf_dpd_aclr_evm.png,Holdout EVM/ACLR improvement is measured.,RF/Power,FULLSTACK:CFRandDPDFailed
COMP-0116,RF Front End and Power Control,DAC/AGC/ADC,SC-20,true,true,rf_adc_quantization.csv|rf_agc_trace.csv,rf_dac_adc_quantization.png|rf_agc_overload_trace.png,"Explicit full scale, clipping and stateful AGC.",RF/Power,FULLSTACK:DACAGCADCFailed
COMP-0117,RF Front End and Power Control,Blocker/intermodulation,SC-20,true,true,rf_blocker_trials.csv|rf_intermodulation_trials.csv,rf_blocker_desensitization.png|rf_intermodulation_spectrum.png,Sample-domain blocker and products are measured.,RF/Power,FULLSTACK:BlockerintermodulationFailed
