CaseID,Profile,UEID,ServingCellID,CCID,BWPId,AbsoluteSlot,ConfigurationEpoch,DecodedDCIId,DCIFormat,DCICRCPass,DCIRNTIMatch,RNTIType,FDRAType,VRBToPRBMapping,K0,PRBSet,SymbolAllocation,MappingType,MCSTable,MCSIndex,Modulation,TargetCodeRate,TBScaling,XOverhead,NumLayers,NDI,RV,HARQProcessID,DMRSPortSet,TCIStateId,RateMatchPatternIDs,SPSConfigID,SPSActivationDCIId,SPSActivationDCICRCPass,SPSActivationDCIRNTIMatch,SPSConfigurationEpoch,SPSActivated,SPSReleased,SPSOccasionIndex,Source,AssignmentCreated,WaveformAllowed,ErrorIdentifier,Status
ASSIGN-011,connected_strict,1,1,0,1,110,7,DCI-011,1_1,1,1,C-RNTI,type1_riv,noninterleaved,1,10|11|12|13|14|15|16|17|18|19|20|21|22|23,2|12,A,qam256,10,,,1,0,1,0,3,10,10,2,,,,0,0,,0,0,,,0,0,sixgr:pdsch:DCIFieldOutOfRange,PASS
ASSIGN-012,connected_strict,1,2,1,2,111,7,DCI-012,1_1,1,1,C-RNTI,type0_rbg,interleaved,2,13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,3|11,B,qam1024,11,,,1,0,1,1,1,11,11,3,,,,0,0,,0,0,,,0,0,sixgr:pdsch:ScheduledResourceUnavailable,PASS
ASSIGN-013,connected_strict,1,1,0,0,112,7,DCI-013,1_1,1,1,C-RNTI,type1_riv,noninterleaved,0,16|17|18|19,0|14,A,qam64,12,,,1,0,1,0,0,12,0,0,,,,0,0,,0,0,,,0,0,sixgr:pdsch:HARQContextMismatch,PASS
ASSIGN-014,connected_strict,1,2,1,1,113,7,DCI-014,1_1,1,1,C-RNTI,type0_rbg,interleaved,1,19|20|21|22|23,1|13,B,qam256,13,,,1,0,1,1,2,13,1,1,,,,0,0,,0,0,,,0,0,sixgr:pdsch:UnsupportedMCSContext,PASS
ASSIGN-015,connected_strict,1,1,0,2,114,7,DCI-015,1_1,1,1,C-RNTI,type1_riv,noninterleaved,2,2|3|4|5|6|7,2|12,A,qam1024,14,,,1,0,1,0,3,14,2,2,,,,0,0,,0,0,,,0,0,sixgr:pdsch:InactiveServingCell,PASS
ASSIGN-016,connected_strict,1,2,1,0,115,7,DCI-016,1_1,1,1,C-RNTI,type0_rbg,interleaved,0,5|6|7|8|9|10|11,3|11,B,qam64,15,,,1,0,1,1,1,15,3,3,,,,0,0,,0,0,,,0,0,sixgr:pdsch:TCIStateNotActivated,PASS
ASSIGN-017,sps_strict,1,1,0,1,200,9,,1_1,0,0,CS-RNTI,type1_riv,noninterleaved,0,12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,2|12,A,qam256,18,64QAM,0.802734375,1,0,1,1,0,4,0,1,,SPS-1,DCI-SPS-ACT-001,1,1,9,1,0,20,sps_activation_dci+rrc_context,1,1,,PASS
ASSIGN-018,sps_strict,1,1,0,1,210,9,,1_1,0,0,CS-RNTI,type1_riv,noninterleaved,0,12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,2|12,A,qam256,18,,,1,0,1,1,0,4,0,1,,,DCI-SPS-ACT-001,1,1,,0,0,,,0,0,sixgr:pdsch:SPSNotActivated,PASS
ASSIGN-019,sps_strict,1,1,0,1,220,9,,1_1,0,0,CS-RNTI,type1_riv,noninterleaved,0,12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,2|12,A,qam256,18,,,1,0,1,1,0,4,0,1,,,DCI-SPS-ACT-001,1,1,,1,1,,,0,0,sixgr:pdsch:SPSReleased,PASS
ASSIGN-020,sps_strict,1,1,0,1,230,9,,1_1,0,0,CS-RNTI,type1_riv,noninterleaved,0,12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,2|12,A,qam256,18,,,1,0,1,1,0,4,0,1,,,DCI-SPS-ACT-001,1,1,,1,0,,,0,0,sixgr:pdsch:NotSPSOccasion,PASS
ASSIGN-021,sps_strict,1,1,0,1,240,9,,1_1,0,0,CS-RNTI,type1_riv,noninterleaved,0,12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,2|12,A,qam256,18,,,1,0,1,1,0,4,0,1,,,DCI-SPS-ACT-001,0,1,,1,0,,,0,0,sixgr:pdsch:SPSActivationDCICRCFailed,PASS
ASSIGN-022,sps_strict,1,1,0,1,250,9,,1_1,0,0,CS-RNTI,type1_riv,noninterleaved,0,12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,2|12,A,qam256,18,,,1,0,1,1,0,4,0,1,,,DCI-SPS-ACT-001,1,0,,1,0,,,0,0,sixgr:pdsch:SPSActivationDCIRNTIMismatch,PASS
