CaseID,LinkID,TxPower_dBm,ExpectedRxPower_dBm,MeasuredRxPower_dBm,Error_dB,ReferencePoint,Status
"PWR-00079","LINK-PWR-00079",10,-95,-95,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00080","LINK-PWR-00080",10,-119,-119,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00081","LINK-PWR-00081",10,-49,-49,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00082","LINK-PWR-00082",10,-57,-57,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00083","LINK-PWR-00083",10,-72,-72,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00084","LINK-PWR-00084",10,-115.5,-115.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00085","LINK-PWR-00085",10,-115,-115,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00086","LINK-PWR-00086",10,-31,-31,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00087","LINK-PWR-00087",10,-63,-63,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00088","LINK-PWR-00088",10,-73,-73,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00089","LINK-PWR-00089",10,-86,-86,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00090","LINK-PWR-00090",10,-125,-125,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00091","LINK-PWR-00091",23,-39.5,-39.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00092","LINK-PWR-00092",23,-61,-61,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00093","LINK-PWR-00093",23,-91,-91,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00094","LINK-PWR-00094",23,-103,-103,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00095","LINK-PWR-00095",23,-119,-119,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00096","LINK-PWR-00096",23,-50,-50,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00097","LINK-PWR-00097",23,-52,-52,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00098","LINK-PWR-00098",23,-78.5,-78.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00099","LINK-PWR-00099",23,-105,-105,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00100","LINK-PWR-00100",23,-114,-114,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00101","LINK-PWR-00101",23,-30,-30,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00102","LINK-PWR-00102",23,-68,-68,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00103","LINK-PWR-00103",23,-68,-68,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00104","LINK-PWR-00104",23,-95,-95,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00105","LINK-PWR-00105",23,-127.5,-127.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00106","LINK-PWR-00106",23,-27,-27,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00107","LINK-PWR-00107",23,-44,-44,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00108","LINK-PWR-00108",23,-84,-84,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00109","LINK-PWR-00109",23,-82,-82,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00110","LINK-PWR-00110",23,-106,-106,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00111","LINK-PWR-00111",23,-36,-36,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00112","LINK-PWR-00112",23,-45.5,-45.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00113","LINK-PWR-00113",23,-59,-59,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00114","LINK-PWR-00114",23,-101,-101,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00115","LINK-PWR-00115",23,-102,-102,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00116","LINK-PWR-00116",23,-18,-18,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00117","LINK-PWR-00117",23,-50,-50,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00118","LINK-PWR-00118",23,-60,-60,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00119","LINK-PWR-00119",23,-74.5,-74.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00120","LINK-PWR-00120",23,-112,-112,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00121","LINK-PWR-00121",30,-31,-31,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00122","LINK-PWR-00122",30,-54,-54,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00123","LINK-PWR-00123",30,-84,-84,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00124","LINK-PWR-00124",30,-96,-96,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00125","LINK-PWR-00125",30,-112,-112,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00126","LINK-PWR-00126",30,-44.5,-44.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00127","LINK-PWR-00127",30,-45,-45,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00128","LINK-PWR-00128",30,-70,-70,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00129","LINK-PWR-00129",30,-98,-98,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00130","LINK-PWR-00130",30,-107,-107,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00131","LINK-PWR-00131",30,-23,-23,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00132","LINK-PWR-00132",30,-61,-61,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00133","LINK-PWR-00133",30,-62.5,-62.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00134","LINK-PWR-00134",30,-88,-88,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00135","LINK-PWR-00135",30,-119,-119,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00136","LINK-PWR-00136",30,-20,-20,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00137","LINK-PWR-00137",30,-37,-37,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00138","LINK-PWR-00138",30,-77,-77,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00139","LINK-PWR-00139",30,-75,-75,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00140","LINK-PWR-00140",30,-100.5,-100.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00141","LINK-PWR-00141",30,-29,-29,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00142","LINK-PWR-00142",30,-37,-37,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00143","LINK-PWR-00143",30,-52,-52,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00144","LINK-PWR-00144",30,-94,-94,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00145","LINK-PWR-00145",30,-95,-95,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00146","LINK-PWR-00146",30,-11,-11,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00147","LINK-PWR-00147",30,-44.5,-44.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00148","LINK-PWR-00148",30,-53,-53,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00149","LINK-PWR-00149",30,-66,-66,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00150","LINK-PWR-00150",30,-105,-105,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00151","LINK-PWR-00151",43,-18,-18,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00152","LINK-PWR-00152",43,-41,-41,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00153","LINK-PWR-00153",43,-71,-71,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00154","LINK-PWR-00154",43,-84.5,-84.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00155","LINK-PWR-00155",43,-99,-99,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00156","LINK-PWR-00156",43,-30,-30,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00157","LINK-PWR-00157",43,-32,-32,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00158","LINK-PWR-00158",43,-57,-57,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00159","LINK-PWR-00159",43,-85,-85,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00160","LINK-PWR-00160",43,-94,-94,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00161","LINK-PWR-00161",43,-11.5,-11.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00162","LINK-PWR-00162",43,-48,-48,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00163","LINK-PWR-00163",43,-48,-48,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00164","LINK-PWR-00164",43,-75,-75,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00165","LINK-PWR-00165",43,-106,-106,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00166","LINK-PWR-00166",43,-7,-7,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00167","LINK-PWR-00167",43,-24,-24,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00168","LINK-PWR-00168",43,-65.5,-65.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00169","LINK-PWR-00169",43,-62,-62,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00170","LINK-PWR-00170",43,-86,-86,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00171","LINK-PWR-00171",43,-16,-16,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00172","LINK-PWR-00172",43,-24,-24,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00173","LINK-PWR-00173",43,-39,-39,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00174","LINK-PWR-00174",43,-81,-81,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00175","LINK-PWR-00175",43,-83.5,-83.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00176","LINK-PWR-00176",43,2,2,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00177","LINK-PWR-00177",43,-30,-30,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00178","LINK-PWR-00178",43,-40,-40,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00179","LINK-PWR-00179",43,-53,-53,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00180","LINK-PWR-00180",43,-92,-92,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00181","LINK-PWR-00181",46,-15,-15,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00182","LINK-PWR-00182",46,-39.5,-39.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00183","LINK-PWR-00183",46,-68,-68,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00184","LINK-PWR-00184",46,-80,-80,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00185","LINK-PWR-00185",46,-96,-96,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00186","LINK-PWR-00186",46,-27,-27,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00187","LINK-PWR-00187",46,-29,-29,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00188","LINK-PWR-00188",46,-54,-54,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00189","LINK-PWR-00189",46,-83.5,-83.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00190","LINK-PWR-00190",46,-91,-91,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00191","LINK-PWR-00191",46,-7,-7,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00192","LINK-PWR-00192",46,-45,-45,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00193","LINK-PWR-00193",46,-45,-45,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00194","LINK-PWR-00194",46,-72,-72,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00195","LINK-PWR-00195",46,-103,-103,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00196","LINK-PWR-00196",46,-5.5,-5.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00197","LINK-PWR-00197",46,-21,-21,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00198","LINK-PWR-00198",46,-61,-61,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00199","LINK-PWR-00199",46,-59,-59,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00200","LINK-PWR-00200",46,-83,-83,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00201","LINK-PWR-00201",46,-13,-13,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00202","LINK-PWR-00202",46,-21,-21,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00203","LINK-PWR-00203",46,-37.5,-37.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00204","LINK-PWR-00204",46,-78,-78,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00205","LINK-PWR-00205",46,-79,-79,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00206","LINK-PWR-00206",46,5,5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00207","LINK-PWR-00207",46,-27,-27,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00208","LINK-PWR-00208",46,-37,-37,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00209","LINK-PWR-00209",46,-50,-50,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00210","LINK-PWR-00210",46,-90.5,-90.5,0,"antenna_connector_to_post_channel_samples","PASS"
