CaseID,Profile,Fc_GHz,IndoorDistance_m,ExpectedLoss_dB,ActualLoss_dB,Error_dB,MaterialStateID,Status
"O2I-0025","HIGH_LOSS",3.5,0,27.4992889201438,27.4992889201438,0,"MAT-O2I-0025","PASS"
"O2I-0026","HIGH_LOSS",3.5,1,27.9992889201438,27.9992889201438,0,"MAT-O2I-0026","PASS"
"O2I-0027","HIGH_LOSS",3.5,5,29.9992889201438,29.9992889201438,0,"MAT-O2I-0027","PASS"
"O2I-0028","HIGH_LOSS",3.5,10,32.4992889201438,32.4992889201438,0,"MAT-O2I-0028","PASS"
"O2I-0029","HIGH_LOSS",3.5,15,34.9992889201438,34.9992889201438,0,"MAT-O2I-0029","PASS"
"O2I-0030","HIGH_LOSS",3.5,25,39.9992889201438,39.9992889201438,0,"MAT-O2I-0030","PASS"
"O2I-0031","LOW_LOSS_A",3.5,0,6.92051521887159,6.92051521887159,0,"MAT-O2I-0031","PASS"
"O2I-0032","LOW_LOSS_A",3.5,1,7.42051521887159,7.42051521887159,0,"MAT-O2I-0032","PASS"
"O2I-0033","LOW_LOSS_A",3.5,5,9.42051521887159,9.42051521887159,0,"MAT-O2I-0033","PASS"
"O2I-0034","LOW_LOSS_A",3.5,10,11.9205152188716,11.9205152188716,0,"MAT-O2I-0034","PASS"
"O2I-0035","LOW_LOSS_A",3.5,15,14.4205152188716,14.4205152188716,0,"MAT-O2I-0035","PASS"
"O2I-0036","LOW_LOSS_A",3.5,25,19.4205152188716,19.4205152188716,0,"MAT-O2I-0036","PASS"
"O2I-0037","LOW_LOSS",7.5,0,13.7216193761077,13.7216193761077,0,"MAT-O2I-0037","PASS"
"O2I-0038","LOW_LOSS",7.5,1,14.2216193761077,14.2216193761077,0,"MAT-O2I-0038","PASS"
"O2I-0039","LOW_LOSS",7.5,5,16.2216193761077,16.2216193761077,0,"MAT-O2I-0039","PASS"
"O2I-0040","LOW_LOSS",7.5,10,18.7216193761077,18.7216193761077,0,"MAT-O2I-0040","PASS"
"O2I-0041","LOW_LOSS",7.5,15,21.2216193761077,21.2216193761077,0,"MAT-O2I-0041","PASS"
"O2I-0042","LOW_LOSS",7.5,25,26.2216193761077,26.2216193761077,0,"MAT-O2I-0042","PASS"
"O2I-0043","HIGH_LOSS",7.5,0,32.5339975433884,32.5339975433884,0,"MAT-O2I-0043","PASS"
"O2I-0044","HIGH_LOSS",7.5,1,33.0339975433884,33.0339975433884,0,"MAT-O2I-0044","PASS"
"O2I-0045","HIGH_LOSS",7.5,5,35.0339975433884,35.0339975433884,0,"MAT-O2I-0045","PASS"
"O2I-0046","HIGH_LOSS",7.5,10,37.5339975433884,37.5339975433884,0,"MAT-O2I-0046","PASS"
"O2I-0047","HIGH_LOSS",7.5,15,40.0339975433884,40.0339975433884,0,"MAT-O2I-0047","PASS"
"O2I-0048","HIGH_LOSS",7.5,25,45.0339975433884,45.0339975433884,0,"MAT-O2I-0048","PASS"
"O2I-0049","LOW_LOSS_A",7.5,0,7.63029049180726,7.63029049180726,0,"MAT-O2I-0049","PASS"
"O2I-0050","LOW_LOSS_A",7.5,1,8.13029049180726,8.13029049180726,0,"MAT-O2I-0050","PASS"
"O2I-0051","LOW_LOSS_A",7.5,5,10.1302904918073,10.1302904918073,0,"MAT-O2I-0051","PASS"
"O2I-0052","LOW_LOSS_A",7.5,10,12.6302904918073,12.6302904918073,0,"MAT-O2I-0052","PASS"
"O2I-0053","LOW_LOSS_A",7.5,15,15.1302904918073,15.1302904918073,0,"MAT-O2I-0053","PASS"
"O2I-0054","LOW_LOSS_A",7.5,25,20.1302904918073,20.1302904918073,0,"MAT-O2I-0054","PASS"
"O2I-0055","LOW_LOSS",10,0,14.2279825918608,14.2279825918608,0,"MAT-O2I-0055","PASS"
"O2I-0056","LOW_LOSS",10,1,14.7279825918608,14.7279825918608,0,"MAT-O2I-0056","PASS"
"O2I-0057","LOW_LOSS",10,5,16.7279825918608,16.7279825918608,0,"MAT-O2I-0057","PASS"
"O2I-0058","LOW_LOSS",10,10,19.2279825918608,19.2279825918608,0,"MAT-O2I-0058","PASS"
"O2I-0059","LOW_LOSS",10,15,21.7279825918608,21.7279825918608,0,"MAT-O2I-0059","PASS"
"O2I-0060","LOW_LOSS",10,25,26.7279825918608,26.7279825918608,0,"MAT-O2I-0060","PASS"
"O2I-0061","HIGH_LOSS",10,0,33.0228078340796,33.0228078340796,0,"MAT-O2I-0061","PASS"
"O2I-0062","HIGH_LOSS",10,1,33.5228078340796,33.5228078340796,0,"MAT-O2I-0062","PASS"
"O2I-0063","HIGH_LOSS",10,5,35.5228078340796,35.5228078340796,0,"MAT-O2I-0063","PASS"
"O2I-0064","HIGH_LOSS",10,10,38.0228078340796,38.0228078340796,0,"MAT-O2I-0064","PASS"
"O2I-0065","HIGH_LOSS",10,15,40.5228078340796,40.5228078340796,0,"MAT-O2I-0065","PASS"
"O2I-0066","HIGH_LOSS",10,25,45.5228078340796,45.5228078340796,0,"MAT-O2I-0066","PASS"
"O2I-0067","LOW_LOSS_A",10,0,8.07358755955638,8.07358755955638,0,"MAT-O2I-0067","PASS"
"O2I-0068","LOW_LOSS_A",10,1,8.57358755955638,8.57358755955638,0,"MAT-O2I-0068","PASS"
"O2I-0069","LOW_LOSS_A",10,5,10.5735875595564,10.5735875595564,0,"MAT-O2I-0069","PASS"
"O2I-0070","LOW_LOSS_A",10,10,13.0735875595564,13.0735875595564,0,"MAT-O2I-0070","PASS"
"O2I-0071","LOW_LOSS_A",10,15,15.5735875595564,15.5735875595564,0,"MAT-O2I-0071","PASS"
"O2I-0072","LOW_LOSS_A",10,25,20.5735875595564,20.5735875595564,0,"MAT-O2I-0072","PASS"
"O2I-0073","LOW_LOSS",15,0,15.2287773192773,15.2287773192773,0,"MAT-O2I-0073","PASS"
"O2I-0074","LOW_LOSS",15,1,15.7287773192773,15.7287773192773,0,"MAT-O2I-0074","PASS"
"O2I-0075","LOW_LOSS",15,5,17.7287773192773,17.7287773192773,0,"MAT-O2I-0075","PASS"
"O2I-0076","LOW_LOSS",15,10,20.2287773192773,20.2287773192773,0,"MAT-O2I-0076","PASS"
"O2I-0077","LOW_LOSS",15,15,22.7287773192773,22.7287773192773,0,"MAT-O2I-0077","PASS"
"O2I-0078","LOW_LOSS",15,25,27.7287773192773,27.7287773192773,0,"MAT-O2I-0078","PASS"
"O2I-0079","HIGH_LOSS",15,0,33.5987212041261,33.5987212041261,0,"MAT-O2I-0079","PASS"
"O2I-0080","HIGH_LOSS",15,1,34.0987212041261,34.0987212041261,0,"MAT-O2I-0080","PASS"
"O2I-0081","HIGH_LOSS",15,5,36.0987212041261,36.0987212041261,0,"MAT-O2I-0081","PASS"
"O2I-0082","HIGH_LOSS",15,10,38.5987212041261,38.5987212041261,0,"MAT-O2I-0082","PASS"
"O2I-0083","HIGH_LOSS",15,15,41.0987212041261,41.0987212041261,0,"MAT-O2I-0083","PASS"
"O2I-0084","HIGH_LOSS",15,25,46.0987212041261,46.0987212041261,0,"MAT-O2I-0084","PASS"
"O2I-0085","LOW_LOSS_A",15,0,8.9594703128019,8.9594703128019,0,"MAT-O2I-0085","PASS"
"O2I-0086","LOW_LOSS_A",15,1,9.4594703128019,9.4594703128019,0,"MAT-O2I-0086","PASS"
"O2I-0087","LOW_LOSS_A",15,5,11.4594703128019,11.4594703128019,0,"MAT-O2I-0087","PASS"
"O2I-0088","LOW_LOSS_A",15,10,13.9594703128019,13.9594703128019,0,"MAT-O2I-0088","PASS"
"O2I-0089","LOW_LOSS_A",15,15,16.4594703128019,16.4594703128019,0,"MAT-O2I-0089","PASS"
"O2I-0090","LOW_LOSS_A",15,25,21.4594703128019,21.4594703128019,0,"MAT-O2I-0090","PASS"
"O2I-0091","LOW_LOSS",20,0,16.2287873252297,16.2287873252297,0,"MAT-O2I-0091","PASS"
"O2I-0092","LOW_LOSS",20,1,16.7287873252297,16.7287873252297,0,"MAT-O2I-0092","PASS"
"O2I-0093","LOW_LOSS",20,5,18.7287873252297,18.7287873252297,0,"MAT-O2I-0093","PASS"
"O2I-0094","LOW_LOSS",20,10,21.2287873252297,21.2287873252297,0,"MAT-O2I-0094","PASS"
"O2I-0095","LOW_LOSS",20,15,23.7287873252297,23.7287873252297,0,"MAT-O2I-0095","PASS"
"O2I-0096","LOW_LOSS",20,25,28.7287873252297,28.7287873252297,0,"MAT-O2I-0096","PASS"
"O2I-0097","HIGH_LOSS",20,0,34.1490162129186,34.1490162129186,0,"MAT-O2I-0097","PASS"
"O2I-0098","HIGH_LOSS",20,1,34.6490162129186,34.6490162129186,0,"MAT-O2I-0098","PASS"
"O2I-0099","HIGH_LOSS",20,5,36.6490162129186,36.6490162129186,0,"MAT-O2I-0099","PASS"
"O2I-0100","HIGH_LOSS",20,10,39.1490162129186,39.1490162129186,0,"MAT-O2I-0100","PASS"
"O2I-0101","HIGH_LOSS",20,15,41.6490162129186,41.6490162129186,0,"MAT-O2I-0101","PASS"
"O2I-0102","HIGH_LOSS",20,25,46.6490162129186,46.6490162129186,0,"MAT-O2I-0102","PASS"
"O2I-0103","LOW_LOSS_A",20,0,9.8444187194272,9.8444187194272,0,"MAT-O2I-0103","PASS"
"O2I-0104","LOW_LOSS_A",20,1,10.3444187194272,10.3444187194272,0,"MAT-O2I-0104","PASS"
"O2I-0105","LOW_LOSS_A",20,5,12.3444187194272,12.3444187194272,0,"MAT-O2I-0105","PASS"
"O2I-0106","LOW_LOSS_A",20,10,14.8444187194272,14.8444187194272,0,"MAT-O2I-0106","PASS"
"O2I-0107","LOW_LOSS_A",20,15,17.3444187194272,17.3444187194272,0,"MAT-O2I-0107","PASS"
"O2I-0108","LOW_LOSS_A",20,25,22.3444187194272,22.3444187194272,0,"MAT-O2I-0108","PASS"
"O2I-0109","LOW_LOSS",24,0,17.0287874489507,17.0287874489507,0,"MAT-O2I-0109","PASS"
"O2I-0110","LOW_LOSS",24,1,17.5287874489507,17.5287874489507,0,"MAT-O2I-0110","PASS"
"O2I-0111","LOW_LOSS",24,5,19.5287874489507,19.5287874489507,0,"MAT-O2I-0111","PASS"
"O2I-0112","LOW_LOSS",24,10,22.0287874489507,22.0287874489507,0,"MAT-O2I-0112","PASS"
"O2I-0113","LOW_LOSS",24,15,24.5287874489507,24.5287874489507,0,"MAT-O2I-0113","PASS"
"O2I-0114","LOW_LOSS",24,25,29.5287874489507,29.5287874489507,0,"MAT-O2I-0114","PASS"
"O2I-0115","HIGH_LOSS",24,0,34.5890195057102,34.5890195057102,0,"MAT-O2I-0115","PASS"
"O2I-0116","HIGH_LOSS",24,1,35.0890195057102,35.0890195057102,0,"MAT-O2I-0116","PASS"
"O2I-0117","HIGH_LOSS",24,5,37.0890195057102,37.0890195057102,0,"MAT-O2I-0117","PASS"
"O2I-0118","HIGH_LOSS",24,10,39.5890195057102,39.5890195057102,0,"MAT-O2I-0118","PASS"
"O2I-0119","HIGH_LOSS",24,15,42.0890195057102,42.0890195057102,0,"MAT-O2I-0119","PASS"
"O2I-0120","HIGH_LOSS",24,25,47.0890195057102,47.0890195057102,0,"MAT-O2I-0120","PASS"
"O2I-0121","LOW_LOSS_A",24,0,10.5517161862339,10.5517161862339,0,"MAT-O2I-0121","PASS"
"O2I-0122","LOW_LOSS_A",24,1,11.0517161862339,11.0517161862339,0,"MAT-O2I-0122","PASS"
"O2I-0123","LOW_LOSS_A",24,5,13.0517161862339,13.0517161862339,0,"MAT-O2I-0123","PASS"
"O2I-0124","LOW_LOSS_A",24,10,15.5517161862339,15.5517161862339,0,"MAT-O2I-0124","PASS"
"O2I-0125","LOW_LOSS_A",24,15,18.0517161862339,18.0517161862339,0,"MAT-O2I-0125","PASS"
"O2I-0126","LOW_LOSS_A",24,25,23.0517161862339,23.0517161862339,0,"MAT-O2I-0126","PASS"
"O2I-0127","LOW_LOSS",28,0,17.828787452687,17.828787452687,0,"MAT-O2I-0127","PASS"
"O2I-0128","LOW_LOSS",28,1,18.328787452687,18.328787452687,0,"MAT-O2I-0128","PASS"
"O2I-0129","LOW_LOSS",28,5,20.328787452687,20.328787452687,0,"MAT-O2I-0129","PASS"
"O2I-0130","LOW_LOSS",28,10,22.828787452687,22.828787452687,0,"MAT-O2I-0130","PASS"
"O2I-0131","LOW_LOSS",28,15,25.328787452687,25.328787452687,0,"MAT-O2I-0131","PASS"
"O2I-0132","LOW_LOSS",28,25,30.328787452687,30.328787452687,0,"MAT-O2I-0132","PASS"
"O2I-0133","HIGH_LOSS",28,0,35.0290195972404,35.0290195972404,0,"MAT-O2I-0133","PASS"
"O2I-0134","HIGH_LOSS",28,1,35.5290195972404,35.5290195972404,0,"MAT-O2I-0134","PASS"
"O2I-0135","HIGH_LOSS",28,5,37.5290195972404,37.5290195972404,0,"MAT-O2I-0135","PASS"
"O2I-0136","HIGH_LOSS",28,10,40.0290195972404,40.0290195972404,0,"MAT-O2I-0136","PASS"
"O2I-0137","HIGH_LOSS",28,15,42.5290195972404,42.5290195972404,0,"MAT-O2I-0137","PASS"
"O2I-0138","HIGH_LOSS",28,25,47.5290195972404,47.5290195972404,0,"MAT-O2I-0138","PASS"
"O2I-0139","LOW_LOSS_A",28,0,11.2584353713669,11.2584353713669,0,"MAT-O2I-0139","PASS"
"O2I-0140","LOW_LOSS_A",28,1,11.7584353713669,11.7584353713669,0,"MAT-O2I-0140","PASS"
"O2I-0141","LOW_LOSS_A",28,5,13.7584353713669,13.7584353713669,0,"MAT-O2I-0141","PASS"
"O2I-0142","LOW_LOSS_A",28,10,16.2584353713669,16.2584353713669,0,"MAT-O2I-0142","PASS"
"O2I-0143","LOW_LOSS_A",28,15,18.7584353713669,18.7584353713669,0,"MAT-O2I-0143","PASS"
"O2I-0144","LOW_LOSS_A",28,25,23.7584353713669,23.7584353713669,0,"MAT-O2I-0144","PASS"
"O2I-0145","LOW_LOSS",39,0,20.0287874528034,20.0287874528034,0,"MAT-O2I-0145","PASS"
"O2I-0146","LOW_LOSS",39,1,20.5287874528034,20.5287874528034,0,"MAT-O2I-0146","PASS"
"O2I-0147","LOW_LOSS",39,5,22.5287874528034,22.5287874528034,0,"MAT-O2I-0147","PASS"
"O2I-0148","LOW_LOSS",39,10,25.0287874528034,25.0287874528034,0,"MAT-O2I-0148","PASS"
"O2I-0149","LOW_LOSS",39,15,27.5287874528034,27.5287874528034,0,"MAT-O2I-0149","PASS"
"O2I-0150","LOW_LOSS",39,25,32.5287874528034,32.5287874528034,0,"MAT-O2I-0150","PASS"
"O2I-0151","HIGH_LOSS",39,0,36.2390195998573,36.2390195998573,0,"MAT-O2I-0151","PASS"
"O2I-0152","HIGH_LOSS",39,1,36.7390195998573,36.7390195998573,0,"MAT-O2I-0152","PASS"
"O2I-0153","HIGH_LOSS",39,5,38.7390195998573,38.7390195998573,0,"MAT-O2I-0153","PASS"
"O2I-0154","HIGH_LOSS",39,10,41.2390195998573,41.2390195998573,0,"MAT-O2I-0154","PASS"
"O2I-0155","HIGH_LOSS",39,15,43.7390195998573,43.7390195998573,0,"MAT-O2I-0155","PASS"
"O2I-0156","HIGH_LOSS",39,25,48.7390195998573,48.7390195998573,0,"MAT-O2I-0156","PASS"
"O2I-0157","LOW_LOSS_A",39,0,13.1990032107837,13.1990032107837,0,"MAT-O2I-0157","PASS"
"O2I-0158","LOW_LOSS_A",39,1,13.6990032107837,13.6990032107837,0,"MAT-O2I-0158","PASS"
"O2I-0159","LOW_LOSS_A",39,5,15.6990032107837,15.6990032107837,0,"MAT-O2I-0159","PASS"
"O2I-0160","LOW_LOSS_A",39,10,18.1990032107837,18.1990032107837,0,"MAT-O2I-0160","PASS"
"O2I-0161","LOW_LOSS_A",39,15,20.6990032107837,20.6990032107837,0,"MAT-O2I-0161","PASS"
"O2I-0162","LOW_LOSS_A",39,25,25.6990032107837,25.6990032107837,0,"MAT-O2I-0162","PASS"
"O2I-0163","LOW_LOSS",60,0,24.2287874528034,24.2287874528034,0,"MAT-O2I-0163","PASS"
"O2I-0164","LOW_LOSS",60,1,24.7287874528034,24.7287874528034,0,"MAT-O2I-0164","PASS"
"O2I-0165","LOW_LOSS",60,5,26.7287874528034,26.7287874528034,0,"MAT-O2I-0165","PASS"
"O2I-0166","LOW_LOSS",60,10,29.2287874528034,29.2287874528034,0,"MAT-O2I-0166","PASS"
"O2I-0167","LOW_LOSS",60,15,31.7287874528034,31.7287874528034,0,"MAT-O2I-0167","PASS"
"O2I-0168","LOW_LOSS",60,25,36.7287874528034,36.7287874528034,0,"MAT-O2I-0168","PASS"
"O2I-0169","HIGH_LOSS",60,0,38.5490195998574,38.5490195998574,0,"MAT-O2I-0169","PASS"
"O2I-0170","HIGH_LOSS",60,1,39.0490195998574,39.0490195998574,0,"MAT-O2I-0170","PASS"
"O2I-0171","HIGH_LOSS",60,5,41.0490195998574,41.0490195998574,0,"MAT-O2I-0171","PASS"
"O2I-0172","HIGH_LOSS",60,10,43.5490195998574,43.5490195998574,0,"MAT-O2I-0172","PASS"
"O2I-0173","HIGH_LOSS",60,15,46.0490195998574,46.0490195998574,0,"MAT-O2I-0173","PASS"
"O2I-0174","HIGH_LOSS",60,25,51.0490195998574,51.0490195998574,0,"MAT-O2I-0174","PASS"
"O2I-0175","LOW_LOSS_A",60,0,16.892427157816,16.892427157816,0,"MAT-O2I-0175","PASS"
"O2I-0176","LOW_LOSS_A",60,1,17.392427157816,17.392427157816,0,"MAT-O2I-0176","PASS"
"O2I-0177","LOW_LOSS_A",60,5,19.392427157816,19.392427157816,0,"MAT-O2I-0177","PASS"
"O2I-0178","LOW_LOSS_A",60,10,21.892427157816,21.892427157816,0,"MAT-O2I-0178","PASS"
"O2I-0179","LOW_LOSS_A",60,15,24.392427157816,24.392427157816,0,"MAT-O2I-0179","PASS"
"O2I-0180","LOW_LOSS_A",60,25,29.392427157816,29.392427157816,0,"MAT-O2I-0180","PASS"
"O2I-0181","LOW_LOSS",100,0,32.2287874528034,32.2287874528034,0,"MAT-O2I-0181","PASS"
"O2I-0182","LOW_LOSS",100,1,32.7287874528034,32.7287874528034,0,"MAT-O2I-0182","PASS"
"O2I-0183","LOW_LOSS",100,5,34.7287874528034,34.7287874528034,0,"MAT-O2I-0183","PASS"
"O2I-0184","LOW_LOSS",100,10,37.2287874528034,37.2287874528034,0,"MAT-O2I-0184","PASS"
"O2I-0185","LOW_LOSS",100,15,39.7287874528034,39.7287874528034,0,"MAT-O2I-0185","PASS"
"O2I-0186","LOW_LOSS",100,25,44.7287874528034,44.7287874528034,0,"MAT-O2I-0186","PASS"
"O2I-0187","HIGH_LOSS",100,0,42.9490195998574,42.9490195998574,0,"MAT-O2I-0187","PASS"
"O2I-0188","HIGH_LOSS",100,1,43.4490195998574,43.4490195998574,0,"MAT-O2I-0188","PASS"
"O2I-0189","HIGH_LOSS",100,5,45.4490195998574,45.4490195998574,0,"MAT-O2I-0189","PASS"
"O2I-0190","HIGH_LOSS",100,10,47.9490195998574,47.9490195998574,0,"MAT-O2I-0190","PASS"
"O2I-0191","HIGH_LOSS",100,15,50.4490195998574,50.4490195998574,0,"MAT-O2I-0191","PASS"
"O2I-0192","HIGH_LOSS",100,25,55.4490195998574,55.4490195998574,0,"MAT-O2I-0192","PASS"
"O2I-0193","LOW_LOSS_A",100,0,23.8904845821977,23.8904845821977,0,"MAT-O2I-0193","PASS"
"O2I-0194","LOW_LOSS_A",100,1,24.3904845821977,24.3904845821977,0,"MAT-O2I-0194","PASS"
"O2I-0195","LOW_LOSS_A",100,5,26.3904845821977,26.3904845821977,0,"MAT-O2I-0195","PASS"
"O2I-0196","LOW_LOSS_A",100,10,28.8904845821977,28.8904845821977,0,"MAT-O2I-0196","PASS"
"O2I-0197","LOW_LOSS_A",100,15,31.3904845821977,31.3904845821977,0,"MAT-O2I-0197","PASS"
"O2I-0198","LOW_LOSS_A",100,25,36.3904845821977,36.3904845821977,0,"MAT-O2I-0198","PASS"
