RunID,CandidateID,SnapshotID,Policy,UEID,Metric,Rank,RequestedPRBs,RequestedSymbols,RequestedTBSBits,HARQProcess,IsRetransmission,RejectionReason,Status
MAC_PHASE08_R18_20260727033902,fd4f23adc1556b0a2dcf85f7ae89a74a1ecbdd672ea18e88d146c62956bc6a36,d9247fe88d4ac4316f10d4569891104b35c232d894e72ffc29cc442967cbb635,EDF,4,-20,1,10,10,800,3,true,,PASS
MAC_PHASE08_R18_20260727033902,4f30053aa8694a4785194d1e9e393814e1dfb2746eeced8095cc503dd228a3f9,411dcad8f2c5bb01b7fde42136454785fd8f584672ddd4b2c85b3742b3f03afc,RR,5,0,1,10,10,800,4,false,,PASS
MAC_PHASE08_R18_20260727033902,b7c9167f53e82890f3ca3523612c22b439c36ed17841c2076059fffddff3ee87,5cd0778f4581fbe0e131ac3c87ad47bbb8cd82fdc02946e50c94e93cb2539d45,PF,6,1.25,1,10,10,800,5,true,,PASS
MAC_PHASE08_R18_20260727033902,1f316001d2adf47ddef970920a537dd24d040d3b5d028a98c623d721215f048d,8937f15f2ab55811d800d907d79d6f70141566133f6032c705a2e0bb69365241,QoS-PF,7,4.093,1,10,10,800,6,true,,PASS
MAC_PHASE08_R18_20260727033902,ec2fbb9bd7dfe29c17c9a8ef06a8861487a52a49dfc58b9cf507875618ad6c85,9894f0a272750f79d15f90af743c7943d95556b8cd19f084d2a9e801e224da7e,EDF,8,-12,1,10,10,800,7,true,,PASS
MAC_PHASE08_R18_20260727033902,ef43848da6a01348d38fc203181ccae14e1b0a079c8b615ede217e263ca2e9c9,3070a35723841ace25c710d4ffe05c91d5c1cfa60aa4fc18b5e6bcde7e5affe3,RR,1,0,1,10,10,800,8,false,,PASS
MAC_PHASE08_R18_20260727033902,67b843ce20f60915437c6a1205fafe7f6b9c24a47c83741cf2f4f32cebcdb50a,0b60507fa8ad6c5b9e5a101956d11aa740496a3a9e8ac0e5f48faf54ff7898f5,PF,2,3.5,1,10,10,800,9,true,,PASS
MAC_PHASE08_R18_20260727033902,206c238655496971193de2790739d5c0c3aa4988b2c1cdbb3de270d7ff636384,7a3114212bde28931c8d19f6824ecf573df4e7cecf32b83d9c300db6fb9f7a3a,QoS-PF,3,18.383,1,10,10,800,10,true,,PASS
MAC_PHASE08_R18_20260727033902,1fe60a8732a195a3eb755c26232738f6f46cd3c0758c38e8198317e6d2df4fef,ea77ebf7f6898b2283951e7ddf42ad382e494b7469e273049b51da1a40af4c84,EDF,4,-44,1,10,10,800,11,true,,PASS
MAC_PHASE08_R18_20260727033902,0e50d953720f09101e7af7d5693466d64a7280d78fbd67e4540d390fb5172aed,a6ba15b999903bfe9b7b7a5c6d534fb8e16957828ae7ed0eee9f1f120f62f345,RR,5,0,1,10,10,800,12,false,,PASS
MAC_PHASE08_R18_20260727033902,cced5acb99ce309215064759f1c7c6e15c3c5ed390db5e2b7dca4a016792eb6c,506073e3ca907230d36e4939635b16c052a73510d01f0ded05c76ab499425181,PF,6,2.25,1,10,10,800,13,true,,PASS
MAC_PHASE08_R18_20260727033902,e25c67cf0e17b2659a3accd93c2a2555c5a545e220c5f15d460f528621880ae0,fb9eacdb29250f373b6dfe420b5eb00b671eeea7862f6d63e0ff51c9b3493a09,QoS-PF,7,5.2985,1,10,10,800,14,true,,PASS
MAC_PHASE08_R18_20260727033902,9db3a3d5c23c103a4da9f26d59d92a533a64b26dafd3220f54f9dc64857765b9,b1a26bbb7bd85936a72131b03081cd7363e00d48194c1bd43034fee7e162e320,EDF,8,-36,1,10,10,800,15,true,,PASS
MAC_PHASE08_R18_20260727033902,fa95812b1126d00f1fcf150556aa209aa367be4ad11b3380929b7b829daa2a19,ba40bc413f9977a03f214fc7eca4607bd782f14181f1b1c86fb1c3608f53b4ca,RR,1,0,1,10,10,800,0,false,,PASS
MAC_PHASE08_R18_20260727033902,af6f3e3cf6a754d6cb9c7c4a5738e51d0d205f6c808b6be54bafdb5c46005aae,3f4dad1d292f51f040d32fa2506d24dcd56329ce6dc992c40daa3f4bcd9d74f3,PF,2,1.5,1,10,10,800,1,true,,PASS
MAC_PHASE08_R18_20260727033902,6c08dfaefdb441460b146ccdfa5f28998777891050db1ba891b63e07c0673146,9ad4f91d838d74319791c21b941767a368c7db6d6ce7150dd41ce537251b5e77,QoS-PF,3,12.2182,1,10,10,800,2,true,,PASS
MAC_PHASE08_R18_20260727033902,06032754838326cb551a43d80288c55b95cc36e419121f21af10713400f28049,bd68a09259d88923900b5feeb66d66fa1c97f04bb4c02ed7764dbfae0acafb6c,EDF,4,-28,1,10,10,800,3,true,,PASS
MAC_PHASE08_R18_20260727033902,26b7b0fc54dd7a37a7c107d47baa96a9671bf3b20c2232cf2ff0e9ed3b15a69b,9d042fee996e021ff2916c05e6f9a0543bb5b4d527338275ff39436efef394a3,RR,5,0,1,10,10,800,4,false,,PASS
MAC_PHASE08_R18_20260727033902,c41b0dfd0dcb0efd1780a906b75ab2addb6d2f4e000304e841ed5959bcf3cd55,c4f86ab5dcbc8ed1360a6ffb411e3da5cb723139379b6a6264f172c8a610426f,PF,6,1.25,1,10,10,800,5,true,,PASS
MAC_PHASE08_R18_20260727033902,0304f17d52c17f5d6de498e042a36a6c665ab143e9b8dd4b8bafc192f131d411,08baa27b986d15e5e60b651546c4595db8c4d30c3891d3c72fdd660336e69f5c,QoS-PF,7,3.9774,1,10,10,800,6,true,,PASS
MAC_PHASE08_R18_20260727033902,a3b3a21576031ff2e4aed114284560533a1fdc877a6b74ce0ca75389cee7a083,5f80d3e96c756ceaf9717da59133acaf08c248c7cafc3ce6d79a7e4c13f2746d,EDF,8,-20,1,10,10,800,7,true,,PASS
