RunID,AttemptID,Direction,ServingCell,UEID,HARQProcess,Codeword,NDIEpoch,TBID,GrantID,RV,AttemptIndex,ScheduleSlot,TxSlot,TBSBits,CodingLayoutSHA256,Status
MAC_PHASE08_R18_20260727033902,b24c8245e1c4f58a98e3b3403f9279eb94c575cff05e1dcb2e1de50d5ba361c7,DL,0,5,4,0,6,TB-6,GRANT-21,0,0,20,21,968,afd59203d955ffbeae9bde83f55bfe305e1d4afc369ca8f14cebcdee3031cda0,PASS
MAC_PHASE08_R18_20260727033902,b2a186afe768739e37a3add8f2d99fc4a209579461895bd4ce4089fac2269100,UL,1,6,5,1,6,TB-6,GRANT-22,2,1,21,22,976,afd59203d955ffbeae9bde83f55bfe305e1d4afc369ca8f14cebcdee3031cda0,PASS
MAC_PHASE08_R18_20260727033902,48686baeb45c96f35d5ad537d47d8cbd5c40447b5950bca1789cd3f774e1302b,DL,0,7,6,0,6,TB-6,GRANT-23,3,2,22,23,984,afd59203d955ffbeae9bde83f55bfe305e1d4afc369ca8f14cebcdee3031cda0,PASS
MAC_PHASE08_R18_20260727033902,b076c9c66f6353370a89066aed4d53f5aba03f07fcc15a13b613ba9ad06021b9,UL,1,8,7,1,6,TB-6,GRANT-24,1,3,23,24,992,afd59203d955ffbeae9bde83f55bfe305e1d4afc369ca8f14cebcdee3031cda0,PASS
MAC_PHASE08_R18_20260727033902,1251ac34faf8de9d43b530eea31e221da60b4cd6768b91ffe223243b103420cb,DL,0,1,8,0,7,TB-7,GRANT-25,0,0,24,25,1000,43549d0e3f261ff2b2bba3f8b6371561ded71a1055c62fa77e81bc6a38cb6f0e,PASS
MAC_PHASE08_R18_20260727033902,2e6d9698e218dae0e7296b443fdb00350afae119b3cfb0e31d15dd07a75aaf7d,UL,1,2,9,1,7,TB-7,GRANT-26,2,1,25,26,1008,43549d0e3f261ff2b2bba3f8b6371561ded71a1055c62fa77e81bc6a38cb6f0e,PASS
MAC_PHASE08_R18_20260727033902,7f8ecd46c3c59e90966b30b138a0911eb82bbcbf0188f2b368a3b1df59d5bf3c,DL,0,3,10,0,7,TB-7,GRANT-27,3,2,26,27,1016,43549d0e3f261ff2b2bba3f8b6371561ded71a1055c62fa77e81bc6a38cb6f0e,PASS
MAC_PHASE08_R18_20260727033902,b6e10d215857ae939b2785224237f933a75c63735a9558892b7b3f54b73e2b63,UL,1,4,11,1,7,TB-7,GRANT-28,1,3,27,28,1024,43549d0e3f261ff2b2bba3f8b6371561ded71a1055c62fa77e81bc6a38cb6f0e,PASS
MAC_PHASE08_R18_20260727033902,84f5feb408aea98a8ebac3ad4904315e9546111759db3f623ce9805ee25b4512,DL,0,5,12,0,8,TB-8,GRANT-29,0,0,28,29,1032,36aa8bb43ff7c07e463af57fe5ef8176c3189421c9a120ef13b385fe0f7f4ca4,PASS
MAC_PHASE08_R18_20260727033902,a47fece29a44f365898bfe33261a2ed2e9fbf883fa271f96875ec6b6361beda0,UL,1,6,13,1,8,TB-8,GRANT-30,2,1,29,30,1040,36aa8bb43ff7c07e463af57fe5ef8176c3189421c9a120ef13b385fe0f7f4ca4,PASS
MAC_PHASE08_R18_20260727033902,3a1a90ebe514c07063c0af5a943c6ba7f91ddf4378ec2bd39a0fbb9a30aba201,DL,0,7,14,0,8,TB-8,GRANT-31,3,2,30,31,1048,36aa8bb43ff7c07e463af57fe5ef8176c3189421c9a120ef13b385fe0f7f4ca4,PASS
MAC_PHASE08_R18_20260727033902,a79838e58d0b401e42edb45d592389e7cd5c5159ff4341166f45b5b6270d400a,UL,1,8,15,1,8,TB-8,GRANT-32,1,3,31,32,1056,36aa8bb43ff7c07e463af57fe5ef8176c3189421c9a120ef13b385fe0f7f4ca4,PASS
MAC_PHASE08_R18_20260727033902,29b708312cc071f8a1c5132813de1c6cf41faa2b764e9b7e2d59d52630a4435f,DL,0,1,0,0,9,TB-9,GRANT-33,0,0,32,33,1064,6929c91e4adcb5dbbf002e91a824774444905a15223963da4f8777f3ccfcdf74,PASS
MAC_PHASE08_R18_20260727033902,c30c9acfefe09f41cbae630ec54f43da24ec9f93b618271a2734ab2588363818,UL,1,2,1,1,9,TB-9,GRANT-34,2,1,33,34,1072,6929c91e4adcb5dbbf002e91a824774444905a15223963da4f8777f3ccfcdf74,PASS
MAC_PHASE08_R18_20260727033902,5fa26956da8273b61ea036fe1f034f2534170f154e7d539d91feca930829b54d,DL,0,3,2,0,9,TB-9,GRANT-35,3,2,34,35,1080,6929c91e4adcb5dbbf002e91a824774444905a15223963da4f8777f3ccfcdf74,PASS
MAC_PHASE08_R18_20260727033902,83b5b9a5be14defea8c1e6fbfc4959edffccc4b1813859b1f700a6595ed47927,UL,1,4,3,1,9,TB-9,GRANT-36,1,3,35,36,1088,6929c91e4adcb5dbbf002e91a824774444905a15223963da4f8777f3ccfcdf74,PASS
MAC_PHASE08_R18_20260727033902,244271a31d0027db23cd02d7e73a38b9fea22b63111c4e10ba4d44867f5b1c1a,DL,0,5,4,0,10,TB-10,GRANT-37,0,0,36,37,1096,c4e12d4a9fe32b0ec04ed3c2d2d33495e4165de30b197b648a36128ebbd5db45,PASS
MAC_PHASE08_R18_20260727033902,45a75383e26bb8f649c2764501500d47ae77b886c19fa74115de676da771fbc1,UL,1,6,5,1,10,TB-10,GRANT-38,2,1,37,38,1104,c4e12d4a9fe32b0ec04ed3c2d2d33495e4165de30b197b648a36128ebbd5db45,PASS
MAC_PHASE08_R18_20260727033902,eeafe09abadb893ac98ce575c044a7db730dd901f06b14c030c478c1824cdf8d,DL,0,7,6,0,10,TB-10,GRANT-39,3,2,38,39,1112,c4e12d4a9fe32b0ec04ed3c2d2d33495e4165de30b197b648a36128ebbd5db45,PASS
MAC_PHASE08_R18_20260727033902,9cdb5edf5f00fe3973b623634241ec782b2e7befa8a703fc3e2f2b43f8a7a504,UL,1,8,7,1,10,TB-10,GRANT-40,1,3,39,40,1120,c4e12d4a9fe32b0ec04ed3c2d2d33495e4165de30b197b648a36128ebbd5db45,PASS
