RunID,DecisionID,UEID,CEID,CEType,TriggerEventID,Priority,RequiredBytes,Selected,RejectedReason,CancelledBy,MACPDUId,Status
MAC_PHASE08_R18_20260727033902,CE-DEC-0021,5,CE-0021,PHR,EV-0021,5,1,true,,,19604f645c0378eece1d0a8fcaf1a10b4d50f7563427f0458189215de5ea4d88,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0022,6,CE-0022,CG_CONFIRM,EV-0022,6,2,true,,,7dbaebf6c8c6114f65b32aabafec2bc4e5dee76b916eb5415614b16b738ebcee,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0023,7,CE-0023,SR,EV-0023,7,3,true,,,5cef3b1d28f956afd33eaaa56c52643bdcb31ed9c137bf3562014a72c253e88f,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0024,8,CE-0024,DATA,EV-0024,8,1,true,,,d6f5fc4496be983e99d1abfee7f6aeb224091ddaff12bdef3edc86bb7dcebc9c,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0025,1,CE-0025,C_RNTI,EV-0025,1,2,true,,,e843530ae47874b79b72897096e67891e40887ff855a540f1d1e58709f946359,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0026,2,CE-0026,BFR,EV-0026,2,3,true,,,8c937fee8a1ba51a204abebe074a0d87fa090740e97f66e8f3320cbfb5e62272,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0027,3,CE-0027,TA_REPORT,EV-0027,3,1,true,,,b692cbc70176e6ce19b8cc15052112b51bc3d87cfdbdf795a4c4285593f74cb4,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0028,4,CE-0028,BSR,EV-0028,4,2,true,,,a86ee32d4d1ed9646681431b7ea31255a7669603c07b8f79666a11387a59eed3,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0029,5,CE-0029,PHR,EV-0029,5,3,true,,,a7bc0bdbe114ccd4c806c62a187953613e223be095d6521ad9b669b721487794,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0030,6,CE-0030,CG_CONFIRM,EV-0030,6,1,true,,,c87badbd931d1349f8193d2083520f83616eb66e34570515760f51a6ba6c453e,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0031,7,CE-0031,SR,EV-0031,7,2,true,,,016882895266a96ffc6fdd34eea3ddad975a67a9e8cc91a3fc27163b1155aef5,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0032,8,CE-0032,DATA,EV-0032,8,3,true,,,8e52a71e7bc386e7318f609bc44c1878aeb6258eed8064700c7eb3d632979aa3,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0033,1,CE-0033,C_RNTI,EV-0033,1,1,true,,,68a6cf74e71770d3a61b7489daa5d959eeef6c3138bbe04bb6da0186ad8a25a3,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0034,2,CE-0034,BFR,EV-0034,2,2,true,,,799e5696152f9c581f71eef5ebd7dd39fb7721ae89d010062e6d80eb3afff7dc,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0035,3,CE-0035,TA_REPORT,EV-0035,3,3,true,,,9188d8e58e07b03835c7f86640e6fb8306a10292277ee2bb6b64eac06fc4ecfd,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0036,4,CE-0036,BSR,EV-0036,4,1,true,,,b8367409ea79e2548c0bdc34fae2cfd32a3002f0c8377f6113178c5190507cc6,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0037,5,CE-0037,PHR,EV-0037,5,2,true,,,1625e357fbb7e3720eeedf1f93d2ef76461d425106963583eda117bbb5edf38d,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0038,6,CE-0038,CG_CONFIRM,EV-0038,6,3,true,,,ed98a88593f999639dfaf06a345246cd2a589846ffaf1de26224c8ed08e9383b,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0039,7,CE-0039,SR,EV-0039,7,1,true,,,c7db5f80b058a2c2edc39bb950dbea6605de6f9470e56dc9f7426ab751031764,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0040,8,CE-0040,DATA,EV-0040,8,2,true,,,ed23da5a8c36df206e4bf598c542d047435e5af7b96ba4bb5736b86f76401bc8,PASS
