FamilyID,CaseID,Bits,FullScale,ClippingRatio,SQNR_dB,EVM_pct,BLER,Status
F35,F35-P02-T,8,1,0.00676533425103818,49.92,0.676533425103818,0.00676533425103818,PASS
F35,F35-P03-B,14,1,0.000205654556444933,86.04,0.0205654556444933,0.000205654556444933,PASS
F35,F35-P03-T,8,1,0.00898466312673759,49.92,0.898466312673759,0.00898466312673759,PASS
F35,F35-P04-B,14,1,0.000234118545504709,86.04,0.0234118545504709,0.000234118545504709,PASS
F35,F35-P04-T,8,1,0.0137915170947232,49.92,1.37915170947232,0.0137915170947232,PASS
F35,F35-P05-B,14,1,0.000210523626039008,86.04,0.0210523626039008,0.000210523626039008,PASS
F35,F35-P05-T,8,1,0.0185703374662323,49.92,1.85703374662323,0.0185703374662323,PASS
F35,F35-P06-B,14,1,0.000237734383698595,86.04,0.0237734383698595,0.000237734383698595,PASS
F35,F35-P06-T,8,1,0.0139631254228333,49.92,1.39631254228333,0.0139631254228333,PASS
F36,F36-P01-B,14,1,0.000211240327093503,86.04,0.0211240327093502,0.000211240327093503,PASS
F36,F36-P01-T,8,1,0.00729149639064233,49.92,0.729149639064233,0.00729149639064233,PASS
F36,F36-P02-B,14,1,0.000215170010822141,86.04,0.0215170010822141,0.000215170010822141,PASS
F36,F36-P02-T,8,1,0.00905243542945231,49.92,0.905243542945231,0.00905243542945231,PASS
F36,F36-P03-B,14,1,0.000205654556444933,86.04,0.0205654556444933,0.000205654556444933,PASS
F36,F36-P03-T,8,1,0.0107765613080127,49.92,1.07765613080127,0.0107765613080127,PASS
F36,F36-P04-B,14,1,0.000234118545504709,86.04,0.0234118545504709,0.000234118545504709,PASS
F36,F36-P04-T,8,1,0.0152846889644558,49.92,1.52846889644558,0.0152846889644558,PASS
F36,F36-P05-B,14,1,0.000210523626039008,86.04,0.0210523626039008,0.000210523626039008,PASS
F36,F36-P05-T,8,1,0.0194452693597892,49.92,1.94452693597892,0.0194452693597892,PASS
F36,F36-P06-B,14,1,0.000237734383698595,86.04,0.0237734383698595,0.000237734383698595,PASS
F36,F36-P06-T,8,1,0.0153687226501571,49.92,1.53687226501571,0.0153687226501571,PASS
F37,F37-P01-B,14,1,0.000211240327093503,86.04,0.0211240327093502,0.000211240327093503,PASS
F37,F37-P01-T,8,1,0.0137985731162449,49.92,1.37985731162449,0.0137985731162449,PASS
F37,F37-P02-B,14,1,0.000215170010822141,86.04,0.0215170010822141,0.000215170010822141,PASS
F37,F37-P02-T,8,1,0.0147499974598907,49.92,1.47499974598907,0.0147499974598907,PASS
F37,F37-P03-B,14,1,0.000205654556444933,86.04,0.0205654556444933,0.000205654556444933,PASS
F37,F37-P03-T,8,1,0.0158978041231529,49.92,1.58978041231529,0.0158978041231529,PASS
F37,F37-P04-B,14,1,0.000234118545504709,86.04,0.0234118545504709,0.000234118545504709,PASS
F37,F37-P04-T,8,1,0.0201797956802104,49.92,2.01797956802104,0.0201797956802104,PASS
F37,F37-P05-B,14,1,0.000210523626039008,86.04,0.0210523626039008,0.000210523626039008,PASS
F37,F37-P05-T,8,1,0.0229049673494496,49.92,2.29049673494496,0.0229049673494496,PASS
F37,F37-P06-B,14,1,0.000237734383698595,86.04,0.0237734383698595,0.000237734383698595,PASS
F37,F37-P06-T,8,1,0.0201409896255699,49.92,2.01409896255699,0.0201409896255699,PASS
F38,F38-P01-B,14,1,0.000211240327093503,86.04,0.0211240327093502,0.000211240327093503,PASS
F38,F38-P01-T,8,1,0.0284780149020967,49.92,2.84780149020967,0.0284780149020967,PASS
F38,F38-P02-B,14,1,0.000215170010822141,86.04,0.0215170010822141,0.000215170010822141,PASS
F38,F38-P02-T,8,1,0.0287667995541484,49.92,2.87667995541484,0.0287667995541484,PASS
F38,F38-P03-B,14,1,0.000205654556444933,86.04,0.0205654556444933,0.000205654556444933,PASS
F38,F38-P03-T,8,1,0.0294002451089862,49.92,2.94002451089862,0.0294002451089862,PASS
F38,F38-P04-B,14,1,0.000234118545504709,86.04,0.0234118545504709,0.000234118545504709,PASS
F38,F38-P04-T,8,1,0.033096346691894,49.92,3.3096346691894,0.033096346691894,PASS
F38,F38-P05-B,14,1,0.000210523626039008,86.04,0.0210523626039008,0.000210523626039008,PASS
F38,F38-P05-T,8,1,0.0328792874184708,49.92,3.28792874184708,0.0328792874184708,PASS
F38,F38-P06-B,14,1,0.000237734383698595,86.04,0.0237734383698595,0.000237734383698595,PASS
F38,F38-P06-T,8,1,0.0336355840991967,49.92,3.36355840991967,0.0336355840991967,PASS
F39,F39-P01-B,14,1,0.000211240327093503,86.04,0.0211240327093502,0.000211240327093503,PASS
F39,F39-P01-T,8,1,0.0578263255627651,49.92,5.78263255627651,0.0578263255627651,PASS
F39,F39-P02-B,14,1,0.000215170010822141,86.04,0.0215170010822141,0.000215170010822141,PASS
F39,F39-P02-T,8,1,0.0599803652879873,49.92,5.99803652879873,0.0599803652879873,PASS
F39,F39-P03-B,14,1,0.000205654556444933,86.04,0.0205654556444933,0.000205654556444933,PASS
F39,F39-P03-T,8,1,0.057249963593367,49.92,5.7249963593367,0.057249963593367,PASS
F39,F39-P04-B,14,1,0.000234118545504709,86.04,0.0234118545504709,0.000234118545504709,PASS
F39,F39-P04-T,8,1,0.0643593544175148,49.92,6.43593544175148,0.0643593544175148,PASS
F39,F39-P05-B,14,1,0.000210523626039008,86.04,0.0210523626039008,0.000210523626039008,PASS
F39,F39-P05-T,8,1,0.0608378353372705,49.92,6.08378353372705,0.0608378353372705,PASS
F39,F39-P06-B,14,1,0.000237734383698595,86.04,0.0237734383698595,0.000237734383698595,PASS
F39,F39-P06-T,8,1,0.0653582978057846,49.92,6.53582978057846,0.0653582978057846,PASS
F40,F40-P01-B,14,1,0.000211240327093503,86.04,0.0211240327093502,0.000211240327093503,PASS
F40,F40-P01-T,8,1,0.122413812882683,49.92,12.2413812882683,0.122413812882683,PASS
F40,F40-P02-B,14,1,0.000215170010822141,86.04,0.0215170010822141,0.000215170010822141,PASS
F40,F40-P02-T,8,1,0.12797942914944,49.92,12.797942914944,0.12797942914944,PASS
F40,F40-P03-B,14,1,0.000205654556444933,86.04,0.0205654556444933,0.000205654556444933,PASS
F40,F40-P03-T,8,1,0.121453623021372,49.92,12.1453623021372,0.121453623021372,PASS
F40,F40-P04-B,14,1,0.000234118545504709,86.04,0.0234118545504709,0.000234118545504709,PASS
F40,F40-P04-T,8,1,0.13386290727117,49.92,13.386290727117,0.13386290727117,PASS
F40,F40-P05-B,14,1,0.000210523626039008,86.04,0.0210523626039008,0.000210523626039008,PASS
F40,F40-P05-T,8,1,0.119688507915316,49.92,11.9688507915316,0.119688507915316,PASS
F40,F40-P06-B,14,1,0.000237734383698595,86.04,0.0237734383698595,0.000237734383698595,PASS
F40,F40-P06-T,8,1,0.135911561853473,49.92,13.5911561853473,0.135911561853473,PASS
F33,F33-P01-B,14,1,0.000211240327093503,86.04,0.0211240327093502,0.000211240327093503,PASS
F33,F33-P01-T,8,1,0.00274266274392003,49.92,0.274266274392003,0.00274266274392003,PASS
F33,F33-P02-B,14,1,0.000215170010822141,86.04,0.0215170010822141,0.000215170010822141,PASS
F33,F33-P02-T,8,1,0.00585394544875956,49.92,0.585394544875956,0.00585394544875956,PASS
