ProposalNumber,ProposalText,CampaignIds,RequiredEvidence,CoverageRequirement,StatusBeforeRun
21,"Under agenda item 10.5.2.3, identify the PUSCH design parameters and processing events that drive preparation time, buffering and decoder checkpoints for flexible-start and multi-slot PUSCH. Coordinate numerical UE capability classes and mandatory timing values under agenda item 10.5.4.3.","C16,C17,C19",CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
22,"For multi-slot PUSCH scrambling, use TB-continuous scrambling as the baseline and study a segment-dependent initialization only for repetitions or segmented/non-contiguous allocations, considering soft combining, puncturing, interference randomization, sequence-generation complexity and deterministic derivation or indication of the segment identity.",C19,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
23,"Study a two-family UCI-dedicated physical-channel framework comprising a sequence-based family for small payloads and a DMRS/channel-coded family for larger payloads, using the RAN1#125-agreed payloads, resources and error metrics.",C20,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
24,"Determine the applicable payload and symbol-duration range of sequence-based UCI by comparing sequence and coded baselines for 3, 4, 6, 7 and 11 bits. Report DTX-to-ACK, ACK-missed, NACK-to-ACK, BER/BLER, PAPR, the number of direct hypotheses and the complexity of any structured detector.",C20,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
25,"For multi-port UCI transmission, compare single-port, open-loop multi-port and CSI-based multi-port alternatives at the same total UE power, reporting PAPR/CM, port-selection/precoder overhead, receiver complexity and the RAN1#125-agreed UCI reliability metrics.",C21,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
26,"Study common PUCCH/PUSCH DMRS parameterization where it reduces aNB complexity, while allowing different RE mappings when required by UCI multiplexing, coverage, port-count or waveform constraints.",C21,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
27,"Study network-transparent dynamic sharing of time-frequency resources reserved for NR and 6GR uplink control/data transmission in MRSS, including protection of actual NR UCI occasions, deterministic 6GR rate matching/puncturing, DMRS-aware scheduling and TBS determination based on usable resources.",C22,MULTICELL_SLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
28,"For MRSS uplink operation, study a deterministic resource-protection map from which the UE and aNB derive usable REs for 6GR PUSCH/PUCCH, including the treatment of NR PUCCH, wideband RS and dynamically inactive reservations. Use the usable-RE set for rate matching, DMRS availability and TBS determination.",C22,MULTICELL_SLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
29,"For first-stage UL MIMO evaluations, identify one common UE antenna-position randomization baseline based on per-drop selection of active-port subsets from the TR 38.901 candidate positions, with the same realization reused across compared schemes. Treat bounded continuous position perturbation as an optional reported sensitivity case.",C23,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
30,"Study network-assisted PUSCH antenna-set selection in which the UE sounds configured candidate ports or port sets, the aNB selects a subset based on UL measurements, and the selected subset is indicated before TPMI/rank adaptation. Compare against fixed and DL-based transparent selection, including sounding overhead, update rate, port imbalance, power and coherency.",C24,CALIBRATED_LLS + MULTICELL_SLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
