Step,UEIndex,RNTI,ServingCell,Frame,Slot,Time_s,Direction,StageName,EventName,LifecycleState,StageStatus,SourceArtifact,SourceRow,ValueSource,ValueRole,ValueStatus,ValueDefinition,SlotDuration_s,ProcedureStartSlot,ProcedureEndSlot,ProcedureDelay_ms,AccessDelay_ms,CompleteFlag,PlaceholderFlag,FallbackFlag,UnavailableReason,Notes
11,6,6,2,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
12,6,6,2,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
13,7,7,1,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
14,7,7,1,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
15,8,8,4,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
16,8,8,4,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
17,9,9,4,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
18,9,9,4,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
19,10,10,2,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
20,10,10,2,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
21,11,11,5,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
22,11,11,5,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
23,12,12,3,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
24,12,12,3,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
25,13,13,3,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
26,13,13,3,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
27,14,14,1,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
28,14,14,1,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
29,15,15,3,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
30,15,15,3,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
31,16,16,1,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
32,16,16,1,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
33,17,17,4,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
34,17,17,4,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
35,18,18,3,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
36,18,18,3,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
37,19,19,1,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
38,19,19,1,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
39,20,20,4,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
40,20,20,4,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
41,21,21,5,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
42,21,21,5,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
43,22,22,4,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
44,22,22,4,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
45,23,23,3,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
46,23,23,3,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
47,24,24,3,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
48,24,24,3,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
49,25,25,5,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
50,25,25,5,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
51,26,26,1,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
52,26,26,1,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
53,27,27,4,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
54,27,27,4,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
55,28,28,5,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
56,28,28,5,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
57,29,29,2,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
58,29,29,2,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
59,30,30,5,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
60,30,30,5,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
61,31,31,5,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
62,31,31,5,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
63,32,32,4,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
64,32,32,4,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
65,33,33,2,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
66,33,33,2,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
67,34,34,1,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
