ScenarioID,ConfigHash,RunnerProfile,Category,ParameterName,BrowserExposed,YAMLExposed,RuntimeDerived,HiddenFallbackRemoved,OwnershipClass,SourceOfTruth,CanonicalArtifact,RuntimeConsumer,Definition
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","radio_timing","frame.tdd_pattern",0,1,0,1,"yaml_only","yaml_frame.tdd_pattern","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.phy.duplex.tddPattern","TDD pattern stays YAML-owned and resolves into runtime duplex scheduling semantics."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","mobility","mobility.ue_speed_kmh",1,1,0,1,"browser_exposed","browser_or_yaml_mobility.ue_speed_kmh","reports/csv/runtime_operating_mode.csv","buildInternalConfig -> cfg.scenario.mobility.speed_kmh","UE speed is a mobility input, not Doppler; Doppler is derived later from speed and carrier frequency."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","mobility","mobility.trajectory_model",1,1,0,1,"browser_exposed","browser_or_yaml_mobility.trajectory_model","reports/csv/deployment_layout_reference.csv","buildInternalConfig -> cfg.scenario.mobility.model","Mobility model is resolved directly into the runtime mobility controller."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","mobility","mobility.update_period_s",0,1,0,1,"yaml_only","yaml_mobility.update_period_s","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.scenario.mobility.updatePeriod_s","Mobility update period is YAML-owned and feeds the runtime mobility controller."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","mobility","mobility.zigzag_segment_duration_s",0,1,0,1,"yaml_only","yaml_mobility.zigzag_segment_duration_s","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.scenario.mobility.zigzagSegmentDuration_s","Zigzag segment duration is YAML-owned and feeds the runtime mobility controller."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","mobility","mobility.zigzag_turn_angle_deg",0,1,0,1,"yaml_only","yaml_mobility.zigzag_turn_angle_deg","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.scenario.mobility.zigzagTurnAngle_deg","Zigzag turn angle is YAML-owned and feeds the runtime mobility controller."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","mimo.n_tx_ant",0,1,0,1,"yaml_only","yaml_mimo.n_tx_ant","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.scenario.bs.nTxAnt","Configured BS Tx-chain count is YAML-owned and reaches the runtime scenario and PHY configuration."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","mimo.n_rx_ant",0,1,0,1,"yaml_only","yaml_mimo.n_rx_ant","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.scenario.ue.nRxAnt","Configured UE Rx-chain count is YAML-owned and reaches the runtime scenario and PHY configuration."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","mimo.n_layers",0,1,0,1,"yaml_only","yaml_mimo.n_layers","air_interface/csv/dl_pdsch_trials.csv","buildInternalConfig -> cfg.phy.pdsch.nLayers / cfg.phy.pusch.nLayers","Configured layer count reaches the active DL/UL waveform chain and raw trial tables."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","antenna_and_array.bs_array_geometry",1,1,0,1,"browser_exposed","browser_or_yaml_antenna_and_array.bs_array_geometry","air_interface/csv/dl_pdsch_trials.csv","buildInternalConfig.localApplyRuntimeAntennaConfig -> BS runtime array geometry","BS array geometry reaches the runtime array object used by beam/precoding and raw trial exports."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","antenna_and_array.ue_array_geometry",1,1,0,1,"browser_exposed","browser_or_yaml_antenna_and_array.ue_array_geometry","air_interface/csv/ul_pusch_trials.csv","buildInternalConfig.localApplyRuntimeAntennaConfig -> UE runtime array geometry","UE array geometry reaches the runtime array object used by raw UL trials."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","antenna_and_array.bs_num_antenna_elements",1,1,0,1,"browser_exposed","browser_or_yaml_antenna_and_array.bs_num_antenna_elements","air_interface/csv/dl_pdsch_trials.csv","buildInternalConfig.localApplyRuntimeAntennaConfig -> BS runtime array element count","BS antenna element count is preserved in runtime cfg and raw trial antenna evidence."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","antenna_and_array.ue_num_antenna_elements",1,1,0,1,"browser_exposed","browser_or_yaml_antenna_and_array.ue_num_antenna_elements","air_interface/csv/ul_pusch_trials.csv","buildInternalConfig.localApplyRuntimeAntennaConfig -> UE runtime array element count","UE antenna element count is preserved in runtime cfg and raw trial antenna evidence."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","antenna_and_array.element_spacing_h",1,1,0,1,"browser_exposed","browser_or_yaml_antenna_and_array.element_spacing_h","air_interface/csv/dl_pdsch_trials.csv","buildInternalConfig.localApplyRuntimeAntennaConfig -> BS/UE runtime spacingLambda","Horizontal element spacing reaches the runtime antenna geometry used by the waveform path."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","antenna_and_array.element_spacing_v",1,1,0,1,"browser_exposed","browser_or_yaml_antenna_and_array.element_spacing_v","air_interface/csv/dl_pdsch_trials.csv","buildInternalConfig.localApplyRuntimeAntennaConfig -> BS/UE runtime spacingLambda","Vertical element spacing reaches the runtime antenna geometry used by the waveform path."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","antenna_and_array.polarization",1,1,0,1,"browser_exposed","browser_or_yaml_antenna_and_array.polarization","air_interface/csv/dl_pdsch_trials.csv","buildInternalConfig.localApplyRuntimeAntennaConfig -> runtime polarization","Antenna polarization survives into runtime antenna evidence exported by raw trials."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","antenna","mimo.beam_count",0,1,0,1,"yaml_only","yaml_mimo.beam_count","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.phy.beamManagement.beamCount","Configured beam-count budget is YAML-owned and reaches runtime beam-management configuration."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.model_type",1,1,0,1,"browser_exposed","browser_or_yaml_channels.model_type","air_interface/csv/dl_pdsch_trials.csv","buildInternalConfig -> cfg.channel.model","Channel model is resolved into the active runtime channel family."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.profile",1,1,0,1,"browser_exposed","browser_or_yaml_channels.profile","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> concrete delay/fading profile","Concrete fading profile remains part of the runtime channel identity."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.delay_spread_ns",0,1,0,1,"yaml_only","yaml_channels.delay_spread_ns","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.fading.delaySpread_s","Delay spread is resolved into runtime seconds for the fading model."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.pathloss_enabled",1,1,0,1,"browser_exposed","browser_or_yaml_channels.pathloss_enabled","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.pathlossEnabled","Pathloss enablement is a resolved runtime channel flag."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.shadow_fading_enabled",1,1,0,1,"browser_exposed","browser_or_yaml_channels.shadow_fading_enabled","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.shadowFadingEnabled","Shadow fading enablement is a resolved runtime channel flag."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.los_enabled",1,1,0,1,"browser_exposed","browser_or_yaml_channels.los_enabled","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.losEnabled","LOS enablement is a resolved runtime channel flag."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.spatial_consistency_enabled",1,1,0,1,"browser_exposed","browser_or_yaml_channels.spatial_consistency_enabled","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.spatialConsistencyEnabled","Spatial-consistency control is a resolved runtime channel flag."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.doppler_source_mode",1,1,0,1,"browser_exposed","browser_or_yaml_channels.doppler_source_mode","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localResolveDopplerSourceMode -> cfg.channel.dopplerSourceMode","Doppler source mode is emitted into runtime operating mode for browser/runtime verification."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.doppler_hz",0,1,0,1,"yaml_only","yaml_channels.doppler_hz","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.dopplerConfigured_Hz","Configured Doppler is YAML-owned and only becomes the active Doppler when doppler_source_mode resolves to configured."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.pathloss_model",0,1,0,1,"yaml_only","yaml_channels.pathloss_model","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.pathloss.model","Pathloss model token is YAML-owned and reaches the runtime channel model."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","channel","channels.shadow_fading_std_db",0,1,0,1,"yaml_only","yaml_channels.shadow_fading_std_db","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.shadowFadingStd_dB","Shadow-fading standard deviation is YAML-owned and reaches the runtime channel model."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","noise_interference","simulation.snr_db",1,1,0,1,"browser_exposed","browser_or_yaml_simulation.snr_db","air_interface/csv/dl_pdsch_trials.csv","buildInternalConfig -> cfg.channel.snr_dB","Configured SNR is preserved as reference metadata for the active runtime path."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","noise_interference","simulation.noise_operating_mode",1,1,0,1,"browser_exposed","browser_or_yaml_simulation.noise_operating_mode","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localResolveNoiseOperatingMode -> cfg.run.noiseOperatingMode","Noise operating mode is emitted into runtime operating mode for browser/runtime verification."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","noise_interference","power_and_rf_frontend.ue_noise_figure_db",1,1,0,1,"browser_exposed","browser_or_yaml_power_and_rf_frontend.ue_noise_figure_db","reports/csv/config_roundtrip_verification.csv","buildInternalConfig.localResolveUENoiseFigure_dB -> cfg.channel.receiverNoiseFigure_dB","Receiver noise figure is resolved into the runtime channel/noise model."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","noise_interference","interference.inter_cell_execution_mode",1,1,0,1,"browser_exposed","browser_or_yaml_interference.inter_cell_execution_mode","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localResolveInterferenceExecutionMode -> cfg.run.interferenceExecutionMode","Interference execution mode is emitted into runtime operating mode and raw trial evidence."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","noise_interference","receiver.use_ideal_timing_sync",0,1,0,1,"yaml_only","yaml_receiver.use_ideal_timing_sync","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.phy.rx.useIdealTimingSync","Ideal-timing-sync policy is YAML-owned and reaches the active receiver timing path."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","noise_interference","impairments.cfo_hz",0,1,0,1,"yaml_only","yaml_impairments.cfo_hz","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.phy.impairments.cfoHz","Configured CFO impairment is YAML-owned and reaches the runtime impairment chain."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","noise_interference","impairments.timing_offset_samples",0,1,0,1,"yaml_only","yaml_impairments.timing_offset_samples","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.phy.impairments.timingOffsetSamples","Configured timing offset is YAML-owned and reaches the runtime impairment chain."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","run_control.execution_mode",1,1,0,1,"browser_exposed","browser_or_yaml_run_control.execution_mode","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localResolveBrowserExecutionMode -> cfg.run.executionMode","Execution mode is resolved into the active runtime mode token used by the LLS runner and browser payload."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","run_control.num_workers",1,1,0,1,"browser_exposed","browser_or_yaml_run_control.num_workers","reports/csv/runtime_operating_mode.csv","buildInternalConfig -> cfg.run.numWorkers; runSingle.localEnsureParallelExecution -> requested/effective worker ownership","Requested worker count is config-owned, exported into runtime operating mode, and guarded against hidden numeric fallbacks."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","run_control.batch_size_links",1,1,0,1,"browser_exposed","browser_or_yaml_run_control.batch_size_links","reports/csv/runtime_operating_mode.csv","buildInternalConfig -> cfg.run.batchSizeLinks; runWaveformLinkBundle.localExecuteCoupledDirectionBatch -> chunked grant execution ownership","Configured link-batch size controls truthful chunking of coupled grant execution and live raw-trial publication."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","users.execution_model",1,1,0,1,"browser_exposed","browser_or_yaml_users.execution_model","reports/csv/runtime_operating_mode.csv","buildInternalConfig -> cfg.lls6g.users.execution_model","User execution model selects coupled-truth vs sweep ownership and is emitted into runtime operating mode."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","system.scheduler.type",1,1,0,1,"browser_exposed","browser_or_yaml_system.scheduler.type","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localApplySystemConfig -> cfg.system.scheduler.type / cfg.mac.scheduler.type","Configured scheduler type is preserved into runtime operating mode for browser/runtime ownership proof."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","system.measurement.periodSlots",1,1,0,1,"browser_exposed","browser_or_yaml_system.measurement.periodSlots","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localApplySystemConfig -> cfg.system.measurement.periodSlots","Measurement cadence is config-owned and exported into runtime operating mode."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","beam_precoding","system.beam.updatePeriod_slots",1,1,0,1,"browser_exposed","browser_or_yaml_system.beam.updatePeriod_slots","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localApplySystemConfig -> cfg.system.beam.updatePeriod_slots","Beam-update cadence is config-owned and exported into runtime operating mode."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","traffic.model",1,1,0,1,"browser_exposed","browser_or_yaml_traffic.model","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localApplyTrafficConfig -> cfg.traffic.model","Traffic model selection is config-owned and exported into runtime operating mode."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","traffic.transport",1,1,0,1,"browser_exposed","browser_or_yaml_traffic.transport","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localApplyTrafficConfig -> cfg.traffic.transport","Traffic transport policy is config-owned and exported into runtime operating mode."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","traffic.flowDirection",1,1,0,1,"browser_exposed","browser_or_yaml_traffic.flowDirection","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localApplyTrafficConfig -> cfg.traffic.flowDirection","Traffic flow direction is config-owned and exported into runtime operating mode."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","scheduler_mac","traffic.targetRate_Mbps",1,1,0,1,"browser_exposed","browser_or_yaml_traffic.targetRate_Mbps","reports/csv/runtime_operating_mode.csv","buildInternalConfig.localApplyTrafficConfig -> cfg.traffic.targetRate_Mbps","Configured traffic target rate is preserved into runtime operating mode for roundtrip proof."
