FamilyID,Title,Wave,ExperimentsExpected,ExperimentsComplete,RulesPassed,RulesFailed,PrimaryConclusion,IncompletePoints,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F38,Logical-channel restrictions,A,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F39,MAC CE priority,A,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F40,MAC PDU exact subheaders,A,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F41,eLCID support,B,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F42,SDU segmentation,A,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F43,Timing advance command,B,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F44,timeAlignmentTimer,B,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F45,Multiple TAGs,C,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F46,UL timing error,B,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F47,Configured grant Type 1,B,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F48,Configured grant Type 2,B,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F49,Downlink SPS,B,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F50,Grant commit atomicity,A,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F51,PDCCH decode authority,B,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F52,Active BWP eligibility,B,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F53,DRX eligibility,C,12,12,2,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F54,Measurement-gap eligibility,C,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F55,Two-cell HARQ isolation,C,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F56,Cross-carrier scheduling,C,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F57,Packet lineage graph,A,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F58,First-success delivery deduplication,A,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F59,Queue-byte conservation,A,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F60,Bursty traffic,A,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F61,Mixed 5QI traffic,B,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F62,Runtime scaling,A,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F63,Serial/parallel reproducibility,A,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F64,End-to-end closed loop,C,12,12,1,0,component_contract_complete,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
