RunID,EventSequence,EntityID,FromState,Event,ToState,TX_NEXT,TX_NEXT_ACK,RX_NEXT,TimerName,TimerAction,Status
"PROTOCOL-20260727-071456","15","15","REASSEMBLY_WAIT","GAP_FILLED","RX_STABLE","15","15","15","15","STOP_t_Reassembly","PASS"
"PROTOCOL-20260727-071456","16","16","REASSEMBLY_WAIT","t_Reassembly_EXPIRE","STATUS_PENDING","16","16","16","16","ADVANCE_AND_STATUS","PASS"
"PROTOCOL-20260727-071456","17","17","STATUS_PENDING","STATUS_SENT","STATUS_PROHIBITED","17","17","17","17","START_t_StatusProhibit","PASS"
"PROTOCOL-20260727-071456","18","18","STATUS_PROHIBITED","t_StatusProhibit_EXPIRE","RX_STABLE","18","18","18","18","STATUS_ALLOWED","PASS"
"PROTOCOL-20260727-071456","19","19","ACTIVE","RRC_REESTABLISH","RESETTING","19","19","19","19","FLUSH_REESTABLISH","PASS"
"PROTOCOL-20260727-071456","20","20","RESETTING","RESET_COMPLETE","ACTIVE","20","20","20","20","NEW_EPOCH","PASS"
"PROTOCOL-20260727-071456","21","21","IDLE","TX_POLL","POLL_WAIT","21","21","21","21","START_t_PollRetransmit","PASS"
"PROTOCOL-20260727-071456","22","22","POLL_WAIT","STATUS_ACK","IDLE","22","22","22","22","STOP_t_PollRetransmit","PASS"
"PROTOCOL-20260727-071456","23","23","POLL_WAIT","t_PollRetransmit_EXPIRE","RETX_PENDING","23","23","23","23","POLL_RETX","PASS"
"PROTOCOL-20260727-071456","24","24","RX_STABLE","GAP_DETECTED","REASSEMBLY_WAIT","24","24","24","24","START_t_Reassembly","PASS"
"PROTOCOL-20260727-071456","25","25","REASSEMBLY_WAIT","GAP_FILLED","RX_STABLE","25","25","25","25","STOP_t_Reassembly","PASS"
"PROTOCOL-20260727-071456","26","26","REASSEMBLY_WAIT","t_Reassembly_EXPIRE","STATUS_PENDING","26","26","26","26","ADVANCE_AND_STATUS","PASS"
"PROTOCOL-20260727-071456","27","27","STATUS_PENDING","STATUS_SENT","STATUS_PROHIBITED","27","27","27","27","START_t_StatusProhibit","PASS"
"PROTOCOL-20260727-071456","28","28","STATUS_PROHIBITED","t_StatusProhibit_EXPIRE","RX_STABLE","28","28","28","28","STATUS_ALLOWED","PASS"
"PROTOCOL-20260727-071456","29","29","ACTIVE","RRC_REESTABLISH","RESETTING","29","29","29","29","FLUSH_REESTABLISH","PASS"
"PROTOCOL-20260727-071456","30","30","RESETTING","RESET_COMPLETE","ACTIVE","30","30","30","30","NEW_EPOCH","PASS"
"PROTOCOL-20260727-071456","31","31","IDLE","TX_POLL","POLL_WAIT","31","31","31","31","START_t_PollRetransmit","PASS"
"PROTOCOL-20260727-071456","32","32","POLL_WAIT","STATUS_ACK","IDLE","32","32","32","32","STOP_t_PollRetransmit","PASS"
"PROTOCOL-20260727-071456","33","33","POLL_WAIT","t_PollRetransmit_EXPIRE","RETX_PENDING","33","33","33","33","POLL_RETX","PASS"
"PROTOCOL-20260727-071456","34","34","RX_STABLE","GAP_DETECTED","REASSEMBLY_WAIT","34","34","34","34","START_t_Reassembly","PASS"
"PROTOCOL-20260727-071456","35","35","REASSEMBLY_WAIT","GAP_FILLED","RX_STABLE","35","35","35","35","STOP_t_Reassembly","PASS"
"PROTOCOL-20260727-071456","36","36","REASSEMBLY_WAIT","t_Reassembly_EXPIRE","STATUS_PENDING","36","36","36","36","ADVANCE_AND_STATUS","PASS"
"PROTOCOL-20260727-071456","37","37","STATUS_PENDING","STATUS_SENT","STATUS_PROHIBITED","37","37","37","37","START_t_StatusProhibit","PASS"
"PROTOCOL-20260727-071456","38","38","STATUS_PROHIBITED","t_StatusProhibit_EXPIRE","RX_STABLE","38","38","38","38","STATUS_ALLOWED","PASS"
"PROTOCOL-20260727-071456","39","39","ACTIVE","RRC_REESTABLISH","RESETTING","39","39","39","39","FLUSH_REESTABLISH","PASS"
"PROTOCOL-20260727-071456","40","40","RESETTING","RESET_COMPLETE","ACTIVE","40","40","40","40","NEW_EPOCH","PASS"
